family,n,instance,seed,m,law,stage,ar,regret_vs_gridceil
ER(0.5),16,1,20262321,58,pareto15,grid,0.9316914750951142,0.041582447731906336
ER(0.5),16,1,20262321,58,pareto15,proxy_ramp4,0.9362429799290024,0.037030942898018115
ER(0.5),16,1,20262321,58,pareto15,proxy_full2p,0.9141509949517759,0.059122927875244646
ER(0.5),16,2,20262322,65,pareto15,grid,0.7944072865072732,0.17362206135403013
ER(0.5),16,2,20262322,65,pareto15,proxy_ramp4,0.8469526546186228,0.12107669324268056
ER(0.5),16,2,20262322,65,pareto15,proxy_full2p,0.6165713753924781,0.35145797246882526
ER(0.5),16,3,20262323,70,pareto15,grid,0.8032701639925955,0.16434566583013055
ER(0.5),16,3,20262323,70,pareto15,proxy_ramp4,0.8052363129601201,0.162379516862606
ER(0.5),16,3,20262323,70,pareto15,proxy_full2p,0.7805232482108523,0.1870925816118738
ER(0.5),16,4,20262324,63,pareto15,grid,0.7988577298529705,0.176449862440603
ER(0.5),16,4,20262324,63,pareto15,proxy_ramp4,0.8834133788781018,0.09189421341547177
ER(0.5),16,4,20262324,63,pareto15,proxy_full2p,0.8756017942430986,0.09970579805047497
ER(0.5),16,5,20262325,60,pareto15,grid,0.8584832525099294,0.08299924181535812
ER(0.5),16,5,20262325,60,pareto15,proxy_ramp4,0.9462497284239672,-0.004767234098679629
ER(0.5),16,5,20262325,60,pareto15,proxy_full2p,0.9575199808670855,-0.01603748654179793
