instance,m,method,ar,regret
1,52,binned_sampled,0.7966774340383389,0.01732041975004528
1,52,transfer_mean_1,0.7597066791645289,0.05429117462385524
1,52,transfer_mean_2,0.798775482365657,0.015222371422727199
1,52,transfer_mean_3,0.7963439659856723,0.01765388780271193
1,52,transfer_median_1,0.772352672619187,0.040974933567802574
1,52,transfer_median_2,0.7784196022178524,0.03490800396913718
1,52,transfer_median_3,0.772352672619187,0.040974933567802574
1,52,transfer_coststd_1,0.8134878798449701,0.0007370719863566411
1,52,transfer_coststd_2,0.7962333038154056,0.017991648015921125
1,52,transfer_coststd_3,0.8002709115585738,0.013954040272752932
2,55,binned_sampled,0.7602948441746755,0.009741830249346162
2,55,transfer_mean_1,0.7224773968590218,0.04755927756499989
2,55,transfer_mean_2,0.7681638386315149,0.001872835792506744
2,55,transfer_mean_3,0.7618208324011507,0.008215842022870956
2,55,transfer_median_1,0.7227247331752754,0.04716770362926115
2,55,transfer_median_2,0.7691173531496854,0.0007750836548511275
2,55,transfer_median_3,0.7227247331752754,0.04716770362926115
2,55,transfer_coststd_1,0.7517258356254919,0.018998322171985604
2,55,transfer_coststd_2,0.7690182862094059,0.0017058715880715614
2,55,transfer_coststd_3,0.7636812389488126,0.007042918848664925
3,57,binned_sampled,0.7678739117746908,0.025629491354859257
3,57,transfer_mean_1,0.7703166769619683,0.023186726167581773
3,57,transfer_mean_2,0.7697573822301154,0.023746020899434672
3,57,transfer_mean_3,0.7677179944262374,0.025785408703312584
3,57,transfer_median_1,0.7785743288098622,0.01582115844160592
3,57,transfer_median_2,0.7495278506762081,0.04486763657526005
3,57,transfer_median_3,0.7785743288098622,0.01582115844160592
3,57,transfer_coststd_1,0.7950179806913058,0.00015751350733606007
3,57,transfer_coststd_2,0.770722830851066,0.024452663347575898
3,57,transfer_coststd_3,0.7752971504317053,0.019878343766936535
4,62,binned_sampled,0.7758085882712363,0.018010479030503013
4,62,transfer_mean_1,0.7471682843624209,0.04665078293931846
4,62,transfer_mean_2,0.7920411831356253,0.0017778841661140188
4,62,transfer_mean_3,0.7892223254027381,0.004596741899001278
4,62,transfer_median_1,0.7524625125466476,0.03856698668520531
4,62,transfer_median_2,0.7791183927066584,0.01191110652519456
4,62,transfer_median_3,0.7524625125466476,0.03856698668520531
4,62,transfer_coststd_1,0.795352063519815,0.002093689659339093
4,62,transfer_coststd_2,0.7867649652018768,0.01068078797727734
4,62,transfer_coststd_3,0.7888195837220576,0.008626169457096489
5,65,binned_sampled,0.7620856531495169,0.010173739885995459
5,65,transfer_mean_1,0.6567937877328455,0.11546560530266692
5,65,transfer_mean_2,0.7722593930355124,0.0
5,65,transfer_mean_3,0.771552980367515,0.0007064126679974247
5,65,transfer_median_1,0.6828920139692467,0.09651364439339205
5,65,transfer_median_2,0.7794056583626388,0.0
5,65,transfer_median_3,0.6828920139692467,0.09651364439339205
5,65,transfer_coststd_1,0.7700364925016835,0.016086719077875622
5,65,transfer_coststd_2,0.780136408605225,0.005986802974334071
5,65,transfer_coststd_3,0.784222684780108,0.0019005267994510744
6,60,binned_sampled,0.8029772969168414,0.009488795714431841
6,60,transfer_mean_1,0.7213047729415694,0.09116131968970387
6,60,transfer_mean_2,0.8124660926312732,0.0
6,60,transfer_mean_3,0.8105394313201643,0.001926661311108968
6,60,transfer_median_1,0.7682350578397934,0.046283051141109866
6,60,transfer_median_2,0.7828763825473969,0.03164172643350638
6,60,transfer_median_3,0.7682350578397934,0.046283051141109866
6,60,transfer_coststd_1,0.8114084825026502,0.004592755042115204
6,60,transfer_coststd_2,0.8050559692253819,0.010945268319383472
6,60,transfer_coststd_3,0.8087735260772839,0.007227711467481468
7,70,binned_sampled,0.8641937100840761,0.0
7,70,transfer_mean_1,0.6222048770256573,0.24198883305841878
7,70,transfer_mean_2,0.5672944220597268,0.2968992880243493
7,70,transfer_mean_3,0.566292230192908,0.2979014798911681
7,70,transfer_median_1,0.4660013865560846,0.1680721249408429
7,70,transfer_median_2,0.5133022581963167,0.12077125330061078
7,70,transfer_median_3,0.4660013865560846,0.1680721249408429
7,70,transfer_coststd_1,0.8453094720511019,0.02022192793683608
7,70,transfer_coststd_2,0.846316813763779,0.019214586224158947
7,70,transfer_coststd_3,0.8578490440208398,0.007682355967098098
8,59,binned_sampled,0.7671846320317004,0.03191076662666781
8,59,transfer_mean_1,0.7223992147435461,0.07669618391482214
8,59,transfer_mean_2,0.7799300463096578,0.019165352348710418
8,59,transfer_mean_3,0.7791724457056022,0.019922952952766027
8,59,transfer_median_1,0.7090230210755056,0.08250126933286295
8,59,transfer_median_2,0.7669003538513329,0.024623936557035653
8,59,transfer_median_3,0.7090230210755056,0.08250126933286295
8,59,transfer_coststd_1,0.7987390313271717,0.0006386803659889084
8,59,transfer_coststd_2,0.7645424372856869,0.03483527440747369
