family,n,inst,m,p,regret,e_star,e_hat,delta_e,margin,cancel_factor
ER(0.25),14,4,23,3,0.047471,-0.019292,-0.114447,0.095154,0.047683,0.711491
ER(0.25),14,5,26,1,0.061245,-0.034563,-0.132408,0.097845,0.0366,0.586
ER(0.25),14,5,26,3,0.031845,-0.03209,-0.084838,0.052748,0.020902,0.451113
ER(0.25),14,6,24,1,0.057852,-0.033961,-0.124927,0.090967,0.033114,0.572522
ER(0.25),14,6,24,3,0.029872,-0.031368,-0.091662,0.060295,0.030423,0.490078
ER(0.25),14,7,18,1,0.086978,-0.033902,-0.184108,0.150206,0.063228,0.688985
ER(0.25),14,7,18,3,0.029296,-0.030876,-0.081004,0.050127,0.020832,0.448046
ER(0.25),14,8,24,1,0.062529,-0.031335,-0.126192,0.094857,0.032328,0.60216
ER(0.25),14,8,24,3,0.053493,-0.036362,-0.145392,0.10903,0.055538,0.59988
ER(0.25),14,9,18,1,0.10175,-0.033454,-0.190227,0.156773,0.055024,0.700879
ER(0.25),14,9,18,3,0.032932,-0.022247,-0.083179,0.060931,0.027999,0.577953
ER(0.25),14,10,22,1,0.104306,-0.036431,-0.193462,0.157031,0.052725,0.683059
ER(0.25),14,10,22,3,0.048308,-0.040765,-0.138452,0.097688,0.04938,0.545079
BA(k=2),12,1,20,1,0.05317,-0.029928,-0.126555,0.096627,0.043458,0.617494
BA(k=2),12,1,20,3,0.091319,-0.032989,-0.183784,0.150795,0.059476,0.695636
BA(k=2),12,2,20,1,0.030279,-0.025494,-0.072312,0.046818,0.016539,0.478681
BA(k=2),12,2,20,3,0.010004,-0.017361,-0.03925,0.021889,0.011884,0.386648
BA(k=2),12,3,20,1,0.044838,-0.03405,-0.122128,0.088079,0.043241,0.563965
BA(k=2),12,3,20,3,0.032607,-0.021378,-0.072139,0.050761,0.018154,0.542798
BA(k=2),12,4,20,1,0.063002,-0.04017,-0.151244,0.111075,0.048073,0.580284
BA(k=2),12,4,20,3,0.013079,-0.024596,-0.043159,0.018562,0.005483,0.273962
BA(k=2),12,5,20,1,0.029157,-0.032747,-0.106528,0.073781,0.044624,0.529746
BA(k=2),12,5,20,3,0.026827,-0.030106,-0.092732,0.062626,0.035799,0.509822
BA(k=2),12,6,20,1,0.036392,-0.026347,-0.088104,0.061757,0.025365,0.539587
BA(k=2),12,6,20,3,0.077358,-0.024772,-0.146335,0.121563,0.044205,0.71045
BA(k=2),12,7,20,1,0.062296,-0.030809,-0.132195,0.101386,0.03909,0.621985
BA(k=2),12,7,20,3,0.01861,-0.020559,-0.051159,0.0306,0.01199,0.426677
BA(k=2),12,8,20,1,0.041692,-0.028119,-0.106374,0.078255,0.036564,0.581855
BA(k=2),12,8,20,3,0.043424,-0.039168,-0.119681,0.080512,0.037089,0.506848
BA(k=2),12,9,20,1,0.038948,-0.028724,-0.109543,0.080819,0.04187,0.584511
BA(k=2),12,9,20,3,0.030632,-0.02692,-0.0724,0.04548,0.014848,0.457907
BA(k=2),12,10,20,1,0.059928,-0.033411,-0.120458,0.087048,0.02712,0.565727
BA(k=2),12,10,20,3,0.027177,-0.012459,-0.082261,0.069801,0.042624,0.73692
BA(k=2),14,1,24,1,0.084835,-0.03317,-0.176865,0.143695,0.05886,0.684145
BA(k=2),14,1,24,3,0.052179,-0.018281,-0.12456,0.10628,0.0541,0.744041
BA(k=2),14,2,24,1,0.03126,-0.036793,-0.123371,0.086577,0.055317,0.540554
BA(k=2),14,2,24,3,0.102222,-0.033506,-0.191357,0.15785,0.055629,0.701984
BA(k=2),14,3,24,1,0.04382,-0.029562,-0.105373,0.075811,0.031992,0.561836
BA(k=2),14,3,24,3,0.02974,-0.028986,-0.087528,0.058543,0.028802,0.502452
BA(k=2),14,4,24,1,0.079787,-0.031643,-0.156394,0.12475,0.044964,0.663436
BA(k=2),14,4,24,3,0.017331,-0.023993,-0.060667,0.036673,0.019342,0.433183
BA(k=2),14,5,24,1,0.087279,-0.035276,-0.180473,0.145197,0.057918,0.672993
BA(k=2),14,5,24,3,0.03731,-0.017392,-0.094863,0.077471,0.040161,0.690138
BA(k=2),14,6,24,1,0.067313,-0.028544,-0.139295,0.110751,0.043437,0.659862
BA(k=2),14,6,24,3,0.012501,-0.014825,-0.046579,0.031755,0.019253,0.517138
BA(k=2),14,7,24,1,0.083556,-0.041301,-0.185967,0.144666,0.06111,0.636541
BA(k=2),14,7,24,3,0.01815,-0.017721,-0.072061,0.054341,0.036191,0.605248
BA(k=2),14,8,24,1,0.069129,-0.031379,-0.138371,0.106991,0.037862,0.630287
BA(k=2),14,8,24,3,0.066412,-0.025076,-0.116671,0.091594,0.025182,0.646182
BA(k=2),14,9,24,1,0.078632,-0.039561,-0.167928,0.128367,0.049736,0.618672
BA(k=2),14,9,24,3,0.033686,-0.033195,-0.085581,0.052386,0.0187,0.441044
BA(k=2),14,10,24,1,0.081867,-0.033009,-0.162618,0.129609,0.047743,0.662534
BA(k=2),14,10,24,3,0.024436,-0.030999,-0.074718,0.043719,0.019284,0.413548
BA(k=4),12,1,32,1,0.019228,-0.01951,-0.05678,0.03727,0.018041,0.488527
BA(k=4),12,1,32,3,0.13334,-0.015382,-0.167789,0.152407,0.019067,0.832046
BA(k=4),12,2,32,1,0.025845,-0.016274,-0.057425,0.041151,0.015307,0.558369
BA(k=4),12,2,32,3,0.061872,-0.036075,-0.142103,0.106028,0.044156,0.595067
BA(k=4),12,3,32,1,0.025119,-0.015571,-0.061255,0.045683,0.020565,0.594634
BA(k=4),12,3,32,3,0.039282,-0.017319,-0.093819,0.0765,0.037218,0.688338
BA(k=4),12,4,32,1,0.033209,-0.022996,-0.077616,0.05462,0.02141,0.542877
BA(k=4),12,4,32,3,0.054869,-0.030091,-0.113804,0.083714,0.028844,0.581768
BA(k=4),12,5,32,1,0.020233,-0.021011,-0.061303,0.040293,0.02006,0.489497
BA(k=4),12,5,32,3,0.052855,-0.021036,-0.111057,0.090021,0.037166,0.681501
BA(k=4),12,6,32,1,0.025925,-0.016108,-0.058846,0.042738,0.016813,0.570197
BA(k=4),12,6,32,3,0.03614,-0.019234,-0.0901,0.070866,0.034726,0.64816
BA(k=4),12,7,32,1,0.03714,-0.021704,-0.085341,0.063637,0.026497,0.594486
BA(k=4),12,7,32,3,0.065334,-0.037971,-0.139908,0.101937,0.036603,0.573068
BA(k=4),12,8,32,1,0.021433,-0.017069,-0.055631,0.038562,0.017129,0.53042
BA(k=4),12,8,32,3,0.057172,-0.019327,-0.117765,0.098438,0.041265,0.718038
BA(k=4),12,9,32,1,0.021268,-0.015784,-0.051775,0.035991,0.014723,0.532733
BA(k=4),12,9,32,3,0.038325,-0.017861,-0.091048,0.073186,0.034862,0.671994
BA(k=4),12,10,32,1,0.037551,-0.022588,-0.087271,0.064683,0.027133,0.588784
BA(k=4),12,10,32,3,0.046765,-0.023792,-0.113829,0.090037,0.043273,0.654239
BA(k=4),14,1,40,1,0.035996,-0.027064,-0.086423,0.059359,0.023362,0.523043
BA(k=4),14,1,40,3,0.032104,-0.014211,-0.079434,0.065223,0.033118,0.696488
BA(k=4),14,2,40,1,0.033789,-0.027893,-0.085264,0.05737,0.023581,0.506995
BA(k=4),14,2,40,3,0.034011,-0.015229,-0.079504,0.064275,0.030264,0.678478
BA(k=4),14,3,40,1,0.052235,-0.020883,-0.105227,0.084344,0.032109,0.668809
BA(k=4),14,3,40,3,0.075173,-0.014925,-0.138452,0.123527,0.048354,0.80538
BA(k=4),14,4,40,1,0.059042,-0.027436,-0.119288,0.091853,0.032811,0.626024
BA(k=4),14,4,40,3,0.030874,-0.017636,-0.082412,0.064777,0.033902,0.647453
BA(k=4),14,5,40,1,0.055169,-0.027278,-0.108934,0.081656,0.026487,0.599481
BA(k=4),14,5,40,3,0.05341,-0.013966,-0.109974,0.096008,0.042598,0.774636
BA(k=4),14,6,40,1,0.048055,-0.028004,-0.118063,0.090059,0.042004,0.616563
BA(k=4),14,6,40,3,0.059048,-0.026685,-0.122927,0.096242,0.037194,0.643278
BA(k=4),14,7,40,1,0.041063,-0.021874,-0.082908,0.061034,0.019971,0.582483
BA(k=4),14,7,40,3,0.068986,-0.014131,-0.135894,0.121763,0.052777,0.81162
BA(k=4),14,8,40,1,0.026383,-0.020919,-0.061851,0.040932,0.014549,0.494531
BA(k=4),14,8,40,3,0.033976,-0.011994,-0.087242,0.075249,0.041273,0.758282
BA(k=4),14,9,40,1,0.039364,-0.023829,-0.09016,0.066332,0.026967,0.581913
BA(k=4),14,9,40,3,0.129004,-0.026889,-0.217462,0.190573,0.06157,0.779918
BA(k=4),14,10,40,1,0.048228,-0.02689,-0.104529,0.077639,0.029411,0.590771
BA(k=4),14,10,40,3,0.072709,-0.036511,-0.147591,0.11108,0.038371,0.603363
WS(k=4;b=0.1),12,1,24,1,0.038759,-0.020818,-0.077617,0.056798,0.01804,0.577013
WS(k=4;b=0.1),12,1,24,3,0.020827,-0.015074,-0.050546,0.035472,0.014645,0.540564
WS(k=4;b=0.1),12,2,24,1,0.041019,-0.022511,-0.081378,0.058867,0.017848,0.566633
WS(k=4;b=0.1),12,2,24,3,0.019401,-0.015047,-0.050272,0.035225,0.015824,0.539285
WS(k=4;b=0.1),12,3,24,1,0.03806,-0.022071,-0.082937,0.060866,0.022806,0.579636
WS(k=4;b=0.1),12,3,24,3,0.025681,-0.01997,-0.067784,0.047814,0.022133,0.544868
WS(k=4;b=0.1),12,4,24,1,0.020136,-0.020702,-0.053764,0.033063,0.012927,0.443997
WS(k=4;b=0.1),12,4,24,3,0.01672,-0.012996,-0.042123,0.029127,0.012406,0.528435
WS(k=4;b=0.1),12,5,24,1,0.022752,-0.01935,-0.058555,0.039205,0.016452,0.503233
WS(k=4;b=0.1),12,5,24,3,0.020049,-0.015374,-0.051617,0.036243,0.016193,0.541003
WS(k=4;b=0.1),12,6,24,1,0.020367,-0.019128,-0.049617,0.030489,0.010122,0.443516
WS(k=4;b=0.1),12,6,24,3,0.005074,-0.003936,-0.019862,0.015926,0.010852,0.669224
WS(k=4;b=0.1),12,7,24,1,0.020249,-0.018701,-0.04747,0.028769,0.008519,0.434759
WS(k=4;b=0.1),12,7,24,3,0.008588,-0.011268,-0.032591,0.021323,0.012734,0.486159
WS(k=4;b=0.1),12,8,24,1,0.038245,-0.022805,-0.086527,0.063722,0.025477,0.582831
WS(k=4;b=0.1),12,8,24,3,0.017912,-0.021423,-0.04992,0.028498,0.010586,0.399446
WS(k=4;b=0.1),12,9,24,1,0.023068,-0.019782,-0.058816,0.039034,0.015966,0.496627
WS(k=4;b=0.1),12,9,24,3,0.018319,-0.007188,-0.050257,0.043069,0.02475,0.74974
WS(k=4;b=0.1),12,10,24,1,0.028184,-0.02071,-0.061939,0.041229,0.013045,0.498844
WS(k=4;b=0.1),12,10,24,3,0.013915,-0.006137,-0.034645,0.028508,0.014593,0.699018
WS(k=4;b=0.1),14,1,28,1,0.060517,-0.024879,-0.12541,0.100531,0.040014,0.668918
WS(k=4;b=0.1),14,1,28,3,0.04076,-0.025439,-0.08479,0.059351,0.018591,0.538437
WS(k=4;b=0.1),14,2,28,1,0.036037,-0.02176,-0.08121,0.05945,0.023414,0.57736
WS(k=4;b=0.1),14,2,28,3,0.030163,-0.012233,-0.080113,0.06788,0.037717,0.735055
WS(k=4;b=0.1),14,3,28,1,0.027458,-0.022443,-0.066067,0.043624,0.016166,0.49287
WS(k=4;b=0.1),14,3,28,3,0.003244,-0.008092,-0.02297,0.014878,0.011634,0.47899
WS(k=4;b=0.1),14,4,28,1,0.024624,-0.019154,-0.057537,0.038383,0.013759,0.500491
WS(k=4;b=0.1),14,4,28,3,0.023256,-0.017306,-0.062267,0.044961,0.021705,0.565036
WS(k=4;b=0.1),14,5,28,1,0.046115,-0.023021,-0.096586,0.073565,0.02745,0.615051
WS(k=4;b=0.1),14,5,28,3,0.022293,-0.021338,-0.061821,0.040483,0.01819,0.486812
WS(k=4;b=0.1),14,6,28,1,0.024795,-0.021767,-0.064979,0.043212,0.018417,0.498151
WS(k=4;b=0.1),14,6,28,3,0.010797,-0.010114,-0.031857,0.021743,0.010946,0.518038
WS(k=4;b=0.1),14,7,28,1,0.026478,-0.019439,-0.058356,0.038917,0.012439,0.500246
WS(k=4;b=0.1),14,7,28,3,0.019695,-0.012534,-0.046953,0.034419,0.014724,0.578595
WS(k=4;b=0.1),14,8,28,1,0.034077,-0.021307,-0.080323,0.059016,0.024939,0.580689
WS(k=4;b=0.1),14,8,28,3,0.044258,-0.02319,-0.092225,0.069035,0.024777,0.598147
WS(k=4;b=0.1),14,9,28,1,0.024795,-0.021719,-0.065014,0.043294,0.018499,0.499168
WS(k=4;b=0.1),14,9,28,3,0.026738,-0.017833,-0.064306,0.046473,0.019734,0.565783
WS(k=4;b=0.1),14,10,28,1,0.06051,-0.02906,-0.122515,0.093455,0.032944,0.616559
WS(k=4;b=0.1),14,10,28,3,0.027758,-0.033658,-0.084578,0.05092,0.023162,0.430663
WS(k=4;b=0.5),12,1,24,1,0.079965,-0.030317,-0.150203,0.119886,0.039921,0.664118
WS(k=4;b=0.5),12,1,24,3,0.040321,-0.023129,-0.080232,0.057103,0.016782,0.552464
WS(k=4;b=0.5),12,2,24,1,0.035157,-0.02223,-0.081778,0.059548,0.02439,0.57253
WS(k=4;b=0.5),12,2,24,3,0.020849,-0.017057,-0.053003,0.035946,0.015097,0.513076
WS(k=4;b=0.5),12,3,24,1,0.063349,-0.029453,-0.132307,0.102854,0.039505,0.63584
WS(k=4;b=0.5),12,3,24,3,0.078579,-0.033658,-0.163942,0.130284,0.051705,0.659335
WS(k=4;b=0.5),12,4,24,1,0.056736,-0.023382,-0.108964,0.085582,0.028846,0.64665
WS(k=4;b=0.5),12,4,24,3,0.038183,-0.022894,-0.086471,0.063577,0.025394,0.581326
WS(k=4;b=0.5),12,5,24,1,0.059059,-0.030705,-0.125886,0.095181,0.036122,0.607828
WS(k=4;b=0.5),12,5,24,3,0.076903,-0.02469,-0.148436,0.123746,0.046843,0.714771
WS(k=4;b=0.5),12,6,24,1,0.034638,-0.021569,-0.080732,0.059164,0.024526,0.57833
WS(k=4;b=0.5),12,6,24,3,0.033935,-0.017745,-0.073343,0.055599,0.021663,0.610383
WS(k=4;b=0.5),12,7,24,1,0.041638,-0.028195,-0.10769,0.079495,0.037858,0.585019
WS(k=4;b=0.5),12,7,24,3,0.070439,-0.009231,-0.12833,0.119099,0.04866,0.865793
WS(k=4;b=0.5),12,8,24,1,0.031784,-0.022231,-0.08279,0.060559,0.028775,0.576631
WS(k=4;b=0.5),12,8,24,3,0.048506,-0.027003,-0.104018,0.077015,0.028509,0.587808
WS(k=4;b=0.5),12,9,24,1,0.032292,-0.022156,-0.073964,0.051808,0.019516,0.538989
WS(k=4;b=0.5),12,9,24,3,0.026559,-0.021955,-0.069643,0.047688,0.021129,0.520617
WS(k=4;b=0.5),12,10,24,1,0.058496,-0.024708,-0.117107,0.092399,0.033903,0.651544
WS(k=4;b=0.5),12,10,24,3,0.015278,-0.02141,-0.044362,0.022952,0.007674,0.34896
WS(k=4;b=0.5),14,1,28,1,0.039122,-0.024225,-0.091112,0.066887,0.027765,0.57993
WS(k=4;b=0.5),14,1,28,3,0.02698,-0.023624,-0.069532,0.045908,0.018928,0.492809
WS(k=4;b=0.5),14,2,28,1,0.057713,-0.031694,-0.130229,0.098535,0.040823,0.60853
WS(k=4;b=0.5),14,2,28,3,0.086297,-0.013196,-0.162041,0.148844,0.062547,0.84939
WS(k=4;b=0.5),14,3,28,1,0.044429,-0.023287,-0.095582,0.072295,0.027866,0.608192
