family,n,instance,seed,m,alpha,method,ar,ceil,regret
3-regular,26,1,20563313,39,3.0,ceiling,0.7272862082044781,0.7272862082044781,0.0
3-regular,26,1,20563313,39,3.0,binned_sampled,0.6826196186803843,0.7272862082044781,0.04466658952409375
3-regular,26,1,20563313,39,3.0,transfer_1,0.6673657976422934,0.7272862082044781,0.05992041056218467
3-regular,26,1,20563313,39,3.0,transfer_2,0.690873046018601,0.7272862082044781,0.03641316218587709
3-regular,26,1,20563313,39,3.0,transfer_3,0.6914822059708872,0.7272862082044781,0.035804002233590926
3-regular,26,1,20563313,39,3.0,universal,0.6914822059708872,0.7272862082044781,0.035804002233590926
3-regular,26,2,20563314,39,3.0,ceiling,0.7521530466965977,0.7521530466965977,0.0
3-regular,26,2,20563314,39,3.0,binned_sampled,0.6994533823212813,0.7521530466965977,0.05269966437531637
3-regular,26,2,20563314,39,3.0,transfer_1,0.7521530466965977,0.7521530466965977,0.0
3-regular,26,2,20563314,39,3.0,transfer_2,0.7516382064640716,0.7521530466965977,0.0005148402325260149
3-regular,26,2,20563314,39,3.0,transfer_3,0.7504927734715318,0.7521530466965977,0.0016602732250659002
3-regular,26,2,20563314,39,3.0,universal,0.7504927734715318,0.7521530466965977,0.0016602732250659002
3-regular,26,3,20563315,39,3.0,ceiling,0.7626723848820632,0.7626723848820632,0.0
3-regular,26,3,20563315,39,3.0,binned_sampled,0.6984465706938733,0.7626723848820632,0.06422581418818996
3-regular,26,3,20563315,39,3.0,transfer_1,0.7617100800189792,0.7626723848820632,0.0009623048630840181
3-regular,26,3,20563315,39,3.0,transfer_2,0.7613846321277592,0.7626723848820632,0.001287752754304039
3-regular,26,3,20563315,39,3.0,transfer_3,0.7620209614055875,0.7626723848820632,0.0006514234764757321
3-regular,26,3,20563315,39,3.0,universal,0.7620209614055875,0.7626723848820632,0.0006514234764757321
3-regular,26,4,20563316,39,3.0,ceiling,0.7292046656385193,0.7292046656385193,0.0
3-regular,26,4,20563316,39,3.0,binned_sampled,0.7140413671901243,0.7292046656385193,0.015163298448394924
3-regular,26,4,20563316,39,3.0,transfer_1,0.7197483628789332,0.7292046656385193,0.009456302759586088
3-regular,26,4,20563316,39,3.0,transfer_2,0.7292046656385193,0.7292046656385193,0.0
3-regular,26,4,20563316,39,3.0,transfer_3,0.7279464367413112,0.7292046656385193,0.001258228897208058
3-regular,26,4,20563316,39,3.0,universal,0.7279464367413112,0.7292046656385193,0.001258228897208058
3-regular,26,5,20563317,39,3.0,ceiling,0.745868210524356,0.745868210524356,0.0
3-regular,26,5,20563317,39,3.0,binned_sampled,0.6755282245908021,0.745868210524356,0.07033998593355395
3-regular,26,5,20563317,39,3.0,transfer_1,0.744094217517438,0.745868210524356,0.001773993006918051
3-regular,26,5,20563317,39,3.0,transfer_2,0.745868210524356,0.745868210524356,0.0
3-regular,26,5,20563317,39,3.0,transfer_3,0.7447346364817576,0.745868210524356,0.0011335740425983953
3-regular,26,5,20563317,39,3.0,universal,0.7447346364817576,0.745868210524356,0.0011335740425983953
