family,n,instance,seed,m,alpha,method,ar,ceil,regret
3-regular,22,1,20562913,33,3.0,ceiling,0.7557935318906966,0.7557935318906966,0.0
3-regular,22,1,20562913,33,3.0,binned_sampled,0.6410460021154559,0.7557935318906966,0.11474752977524072
3-regular,22,1,20562913,33,3.0,transfer_1,0.7555008892563033,0.7557935318906966,0.0002926426343933253
3-regular,22,1,20562913,33,3.0,transfer_2,0.7551443584693398,0.7557935318906966,0.0006491734213568412
3-regular,22,1,20562913,33,3.0,transfer_3,0.7551177623405798,0.7557935318906966,0.0006757695501168337
3-regular,22,1,20562913,33,3.0,universal,0.7551177623405798,0.7557935318906966,0.0006757695501168337
3-regular,22,2,20562914,33,3.0,ceiling,0.7203316328645253,0.7203316328645253,0.0
3-regular,22,2,20562914,33,3.0,binned_sampled,0.6661430572180345,0.7203316328645253,0.05418857564649082
3-regular,22,2,20562914,33,3.0,transfer_1,0.7174785602291276,0.7203316328645253,0.002853072635397691
3-regular,22,2,20562914,33,3.0,transfer_2,0.7203316328645253,0.7203316328645253,0.0
3-regular,22,2,20562914,33,3.0,transfer_3,0.7190704728003132,0.7203316328645253,0.0012611600642120635
3-regular,22,2,20562914,33,3.0,universal,0.7190704728003132,0.7203316328645253,0.0012611600642120635
3-regular,22,3,20562915,33,3.0,ceiling,0.7642406194365569,0.7642406194365569,0.0
3-regular,22,3,20562915,33,3.0,binned_sampled,0.6878339095981619,0.7642406194365569,0.07640670983839493
3-regular,22,3,20562915,33,3.0,transfer_1,0.7642406194365569,0.7642406194365569,0.0
3-regular,22,3,20562915,33,3.0,transfer_2,0.7602255829098289,0.7642406194365569,0.004015036526727966
3-regular,22,3,20562915,33,3.0,transfer_3,0.759857143989082,0.7642406194365569,0.0043834754474748605
3-regular,22,3,20562915,33,3.0,universal,0.759857143989082,0.7642406194365569,0.0043834754474748605
3-regular,22,4,20562916,33,3.0,ceiling,0.772481272131858,0.772481272131858,0.0
3-regular,22,4,20562916,33,3.0,binned_sampled,0.6970437844494781,0.772481272131858,0.0754374876823799
3-regular,22,4,20562916,33,3.0,transfer_1,0.7723353845235794,0.772481272131858,0.00014588760827860536
3-regular,22,4,20562916,33,3.0,transfer_2,0.769018300628662,0.772481272131858,0.0034629715031959662
3-regular,22,4,20562916,33,3.0,transfer_3,0.7689258358864298,0.772481272131858,0.0035554362454282007
3-regular,22,4,20562916,33,3.0,universal,0.7689258358864298,0.772481272131858,0.0035554362454282007
3-regular,22,5,20562917,33,3.0,ceiling,0.7631036200834199,0.7631036200834199,0.0
3-regular,22,5,20562917,33,3.0,binned_sampled,0.6820596812086532,0.7631036200834199,0.08104393887476669
3-regular,22,5,20562917,33,3.0,transfer_1,0.7620514185984488,0.7631036200834199,0.0010522014849710937
3-regular,22,5,20562917,33,3.0,transfer_2,0.75709165711725,0.7631036200834199,0.006011962966169904
3-regular,22,5,20562917,33,3.0,transfer_3,0.7578116916700627,0.7631036200834199,0.005291928413357239
3-regular,22,5,20562917,33,3.0,universal,0.7578116916700627,0.7631036200834199,0.005291928413357239
