family,n,instance,seed,m,alpha,method,ar,ceil,regret
3-regular,26,1,20413313,39,1.5,ceiling,0.7625153153678966,0.7625153153678966,0.0
3-regular,26,1,20413313,39,1.5,binned_sampled,0.7464411005480832,0.7625153153678966,0.016074214819813415
3-regular,26,1,20413313,39,1.5,transfer_1,0.7145505867869283,0.7625153153678966,0.04796472858096834
3-regular,26,1,20413313,39,1.5,transfer_2,0.7625153153678966,0.7625153153678966,0.0
3-regular,26,1,20413313,39,1.5,transfer_3,0.7625153153678966,0.7625153153678966,0.0
3-regular,26,1,20413313,39,1.5,universal,0.7464882956193866,0.7625153153678966,0.016027019748510063
3-regular,26,2,20413314,39,1.5,ceiling,0.7384276170016697,0.7384276170016697,0.0
3-regular,26,2,20413314,39,1.5,binned_sampled,0.7384276170016697,0.7384276170016697,0.0
3-regular,26,2,20413314,39,1.5,transfer_1,0.6786656666436344,0.7384276170016697,0.05976195035803533
3-regular,26,2,20413314,39,1.5,transfer_2,0.7360790218811846,0.7384276170016697,0.0023485951204851307
3-regular,26,2,20413314,39,1.5,transfer_3,0.7360790218811846,0.7384276170016697,0.0023485951204851307
3-regular,26,2,20413314,39,1.5,universal,0.7089041657477803,0.7384276170016697,0.029523451253889443
3-regular,26,3,20413315,39,1.5,ceiling,0.7154423787928971,0.7154423787928971,0.0
3-regular,26,3,20413315,39,1.5,binned_sampled,0.7142403799886458,0.7154423787928971,0.0012019988042513141
3-regular,26,3,20413315,39,1.5,transfer_1,0.6342255839924765,0.7154423787928971,0.08121679480042054
3-regular,26,3,20413315,39,1.5,transfer_2,0.623526654778379,0.7154423787928971,0.09191572401451809
3-regular,26,3,20413315,39,1.5,transfer_3,0.623526654778379,0.7154423787928971,0.09191572401451809
3-regular,26,3,20413315,39,1.5,universal,0.5992488752283176,0.7154423787928971,0.11619350356457947
3-regular,26,4,20413316,39,1.5,ceiling,0.7510194449162241,0.7510194449162241,0.0
3-regular,26,4,20413316,39,1.5,binned_sampled,0.6884519867060389,0.7510194449162241,0.06256745821018517
3-regular,26,4,20413316,39,1.5,transfer_1,0.7510194449162241,0.7510194449162241,0.0
3-regular,26,4,20413316,39,1.5,transfer_2,0.7255040788349899,0.7510194449162241,0.02551536608123417
3-regular,26,4,20413316,39,1.5,transfer_3,0.7255040788349899,0.7510194449162241,0.02551536608123417
3-regular,26,4,20413316,39,1.5,universal,0.7439055766574534,0.7510194449162241,0.007113868258770695
3-regular,26,5,20413317,39,1.5,ceiling,0.7375126914183621,0.7375126914183621,0.0
3-regular,26,5,20413317,39,1.5,binned_sampled,0.7072737362321785,0.7375126914183621,0.03023895518618358
3-regular,26,5,20413317,39,1.5,transfer_1,0.5811080370947619,0.7375126914183621,0.15640465432360018
3-regular,26,5,20413317,39,1.5,transfer_2,0.7077791396854123,0.7375126914183621,0.02973355173294978
3-regular,26,5,20413317,39,1.5,transfer_3,0.7077791396854123,0.7375126914183621,0.02973355173294978
3-regular,26,5,20413317,39,1.5,universal,0.6448220467093273,0.7375126914183621,0.09269064470903476
