family,n,instance,seed,m,alpha,method,ar,ceil,regret
ER(0.5),22,1,20562913,111,3.0,ceiling,0.8247509456609329,0.8247509456609329,0.0
ER(0.5),22,1,20562913,111,3.0,binned_sampled,0.7818058355754841,0.8247509456609329,0.04294511008544877
ER(0.5),22,1,20562913,111,3.0,transfer_1,0.8151857658420901,0.8247509456609329,0.00956517981884275
ER(0.5),22,1,20562913,111,3.0,transfer_2,0.7988106224748923,0.8247509456609329,0.02594032318604056
ER(0.5),22,1,20562913,111,3.0,transfer_3,0.7988106224748923,0.8247509456609329,0.02594032318604056
ER(0.5),22,1,20562913,111,3.0,universal,0.7988106224748923,0.8247509456609329,0.02594032318604056
ER(0.5),22,2,20562914,102,3.0,ceiling,0.802734369075438,0.802734369075438,0.0
ER(0.5),22,2,20562914,102,3.0,binned_sampled,0.7455281692444138,0.802734369075438,0.05720619983102426
ER(0.5),22,2,20562914,102,3.0,transfer_1,0.792277549783549,0.802734369075438,0.010456819291889019
ER(0.5),22,2,20562914,102,3.0,transfer_2,0.7732848464277694,0.802734369075438,0.029449522647668647
ER(0.5),22,2,20562914,102,3.0,transfer_3,0.7732848464277694,0.802734369075438,0.029449522647668647
ER(0.5),22,2,20562914,102,3.0,universal,0.7732848464277694,0.802734369075438,0.029449522647668647
ER(0.5),22,3,20562915,121,3.0,ceiling,0.8348238174150141,0.8348238174150141,0.0
ER(0.5),22,3,20562915,121,3.0,binned_sampled,0.7956189930631836,0.8348238174150141,0.03920482435183048
ER(0.5),22,3,20562915,121,3.0,transfer_1,0.8197036243893259,0.8348238174150141,0.015120193025688233
ER(0.5),22,3,20562915,121,3.0,transfer_2,0.801345225375271,0.8348238174150141,0.03347859203974313
ER(0.5),22,3,20562915,121,3.0,transfer_3,0.801345225375271,0.8348238174150141,0.03347859203974313
ER(0.5),22,3,20562915,121,3.0,universal,0.801345225375271,0.8348238174150141,0.03347859203974313
ER(0.5),22,4,20562916,130,3.0,ceiling,0.8249511962567756,0.8249511962567756,0.0
ER(0.5),22,4,20562916,130,3.0,binned_sampled,0.7852244619021769,0.8249511962567756,0.039726734354598725
ER(0.5),22,4,20562916,130,3.0,transfer_1,0.8028395220560105,0.8249511962567756,0.022111674200765097
ER(0.5),22,4,20562916,130,3.0,transfer_2,0.7803692593886684,0.8249511962567756,0.044581936868107186
ER(0.5),22,4,20562916,130,3.0,transfer_3,0.7803692593886684,0.8249511962567756,0.044581936868107186
ER(0.5),22,4,20562916,130,3.0,universal,0.7803692593886684,0.8249511962567756,0.044581936868107186
ER(0.5),22,5,20562917,108,3.0,ceiling,0.8292024943024665,0.8292024943024665,0.0
ER(0.5),22,5,20562917,108,3.0,binned_sampled,0.7777034326339868,0.8292024943024665,0.05149906166847973
ER(0.5),22,5,20562917,108,3.0,transfer_1,0.8208834610443982,0.8292024943024665,0.008319033258068265
ER(0.5),22,5,20562917,108,3.0,transfer_2,0.8037368801684576,0.8292024943024665,0.02546561413400894
ER(0.5),22,5,20562917,108,3.0,transfer_3,0.8037368801684576,0.8292024943024665,0.02546561413400894
ER(0.5),22,5,20562917,108,3.0,universal,0.8037368801684576,0.8292024943024665,0.02546561413400894
