family,n,instance,seed,source_rep,p,ar_transfer,ar_ceiling,regret_transfer
ER(0.5),14,4,20272015,2,1,0.8245293656269178,0.8245293656269178,0.0
ER(0.5),14,4,20272015,2,3,0.8981788401194885,0.9084022887862953,0.0102234486668068
ER(0.5),14,4,20272015,3,1,0.8238638870074114,0.8245293656269178,0.0006654786195063878
ER(0.5),14,4,20272015,3,3,0.9055290389637621,0.9084022887862953,0.0028732498225331193
ER(0.5),14,5,20272016,1,1,0.7490216105263344,0.7521891273631569,0.0031675168368224815
ER(0.5),14,5,20272016,1,3,0.8480460900582595,0.8694375958291976,0.02139150577093807
ER(0.5),14,5,20272016,2,1,0.7521891273631569,0.7521891273631569,0.0
ER(0.5),14,5,20272016,2,3,0.8565085723483264,0.8694375958291976,0.012929023480871105
ER(0.5),14,5,20272016,3,1,0.7490216105263344,0.7521891273631569,0.0031675168368224815
ER(0.5),14,5,20272016,3,3,0.8400655387681903,0.8694375958291976,0.029372057061007206
ER(0.5),14,6,20272017,1,1,0.868119284134061,0.871041803678108,0.0029225195440469864
ER(0.5),14,6,20272017,1,3,0.925348322764474,0.9348804496093718,0.009532126844897792
ER(0.5),14,6,20272017,2,1,0.8642796660073311,0.871041803678108,0.006762137670776935
ER(0.5),14,6,20272017,2,3,0.8851805820704878,0.9348804496093718,0.049699867538884
ER(0.5),14,6,20272017,3,1,0.868119284134061,0.871041803678108,0.0029225195440469864
ER(0.5),14,6,20272017,3,3,0.9280860721250329,0.9348804496093718,0.006794377484338865
ER(0.5),14,7,20272018,1,1,0.8402116944316327,0.8419315159739391,0.0017198215423064322
ER(0.5),14,7,20272018,1,3,0.9061694272136603,0.9132775713018914,0.0071081440882310165
ER(0.5),14,7,20272018,2,1,0.8373942137990187,0.8419315159739391,0.004537302174920432
ER(0.5),14,7,20272018,2,3,0.8719378120028491,0.9132775713018914,0.04133975929904221
ER(0.5),14,7,20272018,3,1,0.8402116944316327,0.8419315159739391,0.0017198215423064322
ER(0.5),14,7,20272018,3,3,0.9070525318943817,0.9132775713018914,0.006225039407509625
ER(0.5),14,8,20272019,1,1,0.8069138251331403,0.8082921037570993,0.0013782786239590061
ER(0.5),14,8,20272019,1,3,0.8857033303873028,0.8927882282129495,0.007084897825646697
ER(0.5),14,8,20272019,2,1,0.8054902865101483,0.8082921037570993,0.002801817246950944
ER(0.5),14,8,20272019,2,3,0.8662905613868196,0.8927882282129495,0.026497666826129862
ER(0.5),14,8,20272019,3,1,0.8069138251331403,0.8082921037570993,0.0013782786239590061
ER(0.5),14,8,20272019,3,3,0.8818569141446508,0.8927882282129495,0.010931314068298614
ER(0.5),14,9,20272020,1,1,0.8388188930539693,0.8414147658518704,0.0025958727979010776
ER(0.5),14,9,20272020,1,3,0.9290866395516368,0.9290866395516368,0.0
ER(0.5),14,9,20272020,2,1,0.8412866060467843,0.8414147658518704,0.00012815980508606994
ER(0.5),14,9,20272020,2,3,0.9144667505982502,0.9290866395516368,0.014619888953386617
ER(0.5),14,9,20272020,3,1,0.8388188930539693,0.8414147658518704,0.0025958727979010776
ER(0.5),14,9,20272020,3,3,0.9285223837779,0.9290866395516368,0.0005642557737368659
ER(0.5),14,10,20272021,1,1,0.8595519971805428,0.8609657491262915,0.0014137519457487757
ER(0.5),14,10,20272021,1,3,0.9249659128613078,0.9307555018812391,0.005789589019931318
ER(0.5),14,10,20272021,2,1,0.8563695082815858,0.8609657491262915,0.004596240844705779
ER(0.5),14,10,20272021,2,3,0.895683463913541,0.9307555018812391,0.03507203796769809
ER(0.5),14,10,20272021,3,1,0.8595519971805428,0.8609657491262915,0.0014137519457487757
ER(0.5),14,10,20272021,3,3,0.9284339517817415,0.9307555018812391,0.002321550099497638
ER(0.5),14,11,20272022,1,1,0.8315482783670383,0.8328785328471061,0.0013302544800678495
ER(0.5),14,11,20272022,1,3,0.9062144260210755,0.9126221341533626,0.006407708132287082
ER(0.5),14,11,20272022,2,1,0.8303728619312077,0.8328785328471061,0.0025056709158983725
ER(0.5),14,11,20272022,2,3,0.8758104527056072,0.9126221341533626,0.03681168144775537
ER(0.5),14,11,20272022,3,1,0.8315482783670383,0.8328785328471061,0.0013302544800678495
ER(0.5),14,11,20272022,3,3,0.9046117602750056,0.9126221341533626,0.008010373878357013
ER(0.5),14,12,20272023,1,1,0.8230859624443803,0.8239742354301771,0.0008882729857968563
ER(0.5),14,12,20272023,1,3,0.8971156133927061,0.9021955307520492,0.0050799173593431
ER(0.5),14,12,20272023,2,1,0.8218149953468877,0.8239742354301771,0.002159240083289382
ER(0.5),14,12,20272023,2,3,0.8694260046498525,0.9021955307520492,0.03276952610219663
ER(0.5),14,12,20272023,3,1,0.8230859624443803,0.8239742354301771,0.0008882729857968563
ER(0.5),14,12,20272023,3,3,0.8961731582054278,0.9021955307520492,0.006022372546621413
ER(0.5),14,13,20272024,1,1,0.8318203706967953,0.832515057368888,0.0006946866720927147
ER(0.5),14,13,20272024,1,3,0.9105054637840051,0.9135133838959494,0.0030079201119442844
ER(0.5),14,13,20272024,2,1,0.8322313153300483,0.832515057368888,0.00028374203883962945
ER(0.5),14,13,20272024,2,3,0.889483460127129,0.9135133838959494,0.024029923768820405
ER(0.5),14,13,20272024,3,1,0.8318203706967953,0.832515057368888,0.0006946866720927147
ER(0.5),14,13,20272024,3,3,0.9097633232395597,0.9135133838959494,0.00375006065638972
ER(0.5),14,14,20272025,1,1,0.8238608674117778,0.828633670270751,0.004772802858973191
ER(0.5),14,14,20272025,1,3,0.8838387373828055,0.8948233720726211,0.010984634689815587
ER(0.5),14,14,20272025,2,1,0.818396471955879,0.828633670270751,0.01023719831487202
ER(0.5),14,14,20272025,2,3,0.8404413787204157,0.8948233720726211,0.05438199335220539
ER(0.5),14,14,20272025,3,1,0.8238608674117778,0.828633670270751,0.004772802858973191
ER(0.5),14,14,20272025,3,3,0.8838516641610822,0.8948233720726211,0.010971707911538897
ER(0.5),14,15,20272026,1,1,0.8755196242122241,0.8760985949458712,0.0005789707336470995
ER(0.5),14,15,20272026,1,3,0.9497664314638821,0.9539873937243694,0.004220962260487293
ER(0.5),14,15,20272026,2,1,0.8753209109833141,0.8760985949458712,0.0007776839625570631
ER(0.5),14,15,20272026,2,3,0.925466284369076,0.9539873937243694,0.028521109355293395
ER(0.5),14,15,20272026,3,1,0.8755196242122241,0.8760985949458712,0.0005789707336470995
ER(0.5),14,15,20272026,3,3,0.9501650133190093,0.9539873937243694,0.003822380405360093
ER(0.5),14,16,20272027,1,1,0.8393768697838062,0.8405072871356277,0.001130417351821511
ER(0.5),14,16,20272027,1,3,0.9170703878554964,0.9219577939833509,0.004887406127854432
ER(0.5),14,16,20272027,2,1,0.8379660530556047,0.8405072871356277,0.002541234080023047
ER(0.5),14,16,20272027,2,3,0.8934590446917796,0.9219577939833509,0.028498749291571257
ER(0.5),14,16,20272027,3,1,0.8393768697838062,0.8405072871356277,0.001130417351821511
ER(0.5),14,16,20272027,3,3,0.9153742292794989,0.9219577939833509,0.006583564703852018
ER(0.5),14,17,20272028,1,1,0.8277542219863494,0.8292552615645715,0.0015010395782221186
ER(0.5),14,17,20272028,1,3,0.899955626331784,0.9054967848961708,0.00554115856438675
ER(0.5),14,17,20272028,2,1,0.825552403409174,0.8292552615645715,0.0037028581553975037
ER(0.5),14,17,20272028,2,3,0.872165779293297,0.9054967848961708,0.03333100560287383
ER(0.5),14,17,20272028,3,1,0.8277542219863494,0.8292552615645715,0.0015010395782221186
ER(0.5),14,17,20272028,3,3,0.8986362756515223,0.9054967848961708,0.006860509244648538
ER(0.5),14,18,20272029,1,1,0.7970691789754455,0.7979080656531403,0.0008388866776948278
ER(0.5),14,18,20272029,1,3,0.8860910823211112,0.8962567914053617,0.010165709084250518
ER(0.5),14,18,20272029,2,1,0.7973557323619986,0.7979080656531403,0.0005523332911416823
ER(0.5),14,18,20272029,2,3,0.8776577716451511,0.8962567914053617,0.01859901976021061
ER(0.5),14,18,20272029,3,1,0.7970691789754455,0.7979080656531403,0.0008388866776948278
ER(0.5),14,18,20272029,3,3,0.8802196087722605,0.8962567914053617,0.016037182633101277
ER(0.5),14,19,20272030,1,1,0.8497481040509544,0.850188607484086,0.00044050343313162266
ER(0.5),14,19,20272030,1,3,0.9280371896713848,0.9313756944808171,0.003338504809432319
ER(0.5),14,19,20272030,2,1,0.8483769006440885,0.850188607484086,0.001811706839997429
ER(0.5),14,19,20272030,2,3,0.9060759512849271,0.9313756944808171,0.025299743195890012
ER(0.5),14,19,20272030,3,1,0.8497481040509544,0.850188607484086,0.00044050343313162266
ER(0.5),14,19,20272030,3,3,0.9276419869126429,0.9313756944808171,0.0037337075681742604
ER(0.5),14,20,20272031,1,1,0.7980086911587189,0.7980086911587189,0.0
ER(0.5),14,20,20272031,1,3,0.8783637158202472,0.8795447875522806,0.0011810717320334119
ER(0.5),14,20,20272031,2,1,0.7973977768584329,0.7980086911587189,0.0006109143002859252
ER(0.5),14,20,20272031,2,3,0.8648768580224373,0.8795447875522806,0.014667929529843304
ER(0.5),14,20,20272031,3,1,0.7980086911587189,0.7980086911587189,0.0
ER(0.5),14,20,20272031,3,3,0.8771886656774316,0.8795447875522806,0.0023561218748490154
ER(0.5),14,21,20272032,1,1,0.8255821536284887,0.8262748586494073,0.0006927050209185603
