family,n,inst,m,p,regret,bound_paper,margin,bound_sharp,bound_unif,ratio_paper,ratio_sharp,e_star,e_hat,onesided_sign_ok,onesided_bound,onesided_holds,err_cos
BA(k=2),12,1,20,3,0.091319,0.7899,0.059476,0.730424,1.317605,8.65,8.0,-0.032989,-0.183784,1,0.531624,1,-0.284
BA(k=2),12,2,20,1,0.030279,0.361611,0.016539,0.345072,0.828242,11.94,11.4,-0.025494,-0.072312,1,0.244126,1,-0.6826
BA(k=2),12,2,20,3,0.010004,0.211815,0.011884,0.199931,0.526694,21.17,19.98,-0.017361,-0.03925,1,0.115237,1,0.8886
BA(k=2),12,3,20,1,0.044838,0.540173,0.043241,0.496932,1.116756,12.05,11.08,-0.03405,-0.122128,1,0.360582,1,-0.7148
BA(k=2),12,3,20,3,0.032607,0.360768,0.018154,0.342615,0.800951,11.06,10.51,-0.021378,-0.072139,1,0.242406,1,0.7007
BA(k=2),12,4,20,1,0.063002,0.605079,0.048073,0.557006,1.14819,9.6,8.84,-0.04017,-0.151244,1,0.41315,1,-0.1845
BA(k=2),12,4,20,3,0.013079,0.245877,0.005483,0.240394,0.584814,18.8,18.38,-0.024596,-0.043159,1,0.139993,1,0.8878
BA(k=2),12,5,20,1,0.029157,0.553078,0.044624,0.508454,0.997932,18.97,17.44,-0.032747,-0.106528,1,0.365942,1,-0.7175
BA(k=2),12,5,20,3,0.026827,0.46508,0.035799,0.429281,0.949527,17.34,16.0,-0.030106,-0.092732,1,0.265603,1,-0.8123
BA(k=2),14,1,24,1,0.084835,0.698759,0.05886,0.639899,1.320325,8.24,7.54,-0.03317,-0.176865,1,0.508187,1,0.494
BA(k=2),14,1,24,3,0.052179,0.509867,0.0541,0.455767,0.997822,9.77,8.73,-0.018281,-0.12456,1,0.33124,1,-0.5952
BA(k=2),14,2,24,1,0.03126,0.603571,0.055317,0.548254,1.135875,19.31,17.54,-0.036793,-0.123371,1,0.394375,1,0.0215
BA(k=2),14,2,24,3,0.102222,0.71313,0.055629,0.657501,1.243678,6.98,6.43,-0.033506,-0.191357,1,0.515976,1,0.3032
BA(k=2),14,3,24,1,0.04382,0.488814,0.031992,0.456823,0.955791,11.16,10.43,-0.029562,-0.105373,1,0.335728,1,-0.3433
BA(k=2),14,3,24,3,0.02974,0.400897,0.028802,0.372095,0.780375,13.48,12.51,-0.028986,-0.087528,1,0.247683,1,0.5678
BA(k=2),14,4,24,1,0.079787,0.637625,0.044964,0.592661,1.209539,7.99,7.43,-0.031643,-0.156394,1,0.470157,1,0.4827
