family,n,instance,seed,m,p,method,ar,ceil,regret
ER(0.25),14,1,20302106,20,10,ceiling,0.9504257384360633,0.9504257384360633,0.0
ER(0.25),14,1,20302106,20,10,exactN,0.8625646389181834,0.9504257384360633,0.0878610995178799
ER(0.25),14,1,20302106,20,10,sampledN,0.6798819235486749,0.9504257384360633,0.2705438148873883
ER(0.25),14,1,20302106,20,10,paper_binP,0.7486603254902093,0.9504257384360633,0.20176541294585393
ER(0.25),14,1,20302106,20,10,paper_empP,0.7443348912269871,0.9504257384360633,0.2060908472090761
ER(0.25),14,1,20302106,20,10,transfer_1,0.9504257384360633,0.9504257384360633,0.0
ER(0.25),14,1,20302106,20,10,transfer_2,0.9213481000277883,0.9504257384360633,0.02907763840827493
ER(0.25),14,1,20302106,20,10,transfer_3,0.9458980655785664,0.9504257384360633,0.004527672857496889
ER(0.25),14,1,20302106,20,10,universal,0.9458980655785664,0.9504257384360633,0.004527672857496889
ER(0.25),14,2,20302107,25,10,ceiling,0.968356056980322,0.968356056980322,0.0
ER(0.25),14,2,20302107,25,10,exactN,0.8915594515933656,0.968356056980322,0.07679660538695643
ER(0.25),14,2,20302107,25,10,sampledN,0.8915594515933656,0.968356056980322,0.07679660538695643
ER(0.25),14,2,20302107,25,10,paper_binP,0.7798868904306314,0.968356056980322,0.1884691665496906
ER(0.25),14,2,20302107,25,10,paper_empP,0.7935970839633486,0.968356056980322,0.1747589730169734
ER(0.25),14,2,20302107,25,10,transfer_1,0.9670253949039482,0.968356056980322,0.0013306620763737786
ER(0.25),14,2,20302107,25,10,transfer_2,0.9431895127567168,0.968356056980322,0.025166544223605203
ER(0.25),14,2,20302107,25,10,transfer_3,0.9645872674781376,0.968356056980322,0.0037687895021844
ER(0.25),14,2,20302107,25,10,universal,0.9645872674781376,0.968356056980322,0.0037687895021844
ER(0.25),14,3,20302108,26,10,ceiling,0.9654847739859063,0.9654847739859063,0.0
ER(0.25),14,3,20302108,26,10,exactN,0.8930179071379826,0.9654847739859063,0.0724668668479237
ER(0.25),14,3,20302108,26,10,sampledN,0.9111149210742209,0.9654847739859063,0.05436985291168539
ER(0.25),14,3,20302108,26,10,paper_binP,0.7953132513081171,0.9654847739859063,0.17017152267778912
ER(0.25),14,3,20302108,26,10,paper_empP,0.8038820402139935,0.9654847739859063,0.1616027337719128
ER(0.25),14,3,20302108,26,10,transfer_1,0.9627192924196469,0.9654847739859063,0.0027654815662593313
ER(0.25),14,3,20302108,26,10,transfer_2,0.9485150864636875,0.9654847739859063,0.016969687522218724
ER(0.25),14,3,20302108,26,10,transfer_3,0.9654847739859063,0.9654847739859063,0.0
