family,n,instance,seed,m,p,method,ar,ceil,regret
ER(0.5),26,1,20313306,152,1,ceiling,0.8221162782215564,0.8221162782215564,0.0
ER(0.5),26,1,20313306,152,1,sampledN,0.7834250272116092,0.8221162782215564,0.03869125100994719
ER(0.5),26,1,20313306,152,1,paper_binP,0.8152874102331346,0.8221162782215564,0.006828867988421861
ER(0.5),26,1,20313306,152,1,paper_empP,0.8135118560047137,0.8221162782215564,0.008604422216842766
ER(0.5),26,1,20313306,152,1,transfer_1,0.8125861498365322,0.8221162782215564,0.009530128385024206
ER(0.5),26,1,20313306,152,1,transfer_2,0.8111273279283994,0.8221162782215564,0.010988950293157052
ER(0.5),26,1,20313306,152,1,transfer_3,0.8125861498365322,0.8221162782215564,0.009530128385024206
ER(0.5),26,1,20313306,152,1,universal,0.7910331315209509,0.8221162782215564,0.031083146700605524
ER(0.5),26,2,20313307,164,1,ceiling,0.8490583912151433,0.8490583912151433,0.0
ER(0.5),26,2,20313307,164,1,sampledN,0.8164088191670424,0.8490583912151433,0.03264957204810082
ER(0.5),26,2,20313307,164,1,paper_binP,0.7053849720515032,0.8490583912151433,0.14367341916364007
ER(0.5),26,2,20313307,164,1,paper_empP,0.5434193045955978,0.8490583912151433,0.3056390866195454
ER(0.5),26,2,20313307,164,1,transfer_1,0.8374029258119211,0.8490583912151433,0.011655465403222154
ER(0.5),26,2,20313307,164,1,transfer_2,0.8338312472068672,0.8490583912151433,0.015227144008276072
ER(0.5),26,2,20313307,164,1,transfer_3,0.8374029258119211,0.8490583912151433,0.011655465403222154
ER(0.5),26,2,20313307,164,1,universal,0.8154649462129528,0.8490583912151433,0.033593445002190414
ER(0.5),26,3,20313308,163,1,ceiling,0.8448884436503319,0.8448884436503319,0.0
ER(0.5),26,3,20313308,163,1,sampledN,0.8143782093198062,0.8448884436503319,0.030510234330525687
ER(0.5),26,3,20313308,163,1,paper_binP,0.8156043898228885,0.8448884436503319,0.029284053827443368
ER(0.5),26,3,20313308,163,1,paper_empP,0.5416484018195764,0.8448884436503319,0.3032400418307555
ER(0.5),26,3,20313308,163,1,transfer_1,0.8332942734679081,0.8448884436503319,0.011594170182423813
ER(0.5),26,3,20313308,163,1,transfer_2,0.8299376963952507,0.8448884436503319,0.014950747255081165
ER(0.5),26,3,20313308,163,1,transfer_3,0.8332942734679081,0.8448884436503319,0.011594170182423813
ER(0.5),26,3,20313308,163,1,universal,0.8112814548393196,0.8448884436503319,0.03360698881101232
ER(0.5),26,4,20313309,152,1,ceiling,0.8351375936234128,0.8351375936234128,0.0
ER(0.5),26,4,20313309,152,1,sampledN,0.8106445643985996,0.8351375936234128,0.024493029224813223
ER(0.5),26,4,20313309,152,1,paper_binP,0.8271611549649118,0.8351375936234128,0.00797643865850095
ER(0.5),26,4,20313309,152,1,paper_empP,0.8303700417901266,0.8351375936234128,0.004767551833286143
ER(0.5),26,4,20313309,152,1,transfer_1,0.8252537272742801,0.8351375936234128,0.00988386634913263
ER(0.5),26,4,20313309,152,1,transfer_2,0.8230404455489155,0.8351375936234128,0.012097148074497244
ER(0.5),26,4,20313309,152,1,transfer_3,0.8252537272742801,0.8351375936234128,0.00988386634913263
ER(0.5),26,4,20313309,152,1,universal,0.8035771388392896,0.8351375936234128,0.03156045478412317
ER(0.5),26,5,20313310,149,1,ceiling,0.8468031970386608,0.8468031970386608,0.0
ER(0.5),26,5,20313310,149,1,sampledN,0.8196688583367059,0.8468031970386608,0.02713433870195492
ER(0.5),26,5,20313310,149,1,paper_binP,0.8307341085954989,0.8468031970386608,0.016069088443161905
ER(0.5),26,5,20313310,149,1,paper_empP,0.8375439112556953,0.8468031970386608,0.009259285782965532
ER(0.5),26,5,20313310,149,1,transfer_1,0.8376103791511522,0.8468031970386608,0.009192817887508586
ER(0.5),26,5,20313310,149,1,transfer_2,0.8359706083848238,0.8468031970386608,0.010832588653836961
ER(0.5),26,5,20313310,149,1,transfer_3,0.8376103791511522,0.8468031970386608,0.009192817887508586
ER(0.5),26,5,20313310,149,1,universal,0.8161002676752447,0.8468031970386608,0.03070292936341612
ER(0.5),26,1,20313306,152,3,ceiling,0.8968838026409223,0.8968838026409223,0.0
ER(0.5),26,1,20313306,152,3,sampledN,0.8146029627313991,0.8968838026409223,0.08228083990952317
ER(0.5),26,1,20313306,152,3,paper_binP,0.8448426267341476,0.8968838026409223,0.052041175906774706
ER(0.5),26,1,20313306,152,3,paper_empP,0.8158878931267811,0.8968838026409223,0.08099590951414115
ER(0.5),26,1,20313306,152,3,transfer_1,0.8369398172247997,0.8968838026409223,0.05994398541612256
ER(0.5),26,1,20313306,152,3,transfer_2,0.7773790468088896,0.8968838026409223,0.11950475583203268
ER(0.5),26,1,20313306,152,3,transfer_3,0.8290687526160947,0.8968838026409223,0.06781505002482757
ER(0.5),26,1,20313306,152,3,universal,0.8096064609241563,0.8968838026409223,0.08727734171676593
ER(0.5),26,2,20313307,164,3,ceiling,0.9158981745684903,0.9158981745684903,0.0
ER(0.5),26,2,20313307,164,3,sampledN,0.8350569096510068,0.9158981745684903,0.08084126491748356
ER(0.5),26,2,20313307,164,3,paper_binP,0.7941098853038938,0.9158981745684903,0.1217882892645965
ER(0.5),26,2,20313307,164,3,paper_empP,0.6270857775362805,0.9158981745684903,0.28881239703220984
ER(0.5),26,2,20313307,164,3,transfer_1,0.8493430005738267,0.9158981745684903,0.0665551739946636
ER(0.5),26,2,20313307,164,3,transfer_2,0.784046490410041,0.9158981745684903,0.13185168415844928
ER(0.5),26,2,20313307,164,3,transfer_3,0.8415187204725643,0.9158981745684903,0.07437945409592606
ER(0.5),26,2,20313307,164,3,universal,0.8235755536051883,0.9158981745684903,0.09232262096330202
ER(0.5),26,3,20313308,163,3,ceiling,0.9130044341809628,0.9130044341809628,0.0
ER(0.5),26,3,20313308,163,3,sampledN,0.8421900668738062,0.9130044341809628,0.07081436730715662
ER(0.5),26,3,20313308,163,3,paper_binP,0.7796292624132961,0.9130044341809628,0.13337517176766667
ER(0.5),26,3,20313308,163,3,paper_empP,0.7621211776598544,0.9130044341809628,0.15088325652110834
ER(0.5),26,3,20313308,163,3,transfer_1,0.8455958918305394,0.9130044341809628,0.06740854235042337
