family,n,instance,seed,m,law,start,stage,ar,ar_vstar,regret_vstar
ER(0.5),16,1,20262321,58,pareto15,grid_ceiling,grid,0.9732739228270205,0.9876076163613041,0.014333693534283628
ER(0.5),16,1,20262321,58,pareto15,universal,ramp4,0.9738775637924402,0.9876076163613041,0.01373005256886399
ER(0.5),16,1,20262321,58,pareto15,best_transfer,grid,0.967771495337915,0.9876076163613041,0.019836121023389258
ER(0.5),16,1,20262321,58,pareto15,binned_sampled,full2p,0.9876076163612963,0.9876076163613041,7.840540058515613e-15
ER(0.5),16,1,20262321,58,pareto15,universal,full2p,0.9876076163613041,0.9876076163613041,0.0
ER(0.5),16,1,20262321,58,pareto15,best_transfer,full2p,0.9876076163613041,0.9876076163613041,0.0
ER(0.5),16,1,20262321,58,pareto15,grid_ceiling,ramp4,0.9738454830584854,0.9876076163613041,0.013762133302818764
ER(0.5),16,1,20262321,58,pareto15,best_transfer,ramp4,0.9738775637924402,0.9876076163613041,0.01373005256886399
ER(0.5),16,1,20262321,58,pareto15,grid_ceiling,full2p,0.9847374001309557,0.9876076163613041,0.0028702162303484986
ER(0.5),16,1,20262321,58,pareto15,binned_sampled,grid,0.9316914750951142,0.9876076163613041,0.05591614126619003
ER(0.5),16,1,20262321,58,pareto15,universal,grid,0.967771495337915,0.9876076163613041,0.019836121023389258
ER(0.5),16,1,20262321,58,pareto15,binned_sampled,ramp4,0.9738775637924376,0.9876076163613041,0.01373005256886651
ER(0.5),16,2,20262322,65,pareto15,grid_ceiling,grid,0.9680293478613033,0.9834406283351061,0.015411280473802799
ER(0.5),16,2,20262322,65,pareto15,universal,ramp4,0.9775108900350546,0.9834406283351061,0.0059297383000515
ER(0.5),16,2,20262322,65,pareto15,best_transfer,grid,0.7981136390435158,0.9834406283351061,0.18532698929159033
ER(0.5),16,2,20262322,65,pareto15,binned_sampled,full2p,0.9834406283351061,0.9834406283351061,0.0
ER(0.5),16,2,20262322,65,pareto15,universal,full2p,0.9834406283351045,0.9834406283351061,1.6672338406235135e-15
