family,n,instance,seed,m,model,params,mse_entry,eps_raw_mean,eps_raw_argmax,eps_cal_mean,eps_cal_argmax,ceil_p1,ar_raw,regret_raw,ar_cal,regret_cal
ER(0.5),10,1,20271612,25,emp,-,0.0,0.0,0.0,8.67659710662744e-18,8.673617379884035e-19,0.8291203561676036,0.8162269815877048,0.012893374579898809,0.8162269815877048,0.012893374579898809
ER(0.5),10,1,20271612,25,paper,-,2.780734325716446e-5,1.1205772381376062,0.10569224459800718,0.14399825835882057,0.3125655926666394,0.8291203561676036,0.425097095625449,0.4040232605421546,0.771749068031006,0.05737128813659764
ER(0.5),10,1,20271612,25,tri_init,0.0;0.0;1.0;1.0,4.250864906179059e-5,0.529182102850007,0.7429944420187818,0.3847301112888568,0.5250763308088102,0.8291203561676036,0.8186616668547237,0.010458689312879854,0.8186616668547237,0.010458689312879854
ER(0.5),10,1,20271612,25,tri_25,0.0;-0.7368304774918546;1.3079159377425338;2.0,3.332188132843249e-5,0.5209937491774853,0.9616225654995109,0.26184690921355686,0.44188129216260785,0.8291203561676036,0.4790386220413036,0.3500817341263,0.4790386220413036,0.3500817341263
ER(0.5),10,1,20271612,25,tri_50,0.0;-0.7368304774918546;1.3079159377425338;2.0,3.332188132843249e-5,0.5209937491774853,0.9616225654995109,0.26184690921355686,0.44188129216260785,0.8291203561676036,0.4790386220413036,0.3500817341263,0.4790386220413036,0.3500817341263
ER(0.5),10,1,20271612,25,tri_fit,0.0;0.11293302282286202;1.6652612728555987;1.982661043459495,3.318330293188027e-5,0.5200546592890023,1.0341741845296046,0.24496946354008856,0.4350783983950866,0.8291203561676036,0.6944444444444445,0.13467591172315907,0.6944444444444445,0.13467591172315907
ER(0.5),10,1,20271612,25,norm_init,12.5;1.0;1.0,0.00017031383144382534,0.4267221543333879,0.23270094747402875,0.4267221585422064,0.23270094892934562,0.8291203561676036,0.6944444444444445,0.13467591172315907,0.6944444444444445,0.13467591172315907
ER(0.5),10,1,20271612,25,norm_25,14.02076570522972;4.781383788366856;2.3780020679355065,4.092195824129994e-5,0.32546716276730225,0.5783015923736388,0.32728144458100195,0.5825723455516767,0.8291203561676036,0.6944444444444444,0.13467591172315918,0.6944444444444444,0.13467591172315918
ER(0.5),10,1,20271612,25,norm_50,12.590998952103302;5.273700550208721;5.2651812617587375,2.7019389950697932e-5,0.5287770360117175,1.2638791775147655,0.5355928248535708,1.2830494338887986,0.8291203561676036,0.6944444444444444,0.13467591172315918,0.6944444444444444,0.13467591172315918
ER(0.5),10,1,20271612,25,norm_fit,13.00781124345808;5.607620640525281;5.614140490070216,2.654738069248062e-5,0.5711060233387818,1.4024926867938456,0.5803757248786897,1.428944435578178,0.8291203561676036,0.6944444444444444,0.13467591172315918,0.6944444444444444,0.13467591172315918
ER(0.5),10,2,20271613,23,emp,-,0.0,0.0,0.0,1.438620659532677e-17,2.208170439247859e-17,0.8543331415118044,0.8425775534435817,0.011755588068222744,0.8425775534435817,0.011755588068222744
ER(0.5),10,2,20271613,23,paper,-,3.0107734117152432e-5,0.13100432462211947,0.1954581301762011,0.1368135743772882,0.28926757603831627,0.8543331415118044,0.7690712401407075,0.0852619013710969,0.7980727382756109,0.056260403236193524
ER(0.5),10,2,20271613,23,tri_init,0.0;0.0;1.0;1.0,4.706328685528253e-5,0.4973155421735896,0.7018977232461507,0.363193984970036,0.49726700781223454,0.8543331415118044,0.8425867311572952,0.011746410354509185,0.8425867311572952,0.011746410354509185
ER(0.5),10,2,20271613,23,tri_25,0.0;-0.3884956187812447;1.356189109674669;2.0,3.706182061677142e-5,0.4888373195601256,0.9051322100602769,0.24636500309251255,0.41250613995786334,0.8543331415118044,0.48655264213288135,0.36778049937892304,0.48655264213288135,0.36778049937892304
ER(0.5),10,2,20271613,23,tri_50,0.0;-0.3884956187812447;1.356189109674669;2.0,3.706182061677142e-5,0.4888373195601256,0.9051322100602769,0.24636500309251255,0.41250613995786334,0.8543331415118044,0.48655264213288135,0.36778049937892304,0.48655264213288135,0.36778049937892304
ER(0.5),10,2,20271613,23,tri_fit,0.35524596533193337;-0.2970335573780176;1.4031455545663696;1.9727269860576397,3.705128702950084e-5,0.4864978140020656,0.9084738328928764,0.24583023165431545,0.4144169541719796,0.8543331415118044,0.48655264213288135,0.36778049937892304,0.48655264213288135,0.36778049937892304
ER(0.5),10,2,20271613,23,norm_init,11.5;1.0;1.0,0.00018093856152669386,0.4173471707985291,0.2108983234218605,0.41734717481050293,0.210898324856269,0.8543331415118044,0.7187500000000001,0.13558314151180428,0.7187500000000001,0.13558314151180428
ER(0.5),10,2,20271613,23,norm_25,12.252808268550496;15.463556370061873;2.987606398954214,3.537018451712684e-5,1.0581924138387186,2.6053381710958283,1.1882188202115287,2.9261977506820447,0.8543331415118044,0.71875,0.1355831415118044,0.71875,0.1355831415118044
ER(0.5),10,2,20271613,23,norm_50,11.98284433396939;8.127135143508802;3.8243310521019747,3.0329435802303553e-5,0.6578299683342604,1.5879263366843994,0.6790235618510496,1.644897582599115,0.8543331415118044,0.71875,0.1355831415118044,0.71875,0.1355831415118044
ER(0.5),10,2,20271613,23,norm_fit,11.962630383194373;6.587449314260396;5.11078747290147,2.934116827824519e-5,0.5900317088667602,1.4406479773508243,0.601721485161191,1.474222224827619,0.8543331415118044,0.71875,0.1355831415118044,0.71875,0.1355831415118044
