family,n,instance,model,tag,pearson,spearman_grid,dgamma,dbeta,same_argmax,slicesum_min,slicesum_max
ER(0.5),12,1,emp,raw,0.999375,0.9993750000000001,0.0,0.0,1,4096.0,4096.0
ER(0.5),12,1,emp,cal,0.999375,0.9993750000000001,0.0,0.0,1,4096.0,4096.0
ER(0.5),12,1,paper,raw,0.0007413561339720984,0.44424951286509123,0.40276828892176836,0.8055365778435366,0,750.9651361546955,2.108067303494905e6
ER(0.5),12,1,paper,cal,0.9857529833185094,0.9865869694462692,0.16110731556870736,0.0,0,750.9651361546955,2.108067303494905e6
ER(0.5),12,1,tri_init,raw,0.19978442181576234,0.19031124292006935,0.5638756044904756,0.0,0,7784.0,7784.000000000001
ER(0.5),12,1,tri_init,cal,0.19978442181576225,0.1903121054431995,0.5638756044904756,0.0,0,7784.0,7784.000000000001
ER(0.5),12,1,tri_25,raw,0.33653614810861626,0.3546183761006489,0.24166097335306097,1.0069207223044208,0,13805.011407011429,13805.011407011432
ER(0.5),12,1,tri_25,cal,0.3365361481086162,0.3546152760505724,0.24166097335306097,1.0069207223044208,0,13805.011407011429,13805.011407011432
ER(0.5),12,1,tri_50,raw,0.3365432707999866,0.3546464041350071,0.24166097335306097,1.0069207223044208,0,13809.776372341352,13809.776372341355
ER(0.5),12,1,tri_50,cal,0.33654327079998686,0.3546444192528612,0.24166097335306097,1.0069207223044208,0,13809.776372341352,13809.776372341355
ER(0.5),12,1,tri_fit,raw,0.336543312419093,0.3546463677941281,0.24166097335306097,1.0069207223044208,0,13809.763576677895,13809.763576677897
ER(0.5),12,1,tri_fit,cal,0.33654331241909324,0.35464461090462224,0.24166097335306097,1.0069207223044208,0,13809.763576677895,13809.763576677897
ER(0.5),12,1,norm_init,raw,-0.10288157263115533,-0.5158955964932348,0.40276828892176836,0.483321946706122,0,4096.000043757047,4096.000043757047
ER(0.5),12,1,norm_init,cal,-0.1028815726311554,-0.5158938684643842,0.40276828892176836,0.5235987755982989,0,4096.000043757047,4096.000043757047
ER(0.5),12,1,norm_25,raw,0.4301184423830483,0.7108009933438443,0.40276828892176836,0.28193780224523785,0,3974.8845830465584,4020.57846403347
ER(0.5),12,1,norm_25,cal,0.4301276121614411,0.7108060383241521,0.40276828892176836,0.28193780224523785,0,3974.8845830465584,4020.57846403347
ER(0.5),12,1,norm_50,raw,0.43015767803035604,0.710844436392496,0.40276828892176836,0.28193780224523785,0,3974.79457713077,4020.6756020449848
ER(0.5),12,1,norm_50,cal,0.4301669176646078,0.7108424658343142,0.40276828892176836,0.28193780224523785,0,3974.79457713077,4020.6756020449848
ER(0.5),12,1,norm_fit,raw,0.4301585299210389,0.710844436392496,0.40276828892176836,0.28193780224523785,0,3974.78858477754,4020.6771732445495
ER(0.5),12,1,norm_fit,cal,0.43016777223809766,0.7108424658343142,0.40276828892176836,0.28193780224523785,0,3974.78858477754,4020.6771732445495
ER(0.5),12,2,emp,raw,0.9993750000000001,0.999375,0.0,0.0,1,4096.0,4096.0
ER(0.5),12,2,emp,cal,0.9993750000000001,0.999375,0.0,0.0,1,4096.0,4096.0
ER(0.5),12,2,paper,raw,0.04024586372595303,0.4984183920642591,0.40276828892176836,0.8055365778435366,0,866.4687833595366,488258.4871968853
ER(0.5),12,2,paper,cal,0.9896281134269297,0.9899378009723288,0.0805536577843537,0.04027682889217685,0,866.4687833595366,488258.4871968853
ER(0.5),12,2,tri_init,raw,0.2057519260713409,0.190735420338102,0.5638756044904756,0.0,0,7783.999999999999,7784.0
ER(0.5),12,2,tri_init,cal,0.2057519260713409,0.19073186941584724,0.5638756044904756,0.0,0,7783.999999999999,7784.0
