family,n,inst,m,tau,c4,varT,varE_exact,linproj,crude36,quadbound,capture_lin,capture_quad,rho_cond_exact,rho_cond_bound
WS(k=4;b=0.1),14,2,28,10,15,584.0,254.0575,128.5714,128.5714,247.5411,0.5061,0.9744,0.565,0.5761
WS(k=4;b=0.1),14,3,28,13,13,552.0,289.8719,217.2857,217.2857,287.0141,0.7496,0.9901,0.4749,0.48
WS(k=4;b=0.1),14,4,28,12,15,580.0,306.3428,185.1429,185.1429,277.5705,0.6044,0.9061,0.4718,0.5214
WS(k=4;b=0.1),14,5,28,11,13,556.0,255.2702,155.5714,155.5714,251.6757,0.6094,0.9859,0.5409,0.5473
WS(k=4;b=0.1),14,6,28,12,12,532.0,266.4742,185.1429,185.1429,259.6447,0.6948,0.9744,0.4991,0.5119
WS(k=4;b=0.1),14,7,28,13,13,548.0,303.4458,217.2857,217.2857,285.3575,0.7161,0.9404,0.4463,0.4793
WS(k=4;b=0.1),14,8,28,11,15,588.0,271.2157,155.5714,155.5714,264.5154,0.5736,0.9753,0.5387,0.5501
WS(k=4;b=0.1),14,9,28,12,14,564.0,284.3558,185.1429,185.1429,271.4598,0.6511,0.9546,0.4958,0.5187
WS(k=4;b=0.1),14,10,28,9,15,584.0,238.0818,104.1429,104.1429,234.3926,0.4374,0.9845,0.5923,0.5986
WS(k=4;b=0.5),12,1,24,7,12,496.0,212.2954,73.5,73.5,208.8859,0.3462,0.9839,0.572,0.5789
WS(k=4;b=0.5),12,2,24,10,13,520.0,260.9198,150.0,150.0,258.1359,0.5749,0.9893,0.4982,0.5036
WS(k=4;b=0.5),12,3,24,6,19,612.0,268.5012,54.0,54.0,260.749,0.2011,0.9711,0.5613,0.5739
WS(k=4;b=0.5),12,4,24,10,16,580.0,292.6229,150.0,150.0,288.1913,0.5126,0.9849,0.4955,0.5031
WS(k=4;b=0.5),12,5,24,8,20,628.0,297.7865,96.0,96.0,286.2043,0.3224,0.9611,0.5258,0.5443
WS(k=4;b=0.5),12,6,24,9,10,464.0,219.0585,121.5,121.5,217.456,0.5546,0.9927,0.5279,0.5313
WS(k=4;b=0.5),12,7,24,6,18,600.0,262.6997,54.0,54.0,255.1579,0.2056,0.9713,0.5622,0.5747
WS(k=4;b=0.5),12,8,24,9,14,536.0,255.0985,121.5,121.5,251.8074,0.4763,0.9871,0.5241,0.5302
WS(k=4;b=0.5),12,9,24,12,19,628.0,346.7255,216.0,216.0,342.2976,0.623,0.9872,0.4479,0.4549
WS(k=4;b=0.5),12,10,24,9,15,556.0,270.3354,121.5,121.5,262.1259,0.4494,0.9696,0.5138,0.5286
WS(k=4;b=0.5),14,1,28,11,15,604.0,275.1795,155.5714,155.5714,272.7264,0.5653,0.9911,0.5444,0.5485
WS(k=4;b=0.5),14,2,28,9,20,684.0,287.2824,104.1429,104.1429,282.2465,0.3625,0.9825,0.58,0.5874
WS(k=4;b=0.5),14,3,28,12,14,588.0,284.7882,185.1429,185.1429,282.7423,0.6501,0.9928,0.5157,0.5191
WS(k=4;b=0.5),14,4,28,10,19,672.0,292.9817,128.5714,128.5714,289.1184,0.4388,0.9868,0.564,0.5698
WS(k=4;b=0.5),14,5,28,10,15,608.0,263.7201,128.5714,128.5714,260.4104,0.4875,0.9874,0.5662,0.5717
WS(k=4;b=0.5),14,6,28,8,17,652.0,261.7359,82.2857,82.2857,258.9042,0.3144,0.9892,0.5986,0.6029
WS(k=4;b=0.5),14,7,28,5,19,664.0,241.4504,32.1429,32.1429,238.3789,0.1331,0.9873,0.6364,0.641
WS(k=4;b=0.5),14,8,28,9,14,600.0,246.879,104.1429,104.1429,245.1374,0.4218,0.9929,0.5885,0.5914
WS(k=4;b=0.5),14,9,28,7,17,640.0,245.8467,63.0,63.0,242.2833,0.2563,0.9855,0.6159,0.6214
WS(k=4;b=0.5),14,10,28,7,20,696.0,275.0486,63.0,63.0,270.7185,0.2291,0.9843,0.6048,0.611
3-regular,12,1,18,0,6,240.0,84.2298,0.0,0.0,76.1905,0.0,0.9046,0.649,0.6825
3-regular,12,2,18,2,1,160.0,48.4516,8.0,8.0,44.7898,0.1651,0.9244,0.6972,0.7201
3-regular,12,3,18,1,4,208.0,66.2067,2.0,2.0,62.1076,0.0302,0.9381,0.6817,0.7014
3-regular,12,4,18,2,2,176.0,55.646,8.0,8.0,51.2883,0.1438,0.9217,0.6838,0.7086
3-regular,12,5,18,3,3,192.0,68.6061,18.0,18.0,63.4595,0.2624,0.925,0.6427,0.6695
3-regular,12,6,18,2,1,160.0,48.5257,8.0,8.0,44.7898,0.1649,0.923,0.6967,0.7201
3-regular,12,7,18,3,2,176.0,61.1522,18.0,18.0,56.8847,0.2943,0.9302,0.6525,0.6768
3-regular,12,8,18,3,2,176.0,61.1522,18.0,18.0,56.8847,0.2943,0.9302,0.6525,0.6768
3-regular,12,9,18,4,2,176.0,68.8541,32.0,32.0,65.0191,0.4648,0.9443,0.6088,0.6306
3-regular,12,10,18,5,4,208.0,91.5337,50.0,50.0,87.9392,0.5462,0.9607,0.5599,0.5772
3-regular,14,1,21,2,0,168.0,39.8986,6.8571,6.8571,38.0247,0.1719,0.953,0.7625,0.7737
3-regular,14,2,21,1,4,232.0,60.3259,1.7143,1.7143,58.4758,0.0284,0.9693,0.74,0.7479
3-regular,14,3,21,3,2,200.0,55.9655,15.4286,15.4286,54.4702,0.2757,0.9733,0.7202,0.7276
3-regular,14,4,21,2,1,184.0,45.1983,6.8571,6.8571,43.4667,0.1517,0.9617,0.7544,0.7638
3-regular,14,5,21,3,2,200.0,56.8394,15.4286,15.4286,54.4702,0.2714,0.9583,0.7158,0.7276
3-regular,14,6,21,6,3,216.0,93.28,61.7143,61.7143,89.7097,0.6616,0.9617,0.5681,0.5847
3-regular,14,7,21,1,3,216.0,53.9808,1.7143,1.7143,52.1582,0.0318,0.9662,0.7501,0.7585
3-regular,14,8,21,2,2,200.0,50.6809,6.8571,6.8571,49.1933,0.1353,0.9706,0.7466,0.754
3-regular,14,9,21,1,1,184.0,42.3156,1.7143,1.7143,40.2492,0.0405,0.9512,0.77,0.7813
3-regular,14,10,21,4,2,200.0,63.9715,27.4286,27.4286,62.0345,0.4288,0.9697,0.6801,0.6898
