family,n,inst,W,nclasses,maxclass,varT,varE_exact,capture_quad,V2,cubic_ratio
BA(k=4),12,1,53.0,40,388,15552.0,9352.8818,0.9584,6199.1182,0.9975
BA(k=4),12,2,47.0,34,426,11468.0,7496.205,0.9553,3971.795,0.9985
BA(k=4),12,3,53.0,37,422,16708.0,10920.2205,0.962,5787.7795,0.9978
BA(k=4),12,4,46.0,33,450,10460.0,6543.9047,0.9293,3916.0953,0.9983
BA(k=4),12,5,45.0,32,438,6812.0,3542.3008,0.9674,3269.6992,0.9977
BA(k=4),12,6,48.0,34,442,9520.0,5731.8864,0.9709,3788.1136,0.9979
BA(k=4),12,7,49.0,36,474,11592.0,7103.6528,0.9686,4488.3472,0.9975
BA(k=4),12,8,46.0,31,450,9272.0,5687.1872,0.9506,3584.8128,0.9982
BA(k=4),12,9,49.0,34,446,13076.0,8467.3348,0.9538,4608.6652,0.9984
BA(k=4),12,10,44.0,30,434,6992.0,4275.4768,0.9628,2716.5232,0.9981
BA(k=4),14,1,61.0,42,1534,16660.0,10001.6182,0.9636,6658.3818,0.9979
BA(k=4),14,2,59.0,41,1550,14216.0,8266.116,0.9677,5949.884,0.9978
BA(k=4),14,3,60.0,42,1546,18024.0,11493.2143,0.9705,6530.7857,0.9973
BA(k=4),14,4,63.0,44,1492,20132.0,12113.5082,0.9656,8018.4918,0.9971
BA(k=4),14,5,62.0,43,1412,17908.0,10323.3717,0.9604,7584.6283,0.9976
BA(k=4),14,6,59.0,41,1416,10548.0,4887.3696,0.9747,5660.6304,0.997
BA(k=4),14,7,59.0,41,1610,18760.0,12617.1505,0.9694,6142.8495,0.9983
BA(k=4),14,8,63.0,42,1486,19944.0,12785.6753,0.9754,7158.3247,0.998
BA(k=4),14,9,63.0,44,1440,19816.0,12237.9901,0.9709,7578.0099,0.9972
BA(k=4),14,10,59.0,42,1482,13656.0,7533.8982,0.967,6122.1018,0.9977
WS(k=4;b=0.1),12,1,36.0,25,480,2488.0,1090.7015,0.9759,1397.2985,0.9974
WS(k=4;b=0.1),12,2,39.0,29,416,4040.0,1936.5269,0.9747,2103.4731,0.9979
WS(k=4;b=0.1),12,3,32.0,23,490,1812.0,856.8702,0.9672,955.1298,0.998
WS(k=4;b=0.1),12,4,37.0,26,440,3056.0,1449.2668,0.9609,1606.7332,0.9984
WS(k=4;b=0.1),12,5,37.0,26,404,2960.0,1641.4426,0.9782,1318.5574,0.9985
WS(k=4;b=0.1),12,6,36.0,26,454,2724.0,1290.5662,0.9612,1433.4338,0.9983
WS(k=4;b=0.1),12,7,39.0,28,436,3872.0,1832.5969,0.9698,2039.4031,0.9977
WS(k=4;b=0.1),12,8,34.0,25,476,2108.0,859.3881,0.9697,1248.6119,0.9976
WS(k=4;b=0.1),12,9,40.0,29,402,4156.0,2081.8859,0.9728,2074.1141,0.998
WS(k=4;b=0.1),12,10,39.0,29,400,3780.0,1799.5571,0.9854,1980.4429,0.9977
WS(k=4;b=0.1),14,1,44.0,32,1560,3860.0,1653.0701,0.9889,2206.9299,0.9975
WS(k=4;b=0.1),14,2,39.0,30,1736,2880.0,1152.2566,0.9742,1727.7434,0.9978
WS(k=4;b=0.1),14,3,43.0,31,1560,3508.0,1676.3318,0.9888,1831.6682,0.9981
WS(k=4;b=0.1),14,4,44.0,34,1646,4168.0,1760.6371,0.9678,2407.3629,0.9979
WS(k=4;b=0.1),14,5,42.0,30,1572,2972.0,1349.652,0.9812,1622.348,0.9981
WS(k=4;b=0.1),14,6,46.0,33,1454,4116.0,1743.1444,0.9863,2372.8556,0.9975
WS(k=4;b=0.1),14,7,39.0,30,1768,2440.0,1128.3583,0.9865,1311.6417,0.9983
WS(k=4;b=0.1),14,8,40.0,32,1684,2728.0,1097.4256,0.9763,1630.5744,0.9981
WS(k=4;b=0.1),14,9,41.0,29,1664,3108.0,1480.2428,0.9824,1627.7572,0.9983
WS(k=4;b=0.1),14,10,45.0,33,1566,3984.0,1371.6281,0.9828,2612.3719,0.9969
WS(k=4;b=0.5),12,1,34.0,27,452,2308.0,922.0578,0.9831,1385.9422,0.9973
WS(k=4;b=0.5),12,2,36.0,28,450,3112.0,1416.2283,0.982,1695.7717,0.9972
WS(k=4;b=0.5),12,3,37.0,30,480,4356.0,1880.2186,0.9692,2475.7814,0.9967
WS(k=4;b=0.5),12,4,39.0,29,408,3796.0,1637.6572,0.985,2158.3428,0.9973
WS(k=4;b=0.5),12,5,34.0,27,498,3036.0,1381.2845,0.9679,1654.7155,0.9975
WS(k=4;b=0.5),12,6,35.0,23,448,2760.0,1270.1493,0.9823,1489.8507,0.9973
WS(k=4;b=0.5),12,7,35.0,28,480,3020.0,1223.3847,0.9733,1796.6153,0.997
WS(k=4;b=0.5),12,8,40.0,30,402,4112.0,1730.6543,0.9826,2381.3457,0.997
WS(k=4;b=0.5),12,9,38.0,28,426,4416.0,2260.6153,0.9826,2155.3847,0.9972
WS(k=4;b=0.5),12,10,36.0,27,456,2880.0,1330.1332,0.9846,1549.8668,0.9974
WS(k=4;b=0.5),14,1,45.0,34,1520,4580.0,1737.8627,0.9907,2842.1373,0.9969
WS(k=4;b=0.5),14,2,41.0,32,1788,4696.0,2089.9011,0.9734,2606.0989,0.9973
WS(k=4;b=0.5),14,3,42.0,32,1630,3336.0,1590.4449,0.9887,1745.5551,0.998
WS(k=4;b=0.5),14,4,45.0,35,1506,4112.0,1517.4882,0.9887,2594.5118,0.9974
