family,n,instance,seed,m,kind,K,p,value,ceil,regret
ER(0.5),14,3,20262109,46,ceiling,0,3,0.8821636906318017,0.8821636906318017,0.0
ER(0.5),14,3,20262109,46,leak_g0.2_b0.2,4,1,0.08438938327171792,,
ER(0.5),14,3,20262109,46,leak_g0.5_b0.3,4,1,0.2219441374087371,,
ER(0.5),14,3,20262109,46,leak_g1.0_b0.4,4,1,0.5760010711401938,,
ER(0.5),14,3,20262109,46,binned_proxy,4,1,0.6967906458255884,0.7829355333176409,0.08614488749205251
ER(0.5),14,3,20262109,46,binned_proxy,4,3,0.7395381426201058,0.8821636906318017,0.1426255480116959
ER(0.5),14,3,20262109,46,leak_g0.2_b0.2,8,1,0.056067598002307435,,
ER(0.5),14,3,20262109,46,leak_g0.5_b0.3,8,1,0.1705885432292454,,
ER(0.5),14,3,20262109,46,leak_g1.0_b0.4,8,1,0.5271646179920417,,
ER(0.5),14,3,20262109,46,binned_proxy,8,1,0.7344587803156115,0.7829355333176409,0.04847675300202936
ER(0.5),14,3,20262109,46,binned_proxy,8,3,0.754324264540267,0.8821636906318017,0.12783942609153465
ER(0.5),14,3,20262109,46,leak_g0.2_b0.2,16,1,0.037732301990583715,,
ER(0.5),14,3,20262109,46,leak_g0.5_b0.3,16,1,0.1432500846559071,,
ER(0.5),14,3,20262109,46,leak_g1.0_b0.4,16,1,0.4973891657936122,,
ER(0.5),14,3,20262109,46,binned_proxy,16,1,0.738025541964693,0.7829355333176409,0.04490999135294782
ER(0.5),14,3,20262109,46,binned_proxy,16,3,0.7600051029203804,0.8821636906318017,0.1221585877114213
ER(0.5),14,3,20262109,46,leak_g0.2_b0.2,32,1,0.026456225556650784,,
ER(0.5),14,3,20262109,46,leak_g0.5_b0.3,32,1,0.12950383990711956,,
ER(0.5),14,3,20262109,46,leak_g1.0_b0.4,32,1,0.4786021313668249,,
ER(0.5),14,3,20262109,46,binned_proxy,32,1,0.738025541964693,0.7829355333176409,0.04490999135294782
ER(0.5),14,3,20262109,46,binned_proxy,32,3,0.7906036331961106,0.8821636906318017,0.09156005743569107
ER(0.5),14,3,20262109,46,leak_g0.2_b0.2,64,1,0.01990908383022603,,
ER(0.5),14,3,20262109,46,leak_g0.5_b0.3,64,1,0.12327530442057075,,
ER(0.5),14,3,20262109,46,leak_g1.0_b0.4,64,1,0.4683967010586672,,
ER(0.5),14,3,20262109,46,binned_proxy,64,1,0.7531390261116934,0.7829355333176409,0.02979650720594751
ER(0.5),14,3,20262109,46,binned_proxy,64,3,0.7906036331961106,0.8821636906318017,0.09156005743569107
ER(0.5),14,3,20262109,46,leak_g0.2_b0.2,128,1,0.01661204475445161,,
ER(0.5),14,3,20262109,46,leak_g0.5_b0.3,128,1,0.11999635785807243,,
ER(0.5),14,3,20262109,46,leak_g1.0_b0.4,128,1,0.4621969671749998,,
ER(0.5),14,3,20262109,46,binned_proxy,128,1,0.7531390261116934,0.7829355333176409,0.02979650720594751
ER(0.5),14,3,20262109,46,binned_proxy,128,3,0.7906036331961106,0.8821636906318017,0.09156005743569107
ER(0.5),14,4,20262110,44,ceiling,0,1,0.8129128210599991,0.8129128210599991,0.0
ER(0.5),14,4,20262110,44,ceiling,0,3,0.9072557925944221,0.9072557925944221,0.0
ER(0.5),14,4,20262110,44,leak_g0.2_b0.2,4,1,0.07430013866783045,,
ER(0.5),14,4,20262110,44,leak_g0.5_b0.3,4,1,0.19943598690031694,,
ER(0.5),14,4,20262110,44,leak_g1.0_b0.4,4,1,0.5149697820419598,,
ER(0.5),14,4,20262110,44,binned_proxy,4,1,0.7075611752449597,0.8129128210599991,0.10535164581503942
ER(0.5),14,4,20262110,44,binned_proxy,4,3,0.7432790455604784,0.9072557925944221,0.16397674703394371
ER(0.5),14,4,20262110,44,leak_g0.2_b0.2,8,1,0.04808574278687641,,
ER(0.5),14,4,20262110,44,leak_g0.5_b0.3,8,1,0.14592821766097056,,
ER(0.5),14,4,20262110,44,leak_g1.0_b0.4,8,1,0.45339121614181055,,
ER(0.5),14,4,20262110,44,binned_proxy,8,1,0.742317620683187,0.8129128210599991,0.0705952003768121
ER(0.5),14,4,20262110,44,binned_proxy,8,3,0.7832915608297449,0.9072557925944221,0.12396423176467719
ER(0.5),14,4,20262110,44,leak_g0.2_b0.2,16,1,0.03123406271166748,,
ER(0.5),14,4,20262110,44,leak_g0.5_b0.3,16,1,0.11496989442651445,,
ER(0.5),14,4,20262110,44,leak_g1.0_b0.4,16,1,0.41322850216065216,,
ER(0.5),14,4,20262110,44,binned_proxy,16,1,0.7637831299982255,0.8129128210599991,0.04912969106177356
ER(0.5),14,4,20262110,44,binned_proxy,16,3,0.805261711544254,0.9072557925944221,0.10199408105016816
ER(0.5),14,4,20262110,44,leak_g0.2_b0.2,32,1,0.02157295846243955,,
ER(0.5),14,4,20262110,44,leak_g0.5_b0.3,32,1,0.1001837728033744,,
ER(0.5),14,4,20262110,44,leak_g1.0_b0.4,32,1,0.3917263264385718,,
ER(0.5),14,4,20262110,44,binned_proxy,32,1,0.7637831299982255,0.8129128210599991,0.04912969106177356
ER(0.5),14,4,20262110,44,binned_proxy,32,3,0.805261711544254,0.9072557925944221,0.10199408105016816
ER(0.5),14,4,20262110,44,leak_g0.2_b0.2,64,1,0.015905747406601122,,
ER(0.5),14,4,20262110,44,leak_g0.5_b0.3,64,1,0.09300020478624439,,
ER(0.5),14,4,20262110,44,leak_g1.0_b0.4,64,1,0.37968370297337833,,
ER(0.5),14,4,20262110,44,binned_proxy,64,1,0.7637831299982255,0.8129128210599991,0.04912969106177356
ER(0.5),14,4,20262110,44,binned_proxy,64,3,0.8125083412230191,0.9072557925944221,0.09474745137140306
ER(0.5),14,4,20262110,44,leak_g0.2_b0.2,128,1,0.012850356592220983,,
ER(0.5),14,4,20262110,44,leak_g0.5_b0.3,128,1,0.08944330041986773,,
ER(0.5),14,4,20262110,44,leak_g1.0_b0.4,128,1,0.372934633268561,,
ER(0.5),14,4,20262110,44,binned_proxy,128,1,0.776910756649013,0.8129128210599991,0.03600206441098608
ER(0.5),14,4,20262110,44,binned_proxy,128,3,0.8125083412230191,0.9072557925944221,0.09474745137140306
ER(0.5),14,5,20262111,42,ceiling,0,1,0.8180326465466986,0.8180326465466986,0.0
ER(0.5),14,5,20262111,42,ceiling,0,3,0.9033713264541738,0.9033713264541738,0.0
ER(0.5),14,5,20262111,42,leak_g0.2_b0.2,4,1,0.07904788770477643,,
ER(0.5),14,5,20262111,42,leak_g0.5_b0.3,4,1,0.21042498683047098,,
ER(0.5),14,5,20262111,42,leak_g1.0_b0.4,4,1,0.5474538663292742,,
ER(0.5),14,5,20262111,42,binned_proxy,4,1,0.7275894759567704,0.8180326465466986,0.09044317058992823
ER(0.5),14,5,20262111,42,binned_proxy,4,3,0.7623548119664832,0.9033713264541738,0.1410165144876906
ER(0.5),14,5,20262111,42,leak_g0.2_b0.2,8,1,0.05112253770129245,,
ER(0.5),14,5,20262111,42,leak_g0.5_b0.3,8,1,0.1543198259336253,,
ER(0.5),14,5,20262111,42,leak_g1.0_b0.4,8,1,0.48370249064895615,,
ER(0.5),14,5,20262111,42,binned_proxy,8,1,0.7622673924400621,0.8180326465466986,0.055765254106636464
ER(0.5),14,5,20262111,42,binned_proxy,8,3,0.7785435419220416,0.9033713264541738,0.12482778453213228
ER(0.5),14,5,20262111,42,leak_g0.2_b0.2,16,1,0.03335549163902456,,
ER(0.5),14,5,20262111,42,leak_g0.5_b0.3,16,1,0.12399364929208077,,
ER(0.5),14,5,20262111,42,leak_g1.0_b0.4,16,1,0.4444818186917003,,
ER(0.5),14,5,20262111,42,binned_proxy,16,1,0.782546127217345,0.8180326465466986,0.03548651932935365
ER(0.5),14,5,20262111,42,binned_proxy,16,3,0.8199653521394399,0.9033713264541738,0.08340597431473395
