family,n,instance,seed,m,kind,K,p,value,ceil,regret
3-regular,16,1,20262307,24,ceiling,0,1,0.786496360376486,0.786496360376486,0.0
3-regular,16,1,20262307,24,ceiling,0,3,0.8918396199745217,0.8918396199745217,0.0
3-regular,16,1,20262307,24,leak_g0.2_b0.2,4,1,0.056704517932141756,,
3-regular,16,1,20262307,24,leak_g0.5_b0.3,4,1,0.1518452696344056,,
3-regular,16,1,20262307,24,leak_g1.0_b0.4,4,1,0.3802942591360058,,
3-regular,16,1,20262307,24,binned_proxy,4,1,0.652082940387107,0.786496360376486,0.13441341998937895
3-regular,16,1,20262307,24,binned_proxy,4,3,0.7019380633666409,0.8918396199745217,0.18990155660788077
3-regular,16,1,20262307,24,leak_g0.2_b0.2,8,1,0.035119815162039325,,
3-regular,16,1,20262307,24,leak_g0.5_b0.3,8,1,0.10213115789063107,,
3-regular,16,1,20262307,24,leak_g1.0_b0.4,8,1,0.30316169221345024,,
3-regular,16,1,20262307,24,binned_proxy,8,1,0.7025543455324156,0.786496360376486,0.08394201484407038
3-regular,16,1,20262307,24,binned_proxy,8,3,0.7267331101008255,0.8918396199745217,0.16510650987369613
3-regular,16,1,20262307,24,leak_g0.2_b0.2,16,1,0.022101250320719155,,
3-regular,16,1,20262307,24,leak_g0.5_b0.3,16,1,0.07373686956253404,,
3-regular,16,1,20262307,24,leak_g1.0_b0.4,16,1,0.2575360373530613,,
3-regular,16,1,20262307,24,binned_proxy,16,1,0.7199291775258505,0.786496360376486,0.06656718285063545
3-regular,16,1,20262307,24,binned_proxy,16,3,0.7673413638879658,0.8918396199745217,0.12449825608655585
3-regular,16,1,20262307,24,leak_g0.2_b0.2,32,1,0.014387149513966947,,
3-regular,16,1,20262307,24,leak_g0.5_b0.3,32,1,0.05795677988853294,,
3-regular,16,1,20262307,24,leak_g1.0_b0.4,32,1,0.23071502206853664,,
3-regular,16,1,20262307,24,binned_proxy,32,1,0.7199291775258505,0.786496360376486,0.06656718285063545
3-regular,16,1,20262307,24,binned_proxy,32,3,0.7673413638879658,0.8918396199745217,0.12449825608655585
3-regular,16,1,20262307,24,leak_g0.2_b0.2,64,1,0.009828747760748562,,
3-regular,16,1,20262307,24,leak_g0.5_b0.3,64,1,0.04979172026889492,,
3-regular,16,1,20262307,24,leak_g1.0_b0.4,64,1,0.21615371292843644,,
3-regular,16,1,20262307,24,binned_proxy,64,1,0.7381102059815983,0.786496360376486,0.04838615439488769
3-regular,16,1,20262307,24,binned_proxy,64,3,0.7790101922718697,0.8918396199745217,0.11282942770265192
3-regular,16,1,20262307,24,leak_g0.2_b0.2,128,1,0.007327945359673321,,
3-regular,16,1,20262307,24,leak_g0.5_b0.3,128,1,0.04597585507490227,,
3-regular,16,1,20262307,24,leak_g1.0_b0.4,128,1,0.2089351470111372,,
3-regular,16,1,20262307,24,binned_proxy,128,1,0.7381102059815983,0.786496360376486,0.04838615439488769
3-regular,16,1,20262307,24,binned_proxy,128,3,0.7790101922718697,0.8918396199745217,0.11282942770265192
3-regular,16,2,20262308,24,ceiling,0,1,0.7416096901509899,0.7416096901509899,0.0
3-regular,16,2,20262308,24,ceiling,0,3,0.8511598800755487,0.8511598800755487,0.0
3-regular,16,2,20262308,24,leak_g0.2_b0.2,4,1,0.051928329597628026,,
3-regular,16,2,20262308,24,leak_g0.5_b0.3,4,1,0.13784975160635263,,
3-regular,16,2,20262308,24,leak_g1.0_b0.4,4,1,0.3394218734533176,,
3-regular,16,2,20262308,24,binned_proxy,4,1,0.6403717071383946,0.7416096901509899,0.10123798301259523
3-regular,16,2,20262308,24,binned_proxy,4,3,0.6612904312364085,0.8511598800755487,0.18986944883914014
3-regular,16,2,20262308,24,leak_g0.2_b0.2,8,1,0.03234966649146693,,
3-regular,16,2,20262308,24,leak_g0.5_b0.3,8,1,0.09281198383372913,,
3-regular,16,2,20262308,24,leak_g1.0_b0.4,8,1,0.2703279736806477,,
3-regular,16,2,20262308,24,binned_proxy,8,1,0.6620762482236732,0.7416096901509899,0.0795334419273167
3-regular,16,2,20262308,24,binned_proxy,8,3,0.6931000417180502,0.8511598800755487,0.15805983835749848
3-regular,16,2,20262308,24,leak_g0.2_b0.2,16,1,0.020414892932230682,,
3-regular,16,2,20262308,24,leak_g0.5_b0.3,16,1,0.0666558139908824,,
3-regular,16,2,20262308,24,leak_g1.0_b0.4,16,1,0.22976712368813046,,
3-regular,16,2,20262308,24,binned_proxy,16,1,0.6817472758313087,0.7416096901509899,0.0598624143196812
3-regular,16,2,20262308,24,binned_proxy,16,3,0.7216503655119569,0.8511598800755487,0.12950951456359172
3-regular,16,2,20262308,24,leak_g0.2_b0.2,32,1,0.013371220521458727,,
3-regular,16,2,20262308,24,leak_g0.5_b0.3,32,1,0.05260478046829974,,
3-regular,16,2,20262308,24,leak_g1.0_b0.4,32,1,0.20802327183605726,,
3-regular,16,2,20262308,24,binned_proxy,32,1,0.6945048375179744,0.7416096901509899,0.04710485263301545
3-regular,16,2,20262308,24,binned_proxy,32,3,0.7328692627606295,0.8511598800755487,0.11829061731491919
3-regular,16,2,20262308,24,leak_g0.2_b0.2,64,1,0.009223412209259062,,
3-regular,16,2,20262308,24,leak_g0.5_b0.3,64,1,0.045419941370442474,,
3-regular,16,2,20262308,24,leak_g1.0_b0.4,64,1,0.19661976858708147,,
3-regular,16,2,20262308,24,binned_proxy,64,1,0.6945048375179744,0.7416096901509899,0.04710485263301545
3-regular,16,2,20262308,24,binned_proxy,64,3,0.7328692627606295,0.8511598800755487,0.11829061731491919
3-regular,16,2,20262308,24,leak_g0.2_b0.2,128,1,0.006854429567998213,,
3-regular,16,2,20262308,24,leak_g0.5_b0.3,128,1,0.04198013380724142,,
3-regular,16,2,20262308,24,leak_g1.0_b0.4,128,1,0.19091945265128735,,
3-regular,16,2,20262308,24,binned_proxy,128,1,0.6945048375179744,0.7416096901509899,0.04710485263301545
3-regular,16,2,20262308,24,binned_proxy,128,3,0.7328692627606295,0.8511598800755487,0.11829061731491919
3-regular,16,3,20262309,24,ceiling,0,1,0.7882392386193828,0.7882392386193828,0.0
3-regular,16,3,20262309,24,ceiling,0,3,0.8959267665628224,0.8959267665628224,0.0
3-regular,16,3,20262309,24,leak_g0.2_b0.2,4,1,0.0508509579108566,,
3-regular,16,3,20262309,24,leak_g0.5_b0.3,4,1,0.13735784947063637,,
3-regular,16,3,20262309,24,leak_g1.0_b0.4,4,1,0.33721639432097583,,
3-regular,16,3,20262309,24,binned_proxy,4,1,0.6569649226220944,0.7882392386193828,0.13127431599728845
3-regular,16,3,20262309,24,binned_proxy,4,3,0.680129254844287,0.8959267665628224,0.21579751171853545
3-regular,16,3,20262309,24,leak_g0.2_b0.2,8,1,0.03187542936894409,,
3-regular,16,3,20262309,24,leak_g0.5_b0.3,8,1,0.0928267757945463,,
3-regular,16,3,20262309,24,leak_g1.0_b0.4,8,1,0.2656204378646621,,
3-regular,16,3,20262309,24,binned_proxy,8,1,0.6802740162602058,0.7882392386193828,0.10796522235917705
3-regular,16,3,20262309,24,binned_proxy,8,3,0.7150167677948734,0.8959267665628224,0.180909998767949
3-regular,16,3,20262309,24,leak_g0.2_b0.2,16,1,0.020370591709856507,,
3-regular,16,3,20262309,24,leak_g0.5_b0.3,16,1,0.06642169921839541,,
3-regular,16,3,20262309,24,leak_g1.0_b0.4,16,1,0.22189993079380144,,
3-regular,16,3,20262309,24,binned_proxy,16,1,0.7024116087664652,0.7882392386193828,0.08582762985291759
3-regular,16,3,20262309,24,binned_proxy,16,3,0.7489048261278204,0.8959267665628224,0.14702194043500205
3-regular,16,3,20262309,24,leak_g0.2_b0.2,32,1,0.013342481602013444,,
3-regular,16,3,20262309,24,leak_g0.5_b0.3,32,1,0.05109990866499352,,
3-regular,16,3,20262309,24,leak_g1.0_b0.4,32,1,0.19559504862416222,,
3-regular,16,3,20262309,24,binned_proxy,32,1,0.7223824671267343,0.7882392386193828,0.06585677149264857
3-regular,16,3,20262309,24,binned_proxy,32,3,0.7619852567050408,0.8959267665628224,0.13394150985778164
3-regular,16,3,20262309,24,leak_g0.2_b0.2,64,1,0.008999080923258504,,
3-regular,16,3,20262309,24,leak_g0.5_b0.3,64,1,0.042451899685172746,,
3-regular,16,3,20262309,24,leak_g1.0_b0.4,64,1,0.17993994558108778,,
3-regular,16,3,20262309,24,binned_proxy,64,1,0.7337286219267288,0.7882392386193828,0.054510616692654
3-regular,16,3,20262309,24,binned_proxy,64,3,0.7953803799191936,0.8959267665628224,0.1005463866436288
3-regular,16,3,20262309,24,leak_g0.2_b0.2,128,1,0.006367871606353971,,
3-regular,16,3,20262309,24,leak_g0.5_b0.3,128,1,0.03783157014141451,,
3-regular,16,3,20262309,24,leak_g1.0_b0.4,128,1,0.17098946154582445,,
3-regular,16,3,20262309,24,binned_proxy,128,1,0.7337286219267288,0.7882392386193828,0.054510616692654
3-regular,16,3,20262309,24,binned_proxy,128,3,0.7953803799191936,0.8959267665628224,0.1005463866436288
3-regular,16,4,20262310,24,ceiling,0,1,0.7802136843357351,0.7802136843357351,0.0
3-regular,16,4,20262310,24,ceiling,0,3,0.8840582180316477,0.8840582180316477,0.0
3-regular,16,4,20262310,24,leak_g0.2_b0.2,4,1,0.056857125501445185,,
3-regular,16,4,20262310,24,leak_g0.5_b0.3,4,1,0.15201559952774854,,
3-regular,16,4,20262310,24,leak_g1.0_b0.4,4,1,0.3817341047435693,,
3-regular,16,4,20262310,24,binned_proxy,4,1,0.6369011061821803,0.7802136843357351,0.1433125781535548
3-regular,16,4,20262310,24,binned_proxy,4,3,0.7087721749875037,0.8840582180316477,0.17528604304414408
3-regular,16,4,20262310,24,leak_g0.2_b0.2,8,1,0.0351596307346104,,
3-regular,16,4,20262310,24,leak_g0.5_b0.3,8,1,0.10326703199507366,,
3-regular,16,4,20262310,24,leak_g1.0_b0.4,8,1,0.3094679095716462,,
3-regular,16,4,20262310,24,binned_proxy,8,1,0.7116031062864512,0.7802136843357351,0.06861057804928394
3-regular,16,4,20262310,24,binned_proxy,8,3,0.7346718176960239,0.8840582180316477,0.1493864003356239
3-regular,16,4,20262310,24,leak_g0.2_b0.2,16,1,0.02214834127229724,,
3-regular,16,4,20262310,24,leak_g0.5_b0.3,16,1,0.07494954924041934,,
3-regular,16,4,20262310,24,leak_g1.0_b0.4,16,1,0.26481317173229363,,
3-regular,16,4,20262310,24,binned_proxy,16,1,0.7283729686398068,0.7802136843357351,0.0518407156959283
3-regular,16,4,20262310,24,binned_proxy,16,3,0.7717075508714678,0.8840582180316477,0.11235066716017994
3-regular,16,4,20262310,24,leak_g0.2_b0.2,32,1,0.014404368568395061,,
3-regular,16,4,20262310,24,leak_g0.5_b0.3,32,1,0.05952528712060004,,
3-regular,16,4,20262310,24,leak_g1.0_b0.4,32,1,0.23958044821091098,,
3-regular,16,4,20262310,24,binned_proxy,32,1,0.7283729686398068,0.7802136843357351,0.0518407156959283
3-regular,16,4,20262310,24,binned_proxy,32,3,0.7838055873578483,0.8840582180316477,0.10025263067379941
3-regular,16,4,20262310,24,leak_g0.2_b0.2,64,1,0.009684878274053763,,
3-regular,16,4,20262310,24,leak_g0.5_b0.3,64,1,0.05120184923929042,,
3-regular,16,4,20262310,24,leak_g1.0_b0.4,64,1,0.2250646196123243,,
3-regular,16,4,20262310,24,binned_proxy,64,1,0.7283729686398068,0.7802136843357351,0.0518407156959283
3-regular,16,4,20262310,24,binned_proxy,64,3,0.7838055873578483,0.8840582180316477,0.10025263067379941
3-regular,16,4,20262310,24,leak_g0.2_b0.2,128,1,0.007123779287206604,,
3-regular,16,4,20262310,24,leak_g0.5_b0.3,128,1,0.0474894017283051,,
3-regular,16,4,20262310,24,leak_g1.0_b0.4,128,1,0.21826278164085894,,
3-regular,16,4,20262310,24,binned_proxy,128,1,0.7454208521625466,0.7802136843357351,0.034792832173188515
3-regular,16,4,20262310,24,binned_proxy,128,3,0.7838055873578483,0.8840582180316477,0.10025263067379941
3-regular,16,5,20262311,24,ceiling,0,1,0.7813266437663475,0.7813266437663475,0.0
3-regular,16,5,20262311,24,ceiling,0,3,0.8871515548630383,0.8871515548630383,0.0
3-regular,16,5,20262311,24,leak_g0.2_b0.2,4,1,0.05122996018015597,,
3-regular,16,5,20262311,24,leak_g0.5_b0.3,4,1,0.1347613326965046,,
3-regular,16,5,20262311,24,leak_g1.0_b0.4,4,1,0.33174303914253006,,
3-regular,16,5,20262311,24,binned_proxy,4,1,0.6741228030418,0.7813266437663475,0.10720384072454758
3-regular,16,5,20262311,24,binned_proxy,4,3,0.6968324072322967,0.8871515548630383,0.19031914763074165
3-regular,16,5,20262311,24,leak_g0.2_b0.2,8,1,0.03163952681440551,,
3-regular,16,5,20262311,24,leak_g0.5_b0.3,8,1,0.08942014354237524,,
3-regular,16,5,20262311,24,leak_g1.0_b0.4,8,1,0.2607759625524822,,
3-regular,16,5,20262311,24,binned_proxy,8,1,0.6968626930387418,0.7813266437663475,0.08446395072760571
3-regular,16,5,20262311,24,binned_proxy,8,3,0.7287310183667537,0.8871515548630383,0.15842053649628463
3-regular,16,5,20262311,24,leak_g0.2_b0.2,16,1,0.019898597591595506,,
3-regular,16,5,20262311,24,leak_g0.5_b0.3,16,1,0.06349557602612771,,
3-regular,16,5,20262311,24,leak_g1.0_b0.4,16,1,0.21957699485242652,,
3-regular,16,5,20262311,24,binned_proxy,16,1,0.7172895881486808,0.7813266437663475,0.0640370556176667
3-regular,16,5,20262311,24,binned_proxy,16,3,0.7591156109814926,0.8871515548630383,0.1280359438815457
3-regular,16,5,20262311,24,leak_g0.2_b0.2,32,1,0.012891929764162728,,
3-regular,16,5,20262311,24,leak_g0.5_b0.3,32,1,0.049676943527726586,,
3-regular,16,5,20262311,24,leak_g1.0_b0.4,32,1,0.19788314817872163,,
3-regular,16,5,20262311,24,binned_proxy,32,1,0.7310027656724893,0.7813266437663475,0.05032387809385819
3-regular,16,5,20262311,24,binned_proxy,32,3,0.7698175481104189,0.8871515548630383,0.1173340067526194
3-regular,16,5,20262311,24,leak_g0.2_b0.2,64,1,0.00874603701572596,,
3-regular,16,5,20262311,24,leak_g0.5_b0.3,64,1,0.04263871475890694,,
3-regular,16,5,20262311,24,leak_g1.0_b0.4,64,1,0.18649209631232833,,
3-regular,16,5,20262311,24,binned_proxy,64,1,0.7310027656724893,0.7813266437663475,0.05032387809385819
3-regular,16,5,20262311,24,binned_proxy,64,3,0.7698175481104189,0.8871515548630383,0.1173340067526194
3-regular,16,5,20262311,24,leak_g0.2_b0.2,128,1,0.006430745696571439,,
3-regular,16,5,20262311,24,leak_g0.5_b0.3,128,1,0.03934091755636021,,
3-regular,16,5,20262311,24,leak_g1.0_b0.4,128,1,0.18074868644036798,,
3-regular,16,5,20262311,24,binned_proxy,128,1,0.7310027656724893,0.7813266437663475,0.05032387809385819
3-regular,16,5,20262311,24,binned_proxy,128,3,0.7969236575254546,0.8871515548630383,0.09022789733758374
3-regular,16,6,20262312,24,ceiling,0,1,0.8084880682129345,0.8084880682129345,0.0
3-regular,16,6,20262312,24,ceiling,0,3,0.9018807146386275,0.9018807146386275,0.0
3-regular,16,6,20262312,24,leak_g0.2_b0.2,4,1,0.04696418278692285,,
3-regular,16,6,20262312,24,leak_g0.5_b0.3,4,1,0.12387871725122009,,
3-regular,16,6,20262312,24,leak_g1.0_b0.4,4,1,0.3007514747974641,,
3-regular,16,6,20262312,24,binned_proxy,4,1,0.6655082493644706,0.8084880682129345,0.1429798188484639
3-regular,16,6,20262312,24,binned_proxy,4,3,0.6913091685215478,0.9018807146386275,0.21057154611707973
3-regular,16,6,20262312,24,leak_g0.2_b0.2,8,1,0.02871594579954877,,
3-regular,16,6,20262312,24,leak_g0.5_b0.3,8,1,0.08069092055497191,,
3-regular,16,6,20262312,24,leak_g1.0_b0.4,8,1,0.22814577278948872,,
3-regular,16,6,20262312,24,binned_proxy,8,1,0.7125369554776712,0.8084880682129345,0.09595111273526336
3-regular,16,6,20262312,24,binned_proxy,8,3,0.7289234968435481,0.9018807146386275,0.17295721779507944
3-regular,16,6,20262312,24,leak_g0.2_b0.2,16,1,0.01769381478288536,,
3-regular,16,6,20262312,24,leak_g0.5_b0.3,16,1,0.05511467326669087,,
3-regular,16,6,20262312,24,leak_g1.0_b0.4,16,1,0.18371835097523537,,
3-regular,16,6,20262312,24,binned_proxy,16,1,0.7330223790255446,0.8084880682129345,0.07546568918738994
3-regular,16,6,20262312,24,binned_proxy,16,3,0.7610119218927952,0.9018807146386275,0.1408687927458323
3-regular,16,6,20262312,24,leak_g0.2_b0.2,32,1,0.011066519095636187,,
3-regular,16,6,20262312,24,leak_g0.5_b0.3,32,1,0.040790542938828306,,
3-regular,16,6,20262312,24,leak_g1.0_b0.4,32,1,0.15866780905039488,,
3-regular,16,6,20262312,24,binned_proxy,32,1,0.7459761155466428,0.8084880682129345,0.06251195266629173
3-regular,16,6,20262312,24,binned_proxy,32,3,0.7936893326317623,0.9018807146386275,0.10819138200686518
3-regular,16,6,20262312,24,leak_g0.2_b0.2,64,1,0.007314536259887178,,
3-regular,16,6,20262312,24,leak_g0.5_b0.3,64,1,0.03376592674696734,,
3-regular,16,6,20262312,24,leak_g1.0_b0.4,64,1,0.14627199862948553,,
3-regular,16,6,20262312,24,binned_proxy,64,1,0.7613758842553716,0.8084880682129345,0.04711218395756289
3-regular,16,6,20262312,24,binned_proxy,64,3,0.8076275417373511,0.9018807146386275,0.09425317290127644
3-regular,16,6,20262312,24,leak_g0.2_b0.2,128,1,0.005155659191339604,,
3-regular,16,6,20262312,24,leak_g0.5_b0.3,128,1,0.03040110166632135,,
3-regular,16,6,20262312,24,leak_g1.0_b0.4,128,1,0.1401486440726171,,
3-regular,16,6,20262312,24,binned_proxy,128,1,0.7613758842553716,0.8084880682129345,0.04711218395756289
3-regular,16,6,20262312,24,binned_proxy,128,3,0.8071228314003314,0.9018807146386275,0.09475788323829615
3-regular,16,7,20262313,24,ceiling,0,1,0.777134834235833,0.777134834235833,0.0
3-regular,16,7,20262313,24,ceiling,0,3,0.8724314412154371,0.8724314412154371,0.0
3-regular,16,7,20262313,24,leak_g0.2_b0.2,4,1,0.0417333698257344,,
3-regular,16,7,20262313,24,leak_g0.5_b0.3,4,1,0.1093176130811983,,
3-regular,16,7,20262313,24,leak_g1.0_b0.4,4,1,0.2592896105337745,,
3-regular,16,7,20262313,24,binned_proxy,4,1,0.6516346292185351,0.777134834235833,0.12550020501729786
3-regular,16,7,20262313,24,binned_proxy,4,3,0.6891487467937629,0.8724314412154371,0.18328269442167422
3-regular,16,7,20262313,24,leak_g0.2_b0.2,8,1,0.025698686988417062,,
3-regular,16,7,20262313,24,leak_g0.5_b0.3,8,1,0.0712367818541843,,
3-regular,16,7,20262313,24,leak_g1.0_b0.4,8,1,0.19543146058430783,,
