family,n,inst,seed,m,ramp,P,K,d,E_cc,E_full_d,E_prefix_d,max_angle_deg
BA(k=2),12,4,20291815,20,moderate,20,5,4,0.97878,0.99776,0.94068,73.23
BA(k=2),12,4,20291815,20,large,20,5,4,0.92152,0.9814,0.77485,85.14
BA(k=2),12,5,20291816,20,small,20,5,4,0.98783,0.99821,0.98162,59.07
BA(k=2),12,5,20291816,20,moderate,20,5,4,0.9694,0.99722,0.8641,85.48
BA(k=2),12,5,20291816,20,large,20,5,4,0.90942,0.97577,0.71867,88.54
BA(k=2),14,1,20292012,24,small,20,5,4,0.98458,0.99797,0.97832,72.96
BA(k=2),14,1,20292012,24,moderate,20,5,4,0.95291,0.99634,0.862,87.44
BA(k=2),14,1,20292012,24,large,20,5,4,0.87097,0.97405,0.68067,89.35
BA(k=2),14,2,20292013,24,small,20,5,4,0.98548,0.99767,0.97539,59.8
BA(k=2),14,2,20292013,24,moderate,20,5,4,0.95642,0.99625,0.84834,87.98
BA(k=2),14,2,20292013,24,large,20,5,4,0.83415,0.96801,0.67634,88.96
BA(k=2),14,3,20292014,24,small,20,5,4,0.98746,0.99819,0.98387,76.34
BA(k=2),14,3,20292014,24,moderate,20,5,4,0.96199,0.99655,0.89483,85.28
BA(k=2),14,3,20292014,24,large,20,5,4,0.86821,0.97631,0.70606,88.55
BA(k=2),14,4,20292015,24,small,20,5,4,0.98945,0.99831,0.98656,73.72
BA(k=2),14,4,20292015,24,moderate,20,5,4,0.97381,0.99677,0.91939,79.64
BA(k=2),14,4,20292015,24,large,20,5,4,0.90517,0.97601,0.73584,89.06
BA(k=2),14,5,20292016,24,small,20,5,4,0.98485,0.99799,0.98024,68.68
BA(k=2),14,5,20292016,24,moderate,20,5,4,0.94984,0.99657,0.86723,86.23
BA(k=2),14,5,20292016,24,large,20,5,4,0.844,0.9777,0.69703,87.52
BA(k=4),12,1,20301812,32,small,20,5,4,0.97901,0.99675,0.95262,66.09
BA(k=4),12,1,20301812,32,moderate,20,5,4,0.95312,0.99363,0.78945,89.14
BA(k=4),12,1,20301812,32,large,20,5,4,0.87943,0.94563,0.62489,89.29
BA(k=4),12,2,20301813,32,small,20,5,4,0.9806,0.99736,0.96186,73.49
BA(k=4),12,2,20301813,32,moderate,20,5,4,0.95043,0.99473,0.82045,88.02
BA(k=4),12,2,20301813,32,large,20,5,4,0.86289,0.94851,0.64733,87.4
BA(k=4),12,3,20301814,32,small,20,5,4,0.9827,0.99726,0.9719,68.49
BA(k=4),12,3,20301814,32,moderate,20,5,4,0.95662,0.99484,0.85477,87.05
BA(k=4),12,3,20301814,32,large,20,5,4,0.86562,0.95364,0.6597,87.49
BA(k=4),12,4,20301815,32,small,20,5,4,0.98027,0.99761,0.96328,70.8
BA(k=4),12,4,20301815,32,moderate,20,5,4,0.94635,0.99503,0.84281,85.07
BA(k=4),12,4,20301815,32,large,20,5,4,0.85053,0.9621,0.66654,88.9
BA(k=4),12,5,20301816,32,small,20,5,4,0.97647,0.99682,0.95905,61.56
BA(k=4),12,5,20301816,32,moderate,20,5,4,0.94516,0.99449,0.81512,89.47
BA(k=4),12,5,20301816,32,large,20,5,4,0.87191,0.96278,0.6616,88.73
BA(k=4),14,1,20302012,40,small,20,5,4,0.97836,0.99612,0.95822,71.87
BA(k=4),14,1,20302012,40,moderate,20,5,4,0.94492,0.9937,0.83419,85.55
BA(k=4),14,1,20302012,40,large,20,5,4,0.77755,0.94873,0.65058,87.89
BA(k=4),14,2,20302013,40,small,20,5,4,0.97654,0.99661,0.95957,73.16
BA(k=4),14,2,20302013,40,moderate,20,5,4,0.94026,0.99353,0.84108,85.75
BA(k=4),14,2,20302013,40,large,20,5,4,0.80466,0.944,0.63721,88.95
BA(k=4),14,3,20302014,40,small,20,5,4,0.97725,0.99641,0.95987,73.62
BA(k=4),14,3,20302014,40,moderate,20,5,4,0.94449,0.99344,0.83273,86.54
BA(k=4),14,3,20302014,40,large,20,5,4,0.80731,0.93788,0.63328,87.83
BA(k=4),14,4,20302015,40,small,20,5,4,0.9792,0.99638,0.96361,71.94
BA(k=4),14,4,20302015,40,moderate,20,5,4,0.95712,0.99409,0.8624,84.69
BA(k=4),14,4,20302015,40,large,20,5,4,0.82773,0.94758,0.66909,88.79
BA(k=4),14,5,20302016,40,small,20,5,4,0.97888,0.9964,0.96421,74.08
BA(k=4),14,5,20302016,40,moderate,20,5,4,0.94634,0.99388,0.85378,84.35
BA(k=4),14,5,20302016,40,large,20,5,4,0.79063,0.94553,0.65167,87.25
WS(k=4;b=0.1),12,1,20311812,24,small,20,5,4,0.99011,0.99857,0.98872,75.99
WS(k=4;b=0.1),12,1,20311812,24,moderate,20,5,4,0.97527,0.99686,0.93228,80.38
WS(k=4;b=0.1),12,1,20311812,24,large,20,5,4,0.90453,0.98118,0.74709,87.34
WS(k=4;b=0.1),12,2,20311813,24,small,20,5,4,0.98953,0.99849,0.98852,77.6
WS(k=4;b=0.1),12,2,20311813,24,moderate,20,5,4,0.97475,0.9969,0.93556,79.87
WS(k=4;b=0.1),12,2,20311813,24,large,20,5,4,0.91275,0.98126,0.76047,87.98
WS(k=4;b=0.1),12,3,20311814,24,small,20,5,4,0.98779,0.99844,0.98561,74.03
WS(k=4;b=0.1),12,3,20311814,24,moderate,20,5,4,0.96719,0.99677,0.91228,83.49
WS(k=4;b=0.1),12,3,20311814,24,large,20,5,4,0.86598,0.98143,0.7351,86.7
