density,n,instance,seed,m,method,p,ar,ceil,regret
8n,14,1,20263119,112,leak_g0.2_b0.2,1,0.09663278269110356,,
8n,14,1,20263119,112,leak_g0.5_b0.3,1,0.5658496787818232,,
8n,14,1,20263119,112,leak_g1.0_b0.4,1,0.9415545196234243,,
8n,14,1,20263119,112,ceiling,1,0.803441141237791,0.803441141237791,0.0
8n,14,1,20263119,112,exactN,1,0.7669997511331618,0.803441141237791,0.03644139010462921
8n,14,1,20263119,112,sampledN,1,0.794567487341938,0.803441141237791,0.008873653895852929
8n,14,1,20263119,112,transfer_1,1,0.8022334187167304,0.803441141237791,0.0012077225210606057
8n,14,1,20263119,112,transfer_2,1,0.803441141237791,0.803441141237791,0.0
8n,14,1,20263119,112,transfer_3,1,0.803441141237791,0.803441141237791,0.0
8n,14,1,20263119,112,universal,1,0.803441141237791,0.803441141237791,0.0
8n,14,1,20263119,112,ceiling,3,0.8572563770985971,0.8572563770985971,0.0
8n,14,1,20263119,112,exactN,3,0.8247038897396887,0.8572563770985971,0.03255248735890848
8n,14,1,20263119,112,sampledN,3,0.8087715225234554,0.8572563770985971,0.048484854575141734
8n,14,1,20263119,112,transfer_1,3,0.8572563770985971,0.8572563770985971,0.0
8n,14,1,20263119,112,transfer_2,3,0.8572563770985971,0.8572563770985971,0.0
8n,14,1,20263119,112,transfer_3,3,0.8572563770985971,0.8572563770985971,0.0
8n,14,1,20263119,112,universal,3,0.8572563770985971,0.8572563770985971,0.0
8n,14,2,20263120,112,leak_g0.2_b0.2,1,0.10033080921563424,,
8n,14,2,20263120,112,leak_g0.5_b0.3,1,0.5780836120975658,,
8n,14,2,20263120,112,leak_g1.0_b0.4,1,0.9446677203080316,,
8n,14,2,20263120,112,ceiling,1,0.7932051656547465,0.7932051656547465,0.0
8n,14,2,20263120,112,exactN,1,0.7574313404109517,0.7932051656547465,0.0357738252437948
8n,14,2,20263120,112,sampledN,1,0.7574313404109517,0.7932051656547465,0.0357738252437948
8n,14,2,20263120,112,transfer_1,1,0.792289618784177,0.7932051656547465,0.0009155468705694947
8n,14,2,20263120,112,transfer_2,1,0.7932051656547465,0.7932051656547465,0.0
8n,14,2,20263120,112,transfer_3,1,0.7932051656547465,0.7932051656547465,0.0
8n,14,2,20263120,112,universal,1,0.7932051656547465,0.7932051656547465,0.0
8n,14,2,20263120,112,ceiling,3,0.8478819638946191,0.8478819638946191,0.0
8n,14,2,20263120,112,exactN,3,0.7488921744182172,0.8478819638946191,0.09898978947640191
8n,14,2,20263120,112,sampledN,3,0.8002523209883314,0.8478819638946191,0.047629642906287684
8n,14,2,20263120,112,transfer_1,3,0.8478819638946191,0.8478819638946191,0.0
8n,14,2,20263120,112,transfer_2,3,0.8478819638946191,0.8478819638946191,0.0
8n,14,2,20263120,112,transfer_3,3,0.8478819638946191,0.8478819638946191,0.0
8n,14,2,20263120,112,universal,3,0.8478819638946191,0.8478819638946191,0.0
8n,14,3,20263121,112,leak_g0.2_b0.2,1,0.08831890744822707,,
8n,14,3,20263121,112,leak_g0.5_b0.3,1,0.5346920276927418,,
8n,14,3,20263121,112,leak_g1.0_b0.4,1,0.9366566212340199,,
8n,14,3,20263121,112,ceiling,1,0.8216215516488786,0.8216215516488786,0.0
8n,14,3,20263121,112,exactN,1,0.7815925356690987,0.8216215516488786,0.040029015979779925
8n,14,3,20263121,112,sampledN,1,0.7989935428105436,0.8216215516488786,0.022628008838335045
8n,14,3,20263121,112,transfer_1,1,0.8166569047853379,0.8216215516488786,0.0049646468635407
8n,14,3,20263121,112,transfer_2,1,0.8216215516488786,0.8216215516488786,0.0
8n,14,3,20263121,112,transfer_3,1,0.8216215516488786,0.8216215516488786,0.0
8n,14,3,20263121,112,universal,1,0.8216215516488786,0.8216215516488786,0.0
8n,14,3,20263121,112,ceiling,3,0.8707015353513476,0.8707015353513476,0.0
8n,14,3,20263121,112,exactN,3,0.837501674811131,0.8707015353513476,0.03319986054021662
8n,14,3,20263121,112,sampledN,3,0.8263801894328615,0.8707015353513476,0.04432134591848613
8n,14,3,20263121,112,transfer_1,3,0.8707015353513476,0.8707015353513476,0.0
