density,n,instance,seed,m,method,p,ar,ceil,regret
8n,16,1,20263319,128,leak_g0.2_b0.2,1,0.09291020153629484,,
8n,16,1,20263319,128,leak_g0.5_b0.3,1,0.5571490145426153,,
8n,16,1,20263319,128,leak_g1.0_b0.4,1,0.9513337321547392,,
8n,16,1,20263319,128,ceiling,1,0.8378295438144174,0.8378295438144174,0.0
8n,16,1,20263319,128,exactN,1,0.7972126057049415,0.8378295438144174,0.040616938109475975
8n,16,1,20263319,128,sampledN,1,0.8246963483741298,0.8378295438144174,0.013133195440287682
8n,16,1,20263319,128,transfer_1,1,0.8318005934952878,0.8378295438144174,0.0060289503191296445
8n,16,1,20263319,128,transfer_2,1,0.8378295438144174,0.8378295438144174,0.0
8n,16,1,20263319,128,transfer_3,1,0.8378295438144174,0.8378295438144174,0.0
8n,16,1,20263319,128,universal,1,0.8378295438144174,0.8378295438144174,0.0
8n,16,1,20263319,128,ceiling,3,0.8848235921910548,0.8848235921910548,0.0
8n,16,1,20263319,128,exactN,3,0.7890780855340243,0.8848235921910548,0.09574550665703052
8n,16,1,20263319,128,sampledN,3,0.8424148871679737,0.8848235921910548,0.04240870502308103
8n,16,1,20263319,128,transfer_1,3,0.8848235921910548,0.8848235921910548,0.0
8n,16,1,20263319,128,transfer_2,3,0.8848235921910548,0.8848235921910548,0.0
8n,16,1,20263319,128,transfer_3,3,0.8848235921910548,0.8848235921910548,0.0
8n,16,1,20263319,128,universal,3,0.8848235921910548,0.8848235921910548,0.0
8n,16,2,20263320,128,leak_g0.2_b0.2,1,0.09061454177525445,,
8n,16,2,20263320,128,leak_g0.5_b0.3,1,0.5485910485568816,,
8n,16,2,20263320,128,leak_g1.0_b0.4,1,0.9535958264149379,,
8n,16,2,20263320,128,ceiling,1,0.82779522418432,0.82779522418432,0.0
8n,16,2,20263320,128,exactN,1,0.7857533491937744,0.82779522418432,0.04204187499054568
8n,16,2,20263320,128,sampledN,1,0.8030976182507544,0.82779522418432,0.024697605933565625
8n,16,2,20263320,128,transfer_1,1,0.8198522692742276,0.82779522418432,0.007942954910092448
8n,16,2,20263320,128,transfer_2,1,0.82779522418432,0.82779522418432,0.0
