density,n,instance,seed,m,method,p,ar,ceil,regret
4n,16,1,20262319,64,leak_g0.2_b0.2,1,0.048952265411230614,,
4n,16,1,20262319,64,leak_g0.5_b0.3,1,0.35158165959800947,,
4n,16,1,20262319,64,leak_g1.0_b0.4,1,0.8724194642056504,,
4n,16,1,20262319,64,ceiling,1,0.7884295651340745,0.7884295651340745,0.0
4n,16,1,20262319,64,exactN,1,0.7589147178188463,0.7884295651340745,0.029514847315228132
4n,16,1,20262319,64,sampledN,1,0.7589147178188463,0.7884295651340745,0.029514847315228132
4n,16,1,20262319,64,transfer_1,1,0.7884295651340745,0.7884295651340745,0.0
4n,16,1,20262319,64,transfer_2,1,0.783941191029572,0.7884295651340745,0.004488374104502424
4n,16,1,20262319,64,transfer_3,1,0.7884295651340745,0.7884295651340745,0.0
4n,16,1,20262319,64,universal,1,0.7884295651340745,0.7884295651340745,0.0
4n,16,1,20262319,64,ceiling,3,0.8482438941449321,0.8482438941449321,0.0
4n,16,1,20262319,64,exactN,3,0.8047943486860017,0.8482438941449321,0.043449545458930316
4n,16,1,20262319,64,sampledN,3,0.8039964780371878,0.8482438941449321,0.0442474161077443
4n,16,1,20262319,64,transfer_1,3,0.8476456823507275,0.8482438941449321,0.0005982117942046061
4n,16,1,20262319,64,transfer_2,3,0.8482438941449321,0.8482438941449321,0.0
4n,16,1,20262319,64,transfer_3,3,0.8482438941449321,0.8482438941449321,0.0
4n,16,1,20262319,64,universal,3,0.8476456823507275,0.8482438941449321,0.0005982117942046061
4n,16,2,20262320,64,leak_g0.2_b0.2,1,0.04707383582881385,,
4n,16,2,20262320,64,leak_g0.5_b0.3,1,0.34134322649854654,,
4n,16,2,20262320,64,leak_g1.0_b0.4,1,0.8632274714841022,,
4n,16,2,20262320,64,ceiling,1,0.7447927798159233,0.7447927798159233,0.0
4n,16,2,20262320,64,exactN,1,0.7130778151346506,0.7447927798159233,0.03171496468127266
4n,16,2,20262320,64,sampledN,1,0.7383917421746321,0.7447927798159233,0.006401037641291185
4n,16,2,20262320,64,transfer_1,1,0.7447927798159233,0.7447927798159233,0.0
4n,16,2,20262320,64,transfer_2,1,0.7383917421746321,0.7447927798159233,0.006401037641291185
4n,16,2,20262320,64,transfer_3,1,0.7447927798159233,0.7447927798159233,0.0
4n,16,2,20262320,64,universal,1,0.7447927798159233,0.7447927798159233,0.0
4n,16,2,20262320,64,ceiling,3,0.8045715616800989,0.8045715616800989,0.0
4n,16,2,20262320,64,exactN,3,0.7573340194671206,0.8045715616800989,0.04723754221297827
4n,16,2,20262320,64,sampledN,3,0.7825558304982816,0.8045715616800989,0.022015731181817322
4n,16,2,20262320,64,transfer_1,3,0.8021141509082356,0.8045715616800989,0.0024574107718633442
4n,16,2,20262320,64,transfer_2,3,0.8045715616800989,0.8045715616800989,0.0
4n,16,2,20262320,64,transfer_3,3,0.8045715616800989,0.8045715616800989,0.0
4n,16,2,20262320,64,universal,3,0.8021141509082356,0.8045715616800989,0.0024574107718633442
4n,16,3,20262321,64,leak_g0.2_b0.2,1,0.04993543381742625,,
4n,16,3,20262321,64,leak_g0.5_b0.3,1,0.35764084944789,,
4n,16,3,20262321,64,leak_g1.0_b0.4,1,0.8803915137407861,,
4n,16,3,20262321,64,ceiling,1,0.7610376788100962,0.7610376788100962,0.0
4n,16,3,20262321,64,exactN,1,0.7315679063315433,0.7610376788100962,0.02946977247855287
4n,16,3,20262321,64,sampledN,1,0.7465882673026063,0.7610376788100962,0.014449411507489907
4n,16,3,20262321,64,transfer_1,1,0.7610376788100962,0.7610376788100962,0.0
4n,16,3,20262321,64,transfer_2,1,0.7566061094792949,0.7610376788100962,0.004431569330801355
4n,16,3,20262321,64,transfer_3,1,0.7610376788100962,0.7610376788100962,0.0
4n,16,3,20262321,64,universal,1,0.7610376788100962,0.7610376788100962,0.0
4n,16,3,20262321,64,ceiling,3,0.8183361989621549,0.8183361989621549,0.0
4n,16,3,20262321,64,exactN,3,0.7765282686184731,0.8183361989621549,0.0418079303436818
4n,16,3,20262321,64,sampledN,3,0.7765282686184731,0.8183361989621549,0.0418079303436818
4n,16,3,20262321,64,transfer_1,3,0.8168309923468801,0.8183361989621549,0.0015052066152748678
4n,16,3,20262321,64,transfer_2,3,0.8183361989621549,0.8183361989621549,0.0
4n,16,3,20262321,64,transfer_3,3,0.8183361989621549,0.8183361989621549,0.0
4n,16,3,20262321,64,universal,3,0.8168309923468801,0.8183361989621549,0.0015052066152748678
4n,16,4,20262322,64,leak_g0.2_b0.2,1,0.054269606525626325,,
4n,16,4,20262322,64,leak_g0.5_b0.3,1,0.3789682877262009,,
4n,16,4,20262322,64,leak_g1.0_b0.4,1,0.8888971595831342,,
4n,16,4,20262322,64,ceiling,1,0.819787467841875,0.819787467841875,0.0
4n,16,4,20262322,64,exactN,1,0.7914293856527546,0.819787467841875,0.028358082189120393
4n,16,4,20262322,64,sampledN,1,0.8063345859527019,0.819787467841875,0.01345288188917304
4n,16,4,20262322,64,transfer_1,1,0.819787467841875,0.819787467841875,0.0
4n,16,4,20262322,64,transfer_2,1,0.816414924874212,0.819787467841875,0.0033725429676629837
4n,16,4,20262322,64,transfer_3,1,0.819787467841875,0.819787467841875,0.0
4n,16,4,20262322,64,universal,1,0.819787467841875,0.819787467841875,0.0
4n,16,4,20262322,64,ceiling,3,0.8855198008754686,0.8855198008754686,0.0
4n,16,4,20262322,64,exactN,3,0.83979445299276,0.8855198008754686,0.045725347882708545
4n,16,4,20262322,64,sampledN,3,0.83979445299276,0.8855198008754686,0.045725347882708545
4n,16,4,20262322,64,transfer_1,3,0.8835782578902642,0.8855198008754686,0.0019415429852043253
4n,16,4,20262322,64,transfer_2,3,0.8855198008754686,0.8855198008754686,0.0
4n,16,4,20262322,64,transfer_3,3,0.8855198008754686,0.8855198008754686,0.0
4n,16,4,20262322,64,universal,3,0.8835782578902642,0.8855198008754686,0.0019415429852043253
4n,16,5,20262323,64,leak_g0.2_b0.2,1,0.0511311061369462,,
4n,16,5,20262323,64,leak_g0.5_b0.3,1,0.3624537467879899,,
4n,16,5,20262323,64,leak_g1.0_b0.4,1,0.879770491484657,,
4n,16,5,20262323,64,ceiling,1,0.8072321842240137,0.8072321842240137,0.0
4n,16,5,20262323,64,exactN,1,0.7755757968159925,0.8072321842240137,0.031656387408021125
4n,16,5,20262323,64,sampledN,1,0.7916387844727552,0.8072321842240137,0.015593399751258508
4n,16,5,20262323,64,transfer_1,1,0.8072321842240137,0.8072321842240137,0.0
4n,16,5,20262323,64,transfer_2,1,0.8018428379488833,0.8072321842240137,0.0053893462751303245
4n,16,5,20262323,64,transfer_3,1,0.8072321842240137,0.8072321842240137,0.0
4n,16,5,20262323,64,universal,1,0.8072321842240137,0.8072321842240137,0.0
