family,n,instance,seed,m,method,p,ar,ceil,regret
3-regular,14,1,20262107,21,ceiling,1,0.7264123333199479,0.7264123333199479,0.0
3-regular,14,1,20262107,21,binned_exact,1,0.6914421072778905,0.7264123333199479,0.03497022604205746
3-regular,14,1,20262107,21,binned_sampled,1,0.6595658742885675,0.7264123333199479,0.06684645903138042
3-regular,14,1,20262107,21,transfer_1,1,0.726332726495643,0.7264123333199479,7.960682430496746e-5
3-regular,14,1,20262107,21,transfer_2,1,0.7002320863481456,0.7264123333199479,0.026180246971802323
3-regular,14,1,20262107,21,transfer_3,1,0.726332726495643,0.7264123333199479,7.960682430496746e-5
3-regular,14,1,20262107,21,universal,1,0.726332726495643,0.7264123333199479,7.960682430496746e-5
3-regular,14,1,20262107,21,ceiling,3,0.8391609524562301,0.8391609524562301,0.0
3-regular,14,1,20262107,21,binned_exact,3,0.7308055520673021,0.8391609524562301,0.10835540038892799
3-regular,14,1,20262107,21,binned_sampled,3,0.7174360079779235,0.8391609524562301,0.12172494447830662
3-regular,14,1,20262107,21,transfer_1,3,0.8308695048613675,0.8391609524562301,0.008291447594862666
3-regular,14,1,20262107,21,transfer_2,3,0.8112004487373681,0.8391609524562301,0.02796050371886205
3-regular,14,1,20262107,21,transfer_3,3,0.8391609524562301,0.8391609524562301,0.0
3-regular,14,1,20262107,21,universal,3,0.8239896983313629,0.8391609524562301,0.015171254124867195
3-regular,14,2,20262108,21,ceiling,1,0.7942642346999264,0.7942642346999264,0.0
3-regular,14,2,20262108,21,binned_exact,1,0.7505696705314469,0.7942642346999264,0.0436945641684795
3-regular,14,2,20262108,21,binned_sampled,1,0.7566640898335507,0.7942642346999264,0.03760014486637564
3-regular,14,2,20262108,21,transfer_1,1,0.7876963848804116,0.7942642346999264,0.006567849819514748
3-regular,14,2,20262108,21,transfer_2,1,0.7866306717409355,0.7942642346999264,0.007633562958990869
3-regular,14,2,20262108,21,transfer_3,1,0.7876963848804116,0.7942642346999264,0.006567849819514748
3-regular,14,2,20262108,21,universal,1,0.7876963848804116,0.7942642346999264,0.006567849819514748
3-regular,14,2,20262108,21,ceiling,3,0.907004571828387,0.907004571828387,0.0
3-regular,14,2,20262108,21,binned_exact,3,0.8092503250266604,0.907004571828387,0.09775424680172662
3-regular,14,2,20262108,21,binned_sampled,3,0.8092503250266604,0.907004571828387,0.09775424680172662
3-regular,14,2,20262108,21,transfer_1,3,0.8986351983068065,0.907004571828387,0.008369373521580514
3-regular,14,2,20262108,21,transfer_2,3,0.904792201540872,0.907004571828387,0.0022123702875149753
3-regular,14,2,20262108,21,transfer_3,3,0.8926465349967923,0.907004571828387,0.014358036831594756
3-regular,14,2,20262108,21,universal,3,0.907004571828387,0.907004571828387,0.0
3-regular,14,3,20262109,21,ceiling,1,0.778703448629546,0.778703448629546,0.0
3-regular,14,3,20262109,21,binned_exact,1,0.7322192751225465,0.778703448629546,0.046484173506999515
3-regular,14,3,20262109,21,binned_sampled,1,0.7209634806412906,0.778703448629546,0.057739967988255425
3-regular,14,3,20262109,21,transfer_1,1,0.7715421986595421,0.778703448629546,0.007161249970003891
3-regular,14,3,20262109,21,transfer_2,1,0.7700487798137383,0.778703448629546,0.008654668815807676
3-regular,14,3,20262109,21,transfer_3,1,0.7715421986595421,0.778703448629546,0.007161249970003891
3-regular,14,3,20262109,21,universal,1,0.7715421986595421,0.778703448629546,0.007161249970003891
3-regular,14,3,20262109,21,ceiling,3,0.8776819496789481,0.8776819496789481,0.0
3-regular,14,3,20262109,21,binned_exact,3,0.7910309314372314,0.8776819496789481,0.08665101824171673
3-regular,14,3,20262109,21,binned_sampled,3,0.7738718678214691,0.8776819496789481,0.10381008185747898
3-regular,14,3,20262109,21,transfer_1,3,0.8759320820521151,0.8776819496789481,0.001749867626832935
3-regular,14,3,20262109,21,transfer_2,3,0.8715796850545889,0.8776819496789481,0.006102264624359144
3-regular,14,3,20262109,21,transfer_3,3,0.8726787484342579,0.8776819496789481,0.005003201244690225
3-regular,14,3,20262109,21,universal,3,0.8774949661931757,0.8776819496789481,0.0001869834857723962
3-regular,14,4,20262110,21,ceiling,1,0.7677502421919147,0.7677502421919147,0.0
3-regular,14,4,20262110,21,binned_exact,1,0.7167901639705938,0.7677502421919147,0.05096007822132087
3-regular,14,4,20262110,21,binned_sampled,1,0.7069165904141794,0.7677502421919147,0.060833651777735254
3-regular,14,4,20262110,21,transfer_1,1,0.7652782355361349,0.7677502421919147,0.002472006655779735
3-regular,14,4,20262110,21,transfer_2,1,0.7570604069022664,0.7677502421919147,0.010689835289648286
3-regular,14,4,20262110,21,transfer_3,1,0.7652782355361349,0.7677502421919147,0.002472006655779735
3-regular,14,4,20262110,21,universal,1,0.7652782355361349,0.7677502421919147,0.002472006655779735
3-regular,14,4,20262110,21,ceiling,3,0.8854751890006187,0.8854751890006187,0.0
3-regular,14,4,20262110,21,binned_exact,3,0.7599793682760119,0.8854751890006187,0.12549582072460685
3-regular,14,4,20262110,21,binned_sampled,3,0.7712486006184865,0.8854751890006187,0.11422658838213218
3-regular,14,4,20262110,21,transfer_1,3,0.8825526110419082,0.8854751890006187,0.002922577958710537
3-regular,14,4,20262110,21,transfer_2,3,0.8651242446610511,0.8854751890006187,0.020350944339567634
3-regular,14,4,20262110,21,transfer_3,3,0.8854751890006187,0.8854751890006187,0.0
3-regular,14,4,20262110,21,universal,3,0.8773563997736157,0.8854751890006187,0.008118789227003043
3-regular,14,5,20262111,21,ceiling,1,0.7893662061419007,0.7893662061419007,0.0
3-regular,14,5,20262111,21,binned_exact,1,0.7544161246756691,0.7893662061419007,0.034950081466231575
3-regular,14,5,20262111,21,binned_sampled,1,0.7666685244030146,0.7893662061419007,0.02269768173888609
3-regular,14,5,20262111,21,transfer_1,1,0.7866011714672262,0.7893662061419007,0.0027650346746744825
3-regular,14,5,20262111,21,transfer_2,1,0.7817193514763403,0.7893662061419007,0.007646854665560365
3-regular,14,5,20262111,21,transfer_3,1,0.7866011714672262,0.7893662061419007,0.0027650346746744825
3-regular,14,5,20262111,21,universal,1,0.7866011714672262,0.7893662061419007,0.0027650346746744825
3-regular,14,5,20262111,21,ceiling,3,0.8926520190705652,0.8926520190705652,0.0
3-regular,14,5,20262111,21,binned_exact,3,0.8092316525644343,0.8926520190705652,0.08342036650613094
3-regular,14,5,20262111,21,binned_sampled,3,0.8235752456072035,0.8926520190705652,0.06907677346336172
3-regular,14,5,20262111,21,transfer_1,3,0.8731052606831022,0.8926520190705652,0.019546758387463004
3-regular,14,5,20262111,21,transfer_2,3,0.8926520190705652,0.8926520190705652,0.0
3-regular,14,5,20262111,21,transfer_3,3,0.867568339300026,0.8926520190705652,0.02508367977053927
3-regular,14,5,20262111,21,universal,3,0.8906166010168416,0.8926520190705652,0.0020354180537236477
3-regular,14,6,20262112,21,ceiling,1,0.8128491058608973,0.8128491058608973,0.0
3-regular,14,6,20262112,21,binned_exact,1,0.7963783859535957,0.8128491058608973,0.016470719907301645
3-regular,14,6,20262112,21,binned_sampled,1,0.7837794267613107,0.8128491058608973,0.029069679099586576
3-regular,14,6,20262112,21,transfer_1,1,0.8107408639004196,0.8128491058608973,0.0021082419604777636
3-regular,14,6,20262112,21,transfer_2,1,0.7808200118738235,0.8128491058608973,0.032029093987073765
3-regular,14,6,20262112,21,transfer_3,1,0.8107408639004196,0.8128491058608973,0.0021082419604777636
3-regular,14,6,20262112,21,universal,1,0.8107408639004196,0.8128491058608973,0.0021082419604777636
3-regular,14,6,20262112,21,ceiling,3,0.8986800768518356,0.8986800768518356,0.0
3-regular,14,6,20262112,21,binned_exact,3,0.8309937169835543,0.8986800768518356,0.06768635986828131
3-regular,14,6,20262112,21,binned_sampled,3,0.8119782466353677,0.8986800768518356,0.08670183021646793
3-regular,14,6,20262112,21,transfer_1,3,0.8822773550697993,0.8986800768518356,0.016402721782036278
3-regular,14,6,20262112,21,transfer_2,3,0.8940718718488617,0.8986800768518356,0.004608205002973875
3-regular,14,6,20262112,21,transfer_3,3,0.8645381328543054,0.8986800768518356,0.03414194399753023
3-regular,14,6,20262112,21,universal,3,0.8847825802763386,0.8986800768518356,0.013897496575496993
3-regular,14,7,20262113,21,ceiling,1,0.7571806780948253,0.7571806780948253,0.0
3-regular,14,7,20262113,21,binned_exact,1,0.7234493614007104,0.7571806780948253,0.03373131669411489
3-regular,14,7,20262113,21,binned_sampled,1,0.7094161344278729,0.7571806780948253,0.047764543666952375
3-regular,14,7,20262113,21,transfer_1,1,0.7494398017618664,0.7571806780948253,0.007740876332958835
3-regular,14,7,20262113,21,transfer_2,1,0.7524991533555511,0.7571806780948253,0.00468152473927419
3-regular,14,7,20262113,21,transfer_3,1,0.7494398017618664,0.7571806780948253,0.007740876332958835
3-regular,14,7,20262113,21,universal,1,0.7494398017618664,0.7571806780948253,0.007740876332958835
3-regular,14,7,20262113,21,ceiling,3,0.8772035041646735,0.8772035041646735,0.0
3-regular,14,7,20262113,21,binned_exact,3,0.7679320521078146,0.8772035041646735,0.10927145205685895
3-regular,14,7,20262113,21,binned_sampled,3,0.7519100855676335,0.8772035041646735,0.12529341859704002
3-regular,14,7,20262113,21,transfer_1,3,0.8690795578585857,0.8772035041646735,0.008123946306087815
3-regular,14,7,20262113,21,transfer_2,3,0.8742869954028397,0.8772035041646735,0.0029165087618338026
3-regular,14,7,20262113,21,transfer_3,3,0.8563600404316617,0.8772035041646735,0.020843463733011824
3-regular,14,7,20262113,21,universal,3,0.8705905172808303,0.8772035041646735,0.006612986883843264
3-regular,14,8,20262114,21,ceiling,1,0.7411555197975688,0.7411555197975688,0.0
3-regular,14,8,20262114,21,binned_exact,1,0.6920646536397143,0.7411555197975688,0.04909086615785452
3-regular,14,8,20262114,21,binned_sampled,1,0.6988392383874114,0.7411555197975688,0.04231628141015742
3-regular,14,8,20262114,21,transfer_1,1,0.7411555197975688,0.7411555197975688,0.0
3-regular,14,8,20262114,21,transfer_2,1,0.7100831909749611,0.7411555197975688,0.031072328822607687
3-regular,14,8,20262114,21,transfer_3,1,0.7411555197975688,0.7411555197975688,0.0
3-regular,14,8,20262114,21,universal,1,0.7411555197975688,0.7411555197975688,0.0
3-regular,14,8,20262114,21,ceiling,3,0.8573678513683662,0.8573678513683662,0.0
3-regular,14,8,20262114,21,binned_exact,3,0.7499025176690733,0.8573678513683662,0.1074653336992929
3-regular,14,8,20262114,21,binned_sampled,3,0.7499025176690733,0.8573678513683662,0.1074653336992929
3-regular,14,8,20262114,21,transfer_1,3,0.8390169731043197,0.8573678513683662,0.018350878264046577
3-regular,14,8,20262114,21,transfer_2,3,0.8296359687010929,0.8573678513683662,0.027731882667273333
3-regular,14,8,20262114,21,transfer_3,3,0.8512338751605313,0.8573678513683662,0.006133976207834957
3-regular,14,8,20262114,21,universal,3,0.8401657507402464,0.8573678513683662,0.017202100628119887
3-regular,14,9,20262115,21,ceiling,1,0.8029796992106238,0.8029796992106238,0.0
3-regular,14,9,20262115,21,binned_exact,1,0.7676291417086855,0.8029796992106238,0.035350557501938384
3-regular,14,9,20262115,21,binned_sampled,1,0.7822864421574621,0.8029796992106238,0.020693257053161718
3-regular,14,9,20262115,21,transfer_1,1,0.8029796992106238,0.8029796992106238,0.0
3-regular,14,9,20262115,21,transfer_2,1,0.7838004800495366,0.8029796992106238,0.019179219161087224
3-regular,14,9,20262115,21,transfer_3,1,0.8029796992106238,0.8029796992106238,0.0
3-regular,14,9,20262115,21,universal,1,0.8029796992106238,0.8029796992106238,0.0
3-regular,14,9,20262115,21,ceiling,3,0.9088418208326042,0.9088418208326042,0.0
3-regular,14,9,20262115,21,binned_exact,3,0.8296642462462954,0.9088418208326042,0.07917757458630881
3-regular,14,9,20262115,21,binned_sampled,3,0.8437632554151292,0.9088418208326042,0.06507856541747503
3-regular,14,9,20262115,21,transfer_1,3,0.8959023746120249,0.9088418208326042,0.012939446220579298
3-regular,14,9,20262115,21,transfer_2,3,0.9065041337637451,0.9088418208326042,0.0023376870688591733
3-regular,14,9,20262115,21,transfer_3,3,0.8927151540786176,0.9088418208326042,0.016126666753986663
3-regular,14,9,20262115,21,universal,3,0.9088418208326042,0.9088418208326042,0.0
3-regular,14,10,20262116,21,ceiling,1,0.7670279109919722,0.7670279109919722,0.0
3-regular,14,10,20262116,21,binned_exact,1,0.7095410119030743,0.7670279109919722,0.057486899088897925
3-regular,14,10,20262116,21,binned_sampled,1,0.6953835609373809,0.7670279109919722,0.07164435005459135
3-regular,14,10,20262116,21,transfer_1,1,0.7624980110399356,0.7670279109919722,0.004529899952036565
3-regular,14,10,20262116,21,transfer_2,1,0.7596479681378866,0.7670279109919722,0.007379942854085608
3-regular,14,10,20262116,21,transfer_3,1,0.7624980110399356,0.7670279109919722,0.004529899952036565
3-regular,14,10,20262116,21,universal,1,0.7624980110399356,0.7670279109919722,0.004529899952036565
3-regular,14,10,20262116,21,ceiling,3,0.8947907655625995,0.8947907655625995,0.0
3-regular,14,10,20262116,21,binned_exact,3,0.7846338770610609,0.8947907655625995,0.1101568885015386
3-regular,14,10,20262116,21,binned_sampled,3,0.7409386140024168,0.8947907655625995,0.15385215156018273
3-regular,14,10,20262116,21,transfer_1,3,0.8902735678230042,0.8947907655625995,0.004517197739595358
3-regular,14,10,20262116,21,transfer_2,3,0.8764177181159742,0.8947907655625995,0.018373047446625268
3-regular,14,10,20262116,21,transfer_3,3,0.8878972841310678,0.8947907655625995,0.006893481431531678
3-regular,14,10,20262116,21,universal,3,0.8832340322707768,0.8947907655625995,0.011556733291822718
