family,n,instance,seed,m,ceil_p1,ar_emp_p1,ar_paper_p1,sum_leakage_p1,overlap_p1,distance_p1,ceil_p3,ar_emp_p3,ar_paper_p3,sum_leakage_p3,overlap_p3,distance_p3
ER(0.5),12,1,20271812,38,0.8477289924229867,0.8268479547489554,0.48612701840493766,0.16487327788266137,0.972816802240227,0.16487327788266137,0.9247747897814202,0.8505042306345844,0.7456387950169029,0.23633169746622962,0.970067095664754,0.19594151648726224
ER(0.5),12,2,20271813,37,0.8368529726753533,0.8099191309873878,0.4934468033466249,0.16403017463777045,0.9730941018083061,0.16403017463777045,0.9322194925298259,0.8377201185807063,0.731350930601192,0.24067100318647877,0.9695939419143227,0.1962774648444926
ER(0.5),12,3,20271814,35,0.8242754436579601,0.7968238075897353,0.5328470641483745,0.152188591355655,0.9768386326611798,0.152188591355655,0.9258549961144368,0.8444395320175976,0.7194869290270246,0.3795361895803887,0.9261232942045629,0.30928843472512996
ER(0.5),12,4,20271815,37,0.852769413054839,0.8344342798790164,0.4979164748263099,0.1543549330463711,0.9761745546442522,0.1543549330463711,0.9162119658638054,0.8551759044658851,0.7603801200243222,0.2156792975913892,0.9745441867011461,0.18173238000770242
ER(0.5),12,5,20271816,43,0.8671247452810639,0.8476106219459761,0.46939693664187443,0.12434416211527648,0.9845385293478508,0.12434416211527648,0.9313422058849091,0.8753537126425813,0.8028718974628288,0.2561502089004188,0.9647259625395189,0.21286409852198557
ER(0.5),12,6,20271817,38,0.8174717361236622,0.796763810234326,0.47026896903574733,0.16997984193366272,0.971106853336206,0.16997984193366272,0.912566152383117,0.8211584994216611,0.7186098417998247,0.24746371633344938,0.9676600616882713,0.2027527474926882
ER(0.5),12,7,20271818,33,0.7847435940265335,0.7536112480067939,0.7673415163678535,0.14050410430957785,0.9802585966721625,0.14050410430957785,0.8772262950414403,0.8013450881873506,0.793930219227438,0.36172292837112685,0.9325617437660471,0.2960811395095754
ER(0.5),12,8,20271819,27,0.8184342735726784,0.7873602550128526,0.8076779585555581,0.14645276534022644,0.978551587524203,0.14645276534022644,0.8972310340786219,0.8265959465271961,0.8155581408532495,0.27208465457971015,0.9596700733748301,0.2317170066815479
ER(0.5),12,9,20271820,20,0.823532073741406,0.7826622530330494,0.8135622961819252,0.19024377879660728,0.963807304629185,0.19024377879660728,0.922810663097481,0.8337858162396512,0.8833267698414415,0.3250668545092521,0.9408313083879342,0.2832166726908489
ER(0.5),12,10,20271821,41,0.8670515840008822,0.8416168805898265,0.48381812540466645,0.11796977845575556,0.986083131371101,0.11796977845575556,0.9371304822012282,0.873303445120312,0.771451547767481,0.2455036482500596,0.9676085211432842,0.20395033166438642
ER(0.5),12,11,20271822,29,0.7659195615998123,0.7367188089464711,0.7579181750220765,0.17016900304296578,0.971042510403363,0.17016900304296578,0.8675138190995717,0.7789397124464771,0.8085223266129864,0.3251828708195126,0.9448469644320542,0.26834554448445486
ER(0.5),12,12,20271823,35,0.7970735260153092,0.7676744778795368,0.5157040246889849,0.15837756638508826,0.9749165464659407,0.15837756638508826,0.9104397973273154,0.8196548106405991,0.6918583653283198,0.39525657504010137,0.9218970607481113,0.31576068073007085
ER(0.5),12,13,20271824,37,0.831708180219495,0.8080409705996356,0.48955968128836314,0.16352169546265025,0.9732606551130205,0.16352169546265025,0.9160809489136265,0.8337863793589507,0.731300221193628,0.23874053157745967,0.9697644382613186,0.1962607340335983
ER(0.5),12,14,20271825,24,0.8026514266511103,0.7673445365247678,0.7990644385010967,0.19368723896452034,0.9624852534622981,0.19368723896452034,0.9229712068478261,0.8247147340835536,0.8637362517756187,0.40614459512080736,0.9112918665451353,0.3437848217815052
ER(0.5),12,15,20271826,34,0.7963952149165868,0.7721750439077667,0.6800000000000002,0.1499501966007568,0.9775149385393966,0.1499501966007568,0.887842168791486,0.7966379571396348,0.6988774097121707,0.2244280007336228,0.9729805856326434,0.18600662746580104
ER(0.5),12,16,20271827,32,0.8250840237221323,0.7933330353881578,0.8131169353963396,0.13778564777369318,0.9810151152675851,0.13778564777369318,0.9129688379343402,0.8421004602970349,0.8298227324247912,0.3475951128473106,0.9368181110473827,0.2871401305745408
ER(0.5),12,17,20271828,23,0.7765560088548945,0.7387210679861589,0.7662474565200902,0.1875795167819623,0.964813924883844,0.1875795167819623,0.8951165353526761,0.7970966293964956,0.8380772067966566,0.39695925681582467,0.9152898760161082,0.33600212264097573
