family,n,inst,m,p,ceiling,ar_emp,regret,argmax_disp,robust_frac,overlap
ER(0.25),14,6,24,1,0.798255,0.76466,0.033595,0.110286,0.01375,0.963701
ER(0.25),14,6,24,3,0.893987,0.819785,0.074202,0.327327,0.008301,0.925964
ER(0.25),14,7,18,1,0.777343,0.751616,0.025728,0.110286,0.018125,0.958785
ER(0.25),14,7,18,3,0.882668,0.804219,0.078449,0.303046,0.003174,0.928675
ER(0.25),14,8,24,1,0.732014,0.697108,0.034907,0.110286,0.014375,0.963898
ER(0.25),14,8,24,3,0.842164,0.751433,0.090731,0.357143,0.008301,0.907222
ER(0.25),14,9,18,1,0.810979,0.780447,0.030532,0.09245,0.013125,0.949196
ER(0.25),14,9,18,3,0.905964,0.835351,0.070613,0.247436,0.003174,0.942289
ER(0.25),14,10,22,1,0.758722,0.723653,0.035069,0.110286,0.014375,0.954749
ER(0.25),14,10,22,3,0.871116,0.772423,0.098694,0.416497,0.006348,0.92731
BA(k=2),12,1,20,1,0.755404,0.72743,0.027973,0.09245,0.01375,0.955241
BA(k=2),12,1,20,3,0.868111,0.773724,0.094387,0.446071,0.007324,0.929484
BA(k=2),12,2,20,1,0.852018,0.823634,0.028384,0.09245,0.01375,0.968752
BA(k=2),12,2,20,3,0.927055,0.866151,0.060904,0.327327,0.003906,0.955281
BA(k=2),12,3,20,1,0.845851,0.819758,0.026094,0.09245,0.014375,0.956997
BA(k=2),12,3,20,3,0.936066,0.865932,0.070134,0.33503,0.005615,0.933483
BA(k=2),12,4,20,1,0.845212,0.818118,0.027094,0.110286,0.015625,0.960589
BA(k=2),12,4,20,3,0.932323,0.864897,0.067426,0.327327,0.00415,0.949766
BA(k=2),12,5,20,1,0.754022,0.727204,0.026818,0.09245,0.01625,0.956048
BA(k=2),12,5,20,3,0.865165,0.780936,0.084229,0.276642,0.009033,0.94291
BA(k=2),12,6,20,1,0.765477,0.733275,0.032202,0.09245,0.0125,0.95901
BA(k=2),12,6,20,3,0.877914,0.77902,0.098894,0.446071,0.004395,0.92896
BA(k=2),12,7,20,1,0.837216,0.8144,0.022816,0.09245,0.016875,0.961701
BA(k=2),12,7,20,3,0.920371,0.857902,0.06247,0.327327,0.003906,0.952055
BA(k=2),12,8,20,1,0.741367,0.709193,0.032173,0.128205,0.01875,0.97509
BA(k=2),12,8,20,3,0.853263,0.759405,0.093858,0.349927,0.003174,0.940852
