family,n,instance,seed,m,law,method,p,ar,ceil,regret
ER(0.5),16,1,20262317,66,a2.4,ceiling,1,0.8106810961309425,0.8106810961309425,0.0
ER(0.5),16,1,20262317,66,a2.4,binned_exact,1,0.7686005401826854,0.8106810961309425,0.0420805559482571
ER(0.5),16,1,20262317,66,a2.4,binned_sampled,1,0.7680783952250384,0.8106810961309425,0.04260270090590412
ER(0.5),16,1,20262317,66,a2.4,transfer_1,1,0.7621114792602701,0.8106810961309425,0.048569616870672405
ER(0.5),16,1,20262317,66,a2.4,transfer_2,1,0.7329164248608043,0.8106810961309425,0.0777646712701382
ER(0.5),16,1,20262317,66,a2.4,transfer_3,1,0.7230843077574381,0.8106810961309425,0.08759678837350438
ER(0.5),16,1,20262317,66,a2.4,universal,1,0.7213924898989217,0.8106810961309425,0.08928860623202084
ER(0.5),16,1,20262317,66,a2.4,ceiling,3,0.8755183993284854,0.8755183993284854,0.0
ER(0.5),16,1,20262317,66,a2.4,binned_exact,3,0.8032512358612615,0.8755183993284854,0.07226716346722395
ER(0.5),16,1,20262317,66,a2.4,binned_sampled,3,0.7950398841888142,0.8755183993284854,0.08047851513967119
ER(0.5),16,1,20262317,66,a2.4,transfer_1,3,0.8174510632925777,0.8755183993284854,0.058067336035907746
ER(0.5),16,1,20262317,66,a2.4,transfer_2,3,0.8174510632925777,0.8755183993284854,0.058067336035907746
ER(0.5),16,1,20262317,66,a2.4,transfer_3,3,0.8174510632925777,0.8755183993284854,0.058067336035907746
ER(0.5),16,1,20262317,66,a2.4,universal,3,0.8174510632925777,0.8755183993284854,0.058067336035907746
ER(0.5),16,2,20262318,54,a2.4,ceiling,1,0.8026644029769888,0.8026644029769888,0.0
ER(0.5),16,2,20262318,54,a2.4,binned_exact,1,0.7945562395175705,0.8026644029769888,0.008108163459418338
ER(0.5),16,2,20262318,54,a2.4,binned_sampled,1,0.7945562395175705,0.8026644029769888,0.008108163459418338
ER(0.5),16,2,20262318,54,a2.4,transfer_1,1,0.7679352214617282,0.8026644029769888,0.03472918151526061
ER(0.5),16,2,20262318,54,a2.4,transfer_2,1,0.7345354540684215,0.8026644029769888,0.06812894890856735
ER(0.5),16,2,20262318,54,a2.4,transfer_3,1,0.7168586246355793,0.8026644029769888,0.08580577834140957
ER(0.5),16,2,20262318,54,a2.4,universal,1,0.7158714813639627,0.8026644029769888,0.0867929216130261
ER(0.5),16,2,20262318,54,a2.4,ceiling,3,0.8695370128641642,0.8695370128641642,0.0
ER(0.5),16,2,20262318,54,a2.4,binned_exact,3,0.789710520317459,0.8695370128641642,0.07982649254670515
ER(0.5),16,2,20262318,54,a2.4,binned_sampled,3,0.789710520317459,0.8695370128641642,0.07982649254670515
ER(0.5),16,2,20262318,54,a2.4,transfer_1,3,0.8171170825995112,0.8695370128641642,0.05241993026465297
ER(0.5),16,2,20262318,54,a2.4,transfer_2,3,0.8171170825995112,0.8695370128641642,0.05241993026465297
ER(0.5),16,2,20262318,54,a2.4,transfer_3,3,0.8171170825995112,0.8695370128641642,0.05241993026465297
ER(0.5),16,2,20262318,54,a2.4,universal,3,0.8171170825995112,0.8695370128641642,0.05241993026465297
ER(0.5),16,3,20262319,61,a2.4,ceiling,1,0.7905939385479591,0.7905939385479591,0.0
ER(0.5),16,3,20262319,61,a2.4,binned_exact,1,0.7629319565021517,0.7905939385479591,0.027661982045807387
ER(0.5),16,3,20262319,61,a2.4,binned_sampled,1,0.7702019555971579,0.7905939385479591,0.020391982950801246
ER(0.5),16,3,20262319,61,a2.4,transfer_1,1,0.7884605091916487,0.7905939385479591,0.0021334293563104456
ER(0.5),16,3,20262319,61,a2.4,transfer_2,1,0.776080235927061,0.7905939385479591,0.014513702620898128
ER(0.5),16,3,20262319,61,a2.4,transfer_3,1,0.7593851831499041,0.7905939385479591,0.03120875539805501
ER(0.5),16,3,20262319,61,a2.4,universal,1,0.7591731310237009,0.7905939385479591,0.03142080752425824
ER(0.5),16,3,20262319,61,a2.4,ceiling,3,0.8762530367651892,0.8762530367651892,0.0
ER(0.5),16,3,20262319,61,a2.4,binned_exact,3,0.7620486449356414,0.8762530367651892,0.11420439182954778
ER(0.5),16,3,20262319,61,a2.4,binned_sampled,3,0.822552824840215,0.8762530367651892,0.053700211924974206
ER(0.5),16,3,20262319,61,a2.4,transfer_1,3,0.8374863534256733,0.8762530367651892,0.03876668333951583
ER(0.5),16,3,20262319,61,a2.4,transfer_2,3,0.8374863534256733,0.8762530367651892,0.03876668333951583
ER(0.5),16,3,20262319,61,a2.4,transfer_3,3,0.8374863534256733,0.8762530367651892,0.03876668333951583
ER(0.5),16,3,20262319,61,a2.4,universal,3,0.8374863534256733,0.8762530367651892,0.03876668333951583
ER(0.5),16,4,20262320,63,a2.4,ceiling,1,0.8228725379595867,0.8228725379595867,0.0
ER(0.5),16,4,20262320,63,a2.4,binned_exact,1,0.7949059902741035,0.8228725379595867,0.027966547685483234
ER(0.5),16,4,20262320,63,a2.4,binned_sampled,1,0.7867173485227401,0.8228725379595867,0.03615518943684659
ER(0.5),16,4,20262320,63,a2.4,transfer_1,1,0.8228725379595867,0.8228725379595867,0.0
ER(0.5),16,4,20262320,63,a2.4,transfer_2,1,0.8074374627025355,0.8228725379595867,0.015435075257051234
ER(0.5),16,4,20262320,63,a2.4,transfer_3,1,0.7825113894729344,0.8228725379595867,0.04036114848665229
ER(0.5),16,4,20262320,63,a2.4,universal,1,0.782033768373285,0.8228725379595867,0.040838769586301726
ER(0.5),16,4,20262320,63,a2.4,ceiling,3,0.9106095123682697,0.9106095123682697,0.0
ER(0.5),16,4,20262320,63,a2.4,binned_exact,3,0.7842767101174088,0.9106095123682697,0.12633280225086085
ER(0.5),16,4,20262320,63,a2.4,binned_sampled,3,0.7842767101174088,0.9106095123682697,0.12633280225086085
