family,n,inst,p,is_probe,ceiling,regret_normalized,regret_corrected
BA(k=2),12,7,1,0,0.837216,0.062296,0.08188
BA(k=2),12,7,3,0,0.920371,0.01861,0.063979
BA(k=2),12,8,1,0,0.741367,0.041692,0.053829
BA(k=2),12,8,3,0,0.853263,0.043424,0.081191
BA(k=2),12,9,1,0,0.785087,0.038948,0.059887
BA(k=2),12,9,3,0,0.871211,0.030632,0.066054
BA(k=2),12,10,1,0,0.760134,0.059928,0.066859
BA(k=2),12,10,3,0,0.863135,0.027177,0.043132
BA(k=2),14,1,1,1,0.774731,0.084835,0.108415
BA(k=2),14,1,3,1,0.878564,0.052179,0.087094
BA(k=2),14,2,1,0,0.760801,0.03126,0.03126
BA(k=2),14,2,3,0,0.868262,0.102222,0.102222
BA(k=2),14,3,1,0,0.803716,0.04382,0.068023
BA(k=2),14,3,3,0,0.89081,0.02974,0.059729
BA(k=2),14,4,1,0,0.803383,0.079787,0.079787
BA(k=2),14,4,3,0,0.89529,0.017331,0.063299
BA(k=2),14,5,1,0,0.817184,0.087279,0.087279
BA(k=2),14,5,3,0,0.91672,0.03731,0.055593
BA(k=2),14,6,1,0,0.734673,0.067313,0.088171
BA(k=2),14,6,3,0,0.839505,0.012501,0.020359
BA(k=2),14,7,1,0,0.773695,0.083556,0.083556
BA(k=2),14,7,3,0,0.880303,0.01815,0.076553
BA(k=2),14,8,1,0,0.802907,0.069129,0.075203
BA(k=2),14,8,3,0,0.893369,0.066412,0.085483
BA(k=2),14,9,1,0,0.776151,0.078632,0.096755
BA(k=2),14,9,3,0,0.866993,0.033686,0.09413
BA(k=2),14,10,1,0,0.799887,0.081867,0.086999
BA(k=2),14,10,3,0,0.891638,0.024436,0.049076
BA(k=4),12,1,1,1,0.758882,0.019228,0.043947
BA(k=4),12,1,3,1,0.854515,0.13334,0.13334
BA(k=4),12,2,1,0,0.780236,0.025845,0.05253
BA(k=4),12,2,3,0,0.877347,0.061872,0.083152
BA(k=4),12,3,1,0,0.784795,0.025119,0.049062
BA(k=4),12,3,3,0,0.870328,0.039282,0.061235
BA(k=4),12,4,1,0,0.790761,0.033209,0.058898
BA(k=4),12,4,3,0,0.891425,0.054869,0.066004
BA(k=4),12,5,1,0,0.797834,0.020233,0.04038
BA(k=4),12,5,3,0,0.897432,0.052855,0.052855
BA(k=4),12,6,1,0,0.784602,0.025925,0.044193
BA(k=4),12,6,3,0,0.869112,0.03614,0.039045
BA(k=4),12,7,1,0,0.79191,0.03714,0.056831
BA(k=4),12,7,3,0,0.896344,0.065334,0.08776
BA(k=4),12,8,1,0,0.817061,0.021433,0.04501
BA(k=4),12,8,3,0,0.904681,0.057172,0.057172
BA(k=4),12,9,1,0,0.783083,0.021268,0.044645
BA(k=4),12,9,3,0,0.863869,0.038325,0.038325
BA(k=4),12,10,1,0,0.79517,0.037551,0.05776
BA(k=4),12,10,3,0,0.884731,0.046765,0.074914
BA(k=4),14,1,1,1,0.840825,0.035996,0.056875
BA(k=4),14,1,3,1,0.929698,0.032104,0.059703
BA(k=4),14,2,1,0,0.81141,0.033789,0.053209
BA(k=4),14,2,3,0,0.898292,0.034011,0.054131
BA(k=4),14,3,1,0,0.806631,0.052235,0.068652
BA(k=4),14,3,3,0,0.88898,0.075173,0.075173
BA(k=4),14,4,1,0,0.83703,0.059042,0.072577
BA(k=4),14,4,3,0,0.922881,0.030874,0.056397
BA(k=4),14,5,1,0,0.837276,0.055169,0.073833
BA(k=4),14,5,3,0,0.920489,0.05341,0.076314
BA(k=4),14,6,1,0,0.801958,0.048055,0.064326
BA(k=4),14,6,3,0,0.901342,0.059048,0.059048
BA(k=4),14,7,1,0,0.831935,0.041063,0.058912
BA(k=4),14,7,3,0,0.917862,0.068986,0.068986
BA(k=4),14,8,1,0,0.830593,0.026383,0.045575
BA(k=4),14,8,3,0,0.908045,0.033976,0.068495
BA(k=4),14,9,1,0,0.78022,0.039364,0.055697
BA(k=4),14,9,3,0,0.869185,0.129004,0.129004
BA(k=4),14,10,1,0,0.789166,0.048228,0.05382
BA(k=4),14,10,3,0,0.888665,0.072709,0.072709
WS(k=4;b=0.1),12,1,1,1,0.833172,0.038759,0.047038
WS(k=4;b=0.1),12,1,3,1,0.907038,0.020827,0.071463
WS(k=4;b=0.1),12,2,1,0,0.827806,0.041019,0.049123
WS(k=4;b=0.1),12,2,3,0,0.904593,0.019401,0.071367
WS(k=4;b=0.1),12,3,1,0,0.832641,0.03806,0.046332
WS(k=4;b=0.1),12,3,3,0,0.924028,0.025681,0.041163
WS(k=4;b=0.1),12,4,1,0,0.877542,0.020136,0.03627
WS(k=4;b=0.1),12,4,3,0,0.956469,0.01672,0.019195
WS(k=4;b=0.1),12,5,1,0,0.786067,0.022752,0.045419
WS(k=4;b=0.1),12,5,3,0,0.865869,0.020049,0.06956
WS(k=4;b=0.1),12,6,1,0,0.825346,0.020367,0.035334
WS(k=4;b=0.1),12,6,3,0,0.893033,0.005074,0.009808
WS(k=4;b=0.1),12,7,1,0,0.873247,0.020249,0.035385
WS(k=4;b=0.1),12,7,3,0,0.945042,0.008588,0.023169
WS(k=4;b=0.1),12,8,1,0,0.83655,0.038245,0.066208
WS(k=4;b=0.1),12,8,3,0,0.923861,0.017912,0.050729
WS(k=4;b=0.1),12,9,1,0,0.789259,0.023068,0.046205
WS(k=4;b=0.1),12,9,3,0,0.871514,0.018319,0.047039
WS(k=4;b=0.1),12,10,1,0,0.873604,0.028184,0.054779
WS(k=4;b=0.1),12,10,3,0,0.943366,0.013915,0.031847
WS(k=4;b=0.1),14,1,1,1,0.838571,0.060517,0.069158
WS(k=4;b=0.1),14,1,3,1,0.926998,0.04076,0.077643
WS(k=4;b=0.1),14,2,1,0,0.800063,0.036037,0.044513
WS(k=4;b=0.1),14,2,3,0,0.898132,0.030163,0.030163
WS(k=4;b=0.1),14,3,1,0,0.86946,0.027458,0.062512
WS(k=4;b=0.1),14,3,3,0,0.935156,0.003244,0.033187
WS(k=4;b=0.1),14,4,1,0,0.793848,0.024624,0.048976
WS(k=4;b=0.1),14,4,3,0,0.88745,0.023256,0.041794
WS(k=4;b=0.1),14,5,1,0,0.835038,0.046115,0.073345
WS(k=4;b=0.1),14,5,3,0,0.918739,0.022293,0.073978
WS(k=4;b=0.1),14,6,1,0,0.831998,0.024795,0.058201
WS(k=4;b=0.1),14,6,3,0,0.90423,0.010797,0.070996
WS(k=4;b=0.1),14,7,1,0,0.828281,0.026478,0.05174
WS(k=4;b=0.1),14,7,3,0,0.90057,0.019695,0.067696
WS(k=4;b=0.1),14,8,1,0,0.762654,0.034077,0.050092
WS(k=4;b=0.1),14,8,3,0,0.854568,0.044258,0.044258
WS(k=4;b=0.1),14,9,1,0,0.831998,0.024795,0.049391
WS(k=4;b=0.1),14,9,3,0,0.914168,0.026738,0.026738
WS(k=4;b=0.1),14,10,1,0,0.804126,0.06051,0.06051
WS(k=4;b=0.1),14,10,3,0,0.900349,0.027758,0.046451
WS(k=4;b=0.5),12,1,1,1,0.845243,0.079965,0.108292
WS(k=4;b=0.5),12,1,3,1,0.935996,0.040321,0.078639
WS(k=4;b=0.5),12,2,1,0,0.832221,0.035157,0.067989
WS(k=4;b=0.5),12,2,3,0,0.914179,0.020849,0.072615
WS(k=4;b=0.5),12,3,1,0,0.764643,0.063349,0.071682
WS(k=4;b=0.5),12,3,3,0,0.875523,0.078579,0.078579
WS(k=4;b=0.5),12,4,1,0,0.787335,0.056736,0.064119
WS(k=4;b=0.5),12,4,3,0,0.875172,0.038183,0.086834
WS(k=4;b=0.5),12,5,1,0,0.795132,0.059059,0.085625
WS(k=4;b=0.5),12,5,3,0,0.906733,0.076903,0.076903
WS(k=4;b=0.5),12,6,1,0,0.836743,0.034638,0.06078
WS(k=4;b=0.5),12,6,3,0,0.915807,0.033935,0.053183
WS(k=4;b=0.5),12,7,1,0,0.765067,0.041638,0.067103
WS(k=4;b=0.5),12,7,3,0,0.882203,0.070439,0.070439
WS(k=4;b=0.5),12,8,1,0,0.792171,0.031784,0.055978
WS(k=4;b=0.5),12,8,3,0,0.883416,0.048506,0.048506
