family,n,instance,seed,m,gamma,beta,S,eta_exact,eta_sampled,relerr_eta,median_relerr_lambda
ER(0.5),14,7,20272018,50,0.2,0.15,5,2.563798046449034,2.415691905231823,0.057768255741650246,0.10960021967479
ER(0.5),14,7,20272018,50,0.2,0.15,10,2.563798046449034,2.516678477467955,0.018378814605285152,0.06610988695702158
ER(0.5),14,7,20272018,50,0.2,0.15,25,2.563798046449034,2.5949208219387665,0.012139324130010407,0.03134085313676764
ER(0.5),14,7,20272018,50,0.4,0.3,2,4.255723829742446,3.8325140469475847,0.09944484175338834,0.12877979929200148
ER(0.5),14,7,20272018,50,0.4,0.3,5,4.255723829742446,3.9651520281268606,0.06827788015397857,0.07333553962103558
ER(0.5),14,7,20272018,50,0.4,0.3,10,4.255723829742446,4.149765817874084,0.024897765011874406,0.04657500164267536
ER(0.5),14,7,20272018,50,0.4,0.3,25,4.255723829742446,4.297015563879284,0.009702634801689348,0.031302960573447634
ER(0.5),14,7,20272018,50,0.8,0.6,2,5.2279865021431755,4.891142902906227,0.06443084715288791,0.10862775937078438
ER(0.5),14,7,20272018,50,0.8,0.6,5,5.2279865021431755,5.074143370919189,0.029426841702999737,0.04564870820988573
ER(0.5),14,7,20272018,50,0.8,0.6,10,5.2279865021431755,5.461722567356438,0.04470862063577331,0.04595373774905965
ER(0.5),14,7,20272018,50,0.8,0.6,25,5.2279865021431755,5.261183345764605,0.006349833460323783,0.018115010223150686
ER(0.5),12,8,20271819,27,0.2,0.15,2,1.7853586321364554,1.794240469782561,0.0049748198968164875,0.21864918410876769
ER(0.5),12,8,20271819,27,0.2,0.15,5,1.7853586321364554,1.824617200800443,0.021989177948527235,0.05630824675372419
ER(0.5),12,8,20271819,27,0.2,0.15,10,1.7853586321364554,1.7086567679433489,0.04296160043840659,0.06560942028809826
ER(0.5),12,8,20271819,27,0.2,0.15,25,1.7853586321364554,1.8592648347617031,0.041395718089876216,0.0691338154796981
ER(0.5),12,8,20271819,27,0.2,0.15,0,1.7853586321364554,1.7853586321364543,6.218487449194476e-16,8.83398682245729e-16
ER(0.5),12,8,20271819,27,0.4,0.3,2,3.0717167871431026,2.823297425888397,0.08087313332221349,0.15425890079917481
ER(0.5),12,8,20271819,27,0.4,0.3,5,3.0717167871431026,3.214548212393193,0.04649889138475327,0.08318416269337095
ER(0.5),12,8,20271819,27,0.4,0.3,10,3.0717167871431026,3.0828574299539544,0.003626845696674183,0.050185903969373946
ER(0.5),12,8,20271819,27,0.4,0.3,25,3.0717167871431026,3.0265533845543096,0.014702983939739428,0.021901092077826076
ER(0.5),12,8,20271819,27,0.4,0.3,0,3.0717167871431026,3.071716787143105,7.228680907511246e-16,8.103257661376832e-16
ER(0.5),12,8,20271819,27,0.8,0.6,2,3.986085221195576,3.569258900821069,0.10457034841053535,0.07776892389148078
ER(0.5),12,8,20271819,27,0.8,0.6,5,3.986085221195576,3.8750028038118582,0.02786754703412993,0.07497238679137617
ER(0.5),12,8,20271819,27,0.8,0.6,10,3.986085221195576,3.9217305975713055,0.016144818801683405,0.03691032279933965
ER(0.5),12,8,20271819,27,0.8,0.6,25,3.986085221195576,3.980541851136529,0.0013906802668369933,0.028334124047305002
ER(0.5),12,8,20271819,27,0.8,0.6,0,3.986085221195576,3.9860852211955775,3.3422959009155124e-16,1.012116457584767e-15
ER(0.5),14,8,20272019,49,0.2,0.15,2,2.557205340570947,2.692078842349953,0.05274253875478474,0.14611769528205534
ER(0.5),14,8,20272019,49,0.2,0.15,5,2.557205340570947,2.5072450649750704,0.019537060557179253,0.10280412957158508
ER(0.5),14,8,20272019,49,0.2,0.15,10,2.557205340570947,2.56095068426269,0.0014646237563803656,0.07796896711066692
ER(0.5),14,8,20272019,49,0.2,0.15,25,2.557205340570947,2.624174152813872,0.026188281081867475,0.033911993870446244
ER(0.5),14,8,20272019,49,0.4,0.3,2,4.255501636154603,4.297187248554797,0.009795698830434995,0.1285042924822423
ER(0.5),14,8,20272019,49,0.4,0.3,5,4.255501636154603,4.197910458526724,0.013533346371808731,0.03964456700647291
ER(0.5),14,8,20272019,49,0.4,0.3,10,4.255501636154603,4.187141616706779,0.0160639156773057,0.0348630324146361
ER(0.5),14,8,20272019,49,0.4,0.3,25,4.255501636154603,4.418791510503864,0.03837147493070027,0.025002963649447135
ER(0.5),14,8,20272019,49,0.8,0.6,2,5.23686309423951,4.84486484316216,0.07485363738237567,0.08168966931171345
ER(0.5),14,8,20272019,49,0.8,0.6,5,5.23686309423951,5.178567760503988,0.011131727655749928,0.03709579840218662
ER(0.5),14,8,20272019,49,0.8,0.6,10,5.23686309423951,5.051245109652488,0.03544449821329108,0.052090822274454815
ER(0.5),14,8,20272019,49,0.8,0.6,25,5.23686309423951,5.204194071643814,0.0062382808196058855,0.01763746224205368
ER(0.5),12,9,20271820,20,0.2,0.15,2,1.5688042546300855,1.5653711265642252,0.002188372485431518,0.1284014841239228
ER(0.5),12,9,20271820,20,0.2,0.15,5,1.5688042546300855,1.6157280759273696,0.029910564787669038,0.08051933158719388
ER(0.5),12,9,20271820,20,0.2,0.15,10,1.5688042546300855,1.4763004490429394,0.05896453003243412,0.0875919121801585
