family,n,instance,seed,m,c_opt,ceil_p1,variant,mse_rel,ew_avg,ew_star_raw,ew_star_nrm,ar_raw,regret_raw,dgamma_raw,dbeta_raw,ar_nrm,regret_nrm,dgamma_nrm,dbeta_nrm,pred_raw,normw_raw,fit_obj,fit_params
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,exactN,0.0,0.0,0.0,0.0,0.7773322891016601,0.03287327727531075,0.0,0.0,0.7716888910430562,0.038516675333914674,0.0,0.0,19.060452072746152,0.9785374975329775,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:lowd:0.01,0.009999546736903607,0.8838748806078018,0.9848950976868428,0.7654293804929726,0.68,0.13020556637697078,-0.40276828892176836,-0.28193780224523785,0.7039687506462415,0.1062368157307293,0.3222146311374148,0.16110731556870733,5158.186773496482,303.80001923824454,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:lowd:0.05,0.049938803073446794,0.9944619097268774,0.9947166903006007,0.9504482556920244,0.68,0.13020556637697078,-0.40276828892176836,-0.28193780224523785,0.6271875780599646,0.18301798831700622,-0.6444292622748293,0.3222146311374147,117381.89176382573,6913.828200690402,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:lowd:0.2,0.1961341620268254,0.9996549025513156,0.9881220988104961,0.9743882062363283,0.68,0.13020556637697078,-0.40276828892176836,-0.28193780224523785,0.6801322437655588,0.13007332261141202,1.208304866765305,0.2013841444608842,1.8443609355004525e6,108634.7343702493,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:lowd:0.5,0.447299167434436,0.9999459508530745,0.9865034000750763,0.9783530159506949,0.68,0.13020556637697078,-0.40276828892176836,-0.28193780224523785,0.6793216070563531,0.1308839593206177,1.208304866765305,0.24166097335306097,1.1485298680976879e7,676497.4437630617,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:highd:0.01,0.004700449341859745,0.02266334825935186,0.0032296340913474677,0.010981798586165804,0.68,0.13020556637697078,-0.40276828892176836,0.5235987755982989,0.7716888910430562,0.038516675333914674,0.0,0.0,22.36056907565318,1.3155445915436785,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:highd:0.05,0.022703865769844463,0.11254286236868041,0.016183789068355152,0.05577381339021491,0.68,0.13020556637697078,-0.40276828892176836,0.5235987755982989,0.7785185565144442,0.031687009862526594,-0.08055365778435353,0.0,51.30649123755916,3.0196971529429875,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:highd:0.2,0.08037760022807065,0.41173044525979624,0.06517588671680966,0.23237778769888914,0.68,0.13020556637697078,-0.40276828892176836,0.5235987755982989,0.7858712686346814,0.024334297742289457,-0.08055365778435353,-0.04027682889217682,266.780652839629,15.708401540140484,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:highd:0.5,0.1624381824801145,0.7469170739662514,0.16396972851227773,0.5697782793462518,0.68,0.13020556637697078,-0.40276828892176836,0.5235987755982989,0.7951232297658088,0.015082336611161984,-0.16110731556870728,-0.12083048667653051,1204.2250715460323,70.91906849219379,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:nulled:0.01,0.004898100359904941,0.039596502431714094,0.000246070481482602,0.000902961412284512,0.68,0.13020556637697078,-0.40276828892176836,1.2888585245496587,0.7716888910430562,0.038516675333914674,0.0,0.0,25.66681525648392,1.510174832635971,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:nulled:0.05,0.02366793492181446,0.19533466460099957,0.0012300922826207143,0.004512921050214149,0.68,0.13020556637697078,-0.40276828892176836,1.2888585245496587,0.7716888910430562,0.038516675333914674,0.0,0.0,78.12468352750868,4.598763344938985,NaN,
ER(0.5),12,1,20271904,34,25.0,0.8102055663769708,pert:nulled:0.2,0.08388107697540108,0.6306296970124567,0.004916428851393787,0.018021365952444395,0.68,0.13020556637697078,-0.40276828892176836,1.2888585245496587,0.7716888910430562,0.038516675333914674,0.0,0.0,528.3578427863713,31.1133911061429,NaN,
