family,n,instance,seed,m,ar_uniform,ar_balanced,ceil_p1,ar_samp_p1,ar_exact_p1,ceil_p3,ar_samp_p3,ar_exact_p3,sum_leakage_p3,overlap_p3,distance_p3
BA(k=2),18,1,20292412,32,0.64,0.6776470588235294,0.7947586674710848,0.7609297499561893,0.755258864561422,0.8789417359168121,0.8197635431720041,0.7980569831501372,0.44771454900975666,0.9013129465298683,0.35411710705649135
BA(k=2),18,2,20292413,32,0.5925925925925926,0.6274509803921569,0.750109901527721,0.7044391001798526,0.7037657126645734,0.8580528248408429,0.7617483256570152,0.7485411059410793,0.4260476884396476,0.9508649252777054,0.18453715505405266
BA(k=2),18,3,20292414,32,0.64,0.6776470588235294,0.8133642507463206,0.7959362106386055,0.7627741621053409,0.8995425181290747,0.8451069129909247,0.8093990935211945,0.5949256031459611,0.8110158132654052,0.4995689517761604
BA(k=2),18,4,20292415,32,0.64,0.6776470588235294,0.8181202559275562,0.7787179714164421,0.7787179714164421,0.9071603025802577,0.8465306883661056,0.8133441148935089,0.4495597639121658,0.9183834219366271,0.2919151882704157
BA(k=2),18,5,20292416,32,0.5925925925925926,0.6274509803921569,0.7524477432763376,0.7129862750051124,0.7067936814817968,0.847429028796415,0.7727017024474536,0.751231296511987,0.46405030040095296,0.8855163627214481,0.390147837191816
BA(k=2),18,6,20292417,32,0.6153846153846154,0.6515837104072398,0.7724794400525478,0.7364091622692251,0.7307666398160294,0.8620131270301498,0.7624229193767468,0.7749741810369849,0.30718986644762697,0.939443875420717,0.29406271843948983
BA(k=2),18,7,20292418,32,0.5925925925925926,0.6274509803921569,0.7630189733544465,0.6962366399957203,0.7090359910907409,0.8584510016747982,0.7402723509435224,0.7562954994374443,0.4851086556698392,0.9293495453308109,0.24587428385029952
BA(k=2),18,8,20292419,32,0.5714285714285714,0.6050420168067226,0.7336131958732126,0.7069282431678446,0.6835980422307425,0.8457037693429701,0.752504200823938,0.729604227417432,0.4895659167140697,0.8723356470195892,0.4124722404452604
BA(k=2),18,9,20292420,32,0.5925925925925926,0.6274509803921569,0.7671114581488688,0.7128204070039433,0.7102378031734486,0.8805998417681522,0.78728681702404,0.7598276151779159,0.4533789907049871,0.9313052974163356,0.24761996068640318
BA(k=2),18,10,20292421,32,0.6153846153846154,0.6515837104072398,0.7764680626628283,0.746515842908564,0.7306051138995324,0.862373185619136,0.7953302873577399,0.7742573936548385,0.45037597413994124,0.8917781451967869,0.3791903500127321
BA(k=2),18,11,20292422,32,0.6153846153846154,0.6515837104072398,0.7861575743637338,0.7281419412164151,0.7341088150547734,0.8793038991214112,0.7693148344784438,0.781698087345138,0.45948399574866344,0.8678058397733897,0.43686172543778995
BA(k=2),18,12,20292423,32,0.64,0.6776470588235294,0.8063399482085777,0.7760609783976724,0.7596500556286696,0.887350621491278,0.8466187380543312,0.8041777407867923,0.6481722587687144,0.8120918048134631,0.47530294657653244
BA(k=2),18,13,20292424,32,0.6153846153846154,0.6515837104072398,0.7864620279159837,0.7355571481122067,0.7355571481122067,0.8860471977763174,0.7732468066780065,0.7837454031696729,0.2985584749486289,0.9455151518937944,0.27851715910884756
BA(k=2),18,14,20292425,32,0.5925925925925926,0.6274509803921569,0.7573535215323951,0.7017524055984867,0.7074927279489197,0.8550181559951051,0.7415911309447537,0.7535559314465134,0.30460609265838584,0.9401910982618945,0.2924700049570927
BA(k=2),18,15,20292426,32,0.6153846153846154,0.6515837104072398,0.7805587146225571,0.7350510296640144,0.7329286841182043,0.8679275313788425,0.7758075296932956,0.7768829860776546,0.30980027427176315,0.9479763636658118,0.24918244803198408
BA(k=2),18,16,20292427,32,0.5925925925925926,0.6274509803921569,0.7618993866213596,0.7028242513750477,0.7089446640488004,0.8530837549153952,0.7460298892922252,0.7565864900965165,0.28509902761538786,0.9505681569527805,0.26503956571430715
BA(k=2),18,17,20292428,32,0.64,0.6776470588235294,0.8065112025379284,0.7852069328014671,0.7606783872619587,0.8854264148148266,0.8230942290306028,0.8046993388249849,0.5603970275798024,0.8147463145495409,0.5083958500337281
BA(k=2),18,18,20292429,32,0.6153846153846154,0.6515837104072398,0.7692843109713328,0.7148678267515943,0.7285603294403257,0.8567849247046534,0.7416444172070435,0.7694676251263819,0.4377967195621897,0.9428280490749851,0.21120294942513226
BA(k=2),18,19,20292430,32,0.6153846153846154,0.6515837104072398,0.7918079107559747,0.7505692879013839,0.7367950897497964,0.8946470043719039,0.786815799416825,0.786815799416825,0.3117489793414151,0.9480338797807634,0.2625171717683487
BA(k=2),18,20,20292431,32,0.6153846153846154,0.6515837104072398,0.7931108626512261,0.7513462928160487,0.7513462928160487,0.8862632394279241,0.7848914290811345,0.7848914290811345,0.2951826787645908,0.9521700690120029,0.2534198215715476
