family,n,instance,seed,m,ar_uniform,ar_balanced,ceil_p1,ar_samp_p1,ar_exact_p1,ceil_p3,ar_samp_p3,ar_exact_p3,sum_leakage_p3,overlap_p3,distance_p3
BA(k=4),16,1,20302212,48,0.7058823529411765,0.7529411764705882,0.8267639883559195,0.7704229752379895,0.7884362296952726,0.9075058129929353,0.8180057649231843,0.8271926407685455,0.3533334377620706,0.9670081220765703,0.14732446286740017
BA(k=4),16,2,20302213,48,0.7058823529411765,0.7529411764705882,0.8286047957470553,0.7957017768109613,0.7884396652015854,0.9147897846628555,0.8241068865496066,0.8283081174138377,0.38204217102898275,0.9071028138988119,0.3676440592444451
BA(k=4),16,3,20302214,48,0.6666666666666666,0.7111111111111111,0.7845602529761833,0.7456720417209854,0.7456720417209854,0.8750329934666649,0.7845370309042798,0.785372116886815,0.3258008438401936,0.9754378856957079,0.11305031308014872
BA(k=4),16,4,20302215,48,0.6857142857142857,0.7314285714285714,0.8085390266373902,0.78017512104997,0.7698766798356353,0.8941602892816297,0.828452437529156,0.8068967691012385,0.45586035059150765,0.8959917005199515,0.3660251489794236
BA(k=4),16,5,20302216,48,0.7272727272727273,0.7757575757575758,0.8523625431880644,0.7987414312564649,0.8152468160845896,0.9293402971900713,0.8389456672052205,0.8519514161439153,0.33302813760487215,0.9717353370362019,0.13228666246867385
BA(k=4),16,6,20302217,48,0.7058823529411765,0.7529411764705882,0.8258691482937955,0.7881186978270409,0.7881186978270409,0.9100535427048585,0.829875032053575,0.8269403903163268,0.34044648513840087,0.9676544605984478,0.15432389207229041
BA(k=4),16,7,20302218,48,0.6486486486486487,0.6918918918918919,0.7612398660670411,0.7368108867916431,0.7246930035006063,0.8627682368926061,0.7629025969503982,0.7629025969503982,0.2993926552042534,0.9540031362287733,0.24054892042614234
BA(k=4),16,8,20302219,48,0.7058823529411765,0.7529411764705882,0.8232214843008,0.8106433414336787,0.7871643344114736,0.9029914146253133,0.8439820569117593,0.824920009616338,0.6166333786415997,0.7823204455360787,0.5467516023523735
BA(k=4),16,9,20302220,48,0.6486486486486487,0.6918918918918919,0.7659052791849015,0.7330028048961734,0.7289797592902791,0.8543705360610916,0.7775481833698137,0.7647806862467642,0.43583618032244664,0.8952485936926093,0.3770959577940611
BA(k=4),16,10,20302221,48,0.6857142857142857,0.7314285714285714,0.8034847143846615,0.7780138018129933,0.7654247105007581,0.8921180438557152,0.837292417935935,0.8038765879893067,0.6095328105696498,0.8366485200570382,0.43788822307650926
BA(k=4),16,11,20302222,48,0.6666666666666666,0.7111111111111111,0.7927922801454398,0.7517238785343356,0.7509491904864718,0.9051855263602094,0.8156773381362714,0.7916325449648222,0.44536465187118657,0.9268869663441696,0.2667654542647418
BA(k=4),16,12,20302223,48,0.7058823529411765,0.7529411764705882,0.8316425011318802,0.7893454638488449,0.7893454638488449,0.9186719323341502,0.8246066545069058,0.830829522746087,0.26820250049214917,0.9567145949476803,0.24695951077285355
BA(k=4),16,13,20302224,48,0.6857142857142857,0.7314285714285714,0.8011396947566688,0.7649376022176542,0.7649376022176542,0.8861955020360175,0.7969172595424434,0.8025348396703568,0.26901971754198256,0.9564287693618239,0.24779972053536692
BA(k=4),16,14,20302225,48,0.6666666666666666,0.7111111111111111,0.7810974317283567,0.7445107047184713,0.7445107047184713,0.8752310225007722,0.7734431493858415,0.7832889566810309,0.3837817485801984,0.9104345024701453,0.3536893990995075
BA(k=4),16,15,20302226,48,0.7058823529411765,0.7529411764705882,0.8272526199512608,0.8131669478066103,0.7913056469702973,0.9042619413809826,0.8562746602100195,0.826938324009621,0.6226987732038484,0.8065226520686264,0.4971513100121815
BA(k=4),16,16,20302227,48,0.6857142857142857,0.7314285714285714,0.8071813478255113,0.7733963574205427,0.7663588103057849,0.9074341170738562,0.8009210928848948,0.8073736286637248,0.28063846345025706,0.9529411762466493,0.2571109608830748
BA(k=4),16,17,20302228,48,0.6857142857142857,0.7314285714285714,0.8038479697659366,0.7787699432686152,0.7659891176424724,0.8920856470421462,0.8248716287448169,0.8045197443317383,0.4631461144885292,0.8928894342314477,0.3711845327424871
BA(k=4),16,18,20302229,48,0.6486486486486487,0.6918918918918919,0.7722965824721215,0.7519245426943789,0.7310043504575839,0.879010298548319,0.7950569331544398,0.7709535293087783,0.4831486302156512,0.8867725415433313,0.3794002689381896
BA(k=4),16,19,20302230,48,0.6857142857142857,0.7314285714285714,0.8052817366909485,0.7536551274470652,0.766209069232966,0.8909122602995618,0.7941509008582013,0.8056991574411626,0.3287785565096729,0.9732132554641633,0.1266928266839951
BA(k=4),16,20,20302231,48,0.6666666666666666,0.7111111111111111,0.7770812904083718,0.7310128088971961,0.7434657376960934,0.8739025764812136,0.7524735173065531,0.7800273735776124,0.2236757097410548,0.9879165765402153,0.07990176336378292
