family,n,inst,p,ceiling,kind,regret_raw,regret_norm
BA(k=2),12,5,3,0.865165,samp10,0.073429,0.01859
BA(k=2),12,5,3,0.865165,poly,0.123717,0.01859
BA(k=4),12,1,1,0.758882,exact,0.029192,0.019228
BA(k=4),12,1,1,0.758882,samp10,0.039051,0.019228
BA(k=4),12,1,1,0.758882,poly,0.02473,0.019228
BA(k=4),12,1,3,0.854515,exact,0.079804,0.13334
BA(k=4),12,1,3,0.854515,samp10,0.11654,0.047043
BA(k=4),12,1,3,0.854515,poly,0.190503,0.018062
BA(k=4),12,2,1,0.780236,exact,0.023842,0.025845
BA(k=4),12,2,1,0.780236,samp10,0.033707,0.011562
BA(k=4),12,2,1,0.780236,poly,0.036826,0.007396
BA(k=4),12,2,3,0.877347,exact,0.078389,0.061872
BA(k=4),12,2,3,0.877347,samp10,0.102238,0.019237
BA(k=4),12,2,3,0.877347,poly,0.077708,0.030983
BA(k=4),12,3,1,0.784795,exact,0.026782,0.025119
BA(k=4),12,3,1,0.784795,samp10,0.026782,0.010343
BA(k=4),12,3,1,0.784795,poly,0.024434,0.002445
BA(k=4),12,3,3,0.870328,exact,0.070034,0.039282
BA(k=4),12,3,3,0.870328,samp10,0.07428,0.021732
BA(k=4),12,3,3,0.870328,poly,0.067496,0.020866
BA(k=4),12,4,1,0.790761,exact,0.030306,0.033209
BA(k=4),12,4,1,0.790761,samp10,0.019511,0.033209
BA(k=4),12,4,1,0.790761,poly,0.046884,0.003155
BA(k=4),12,4,3,0.891425,exact,0.080721,0.054869
BA(k=4),12,4,3,0.891425,samp10,0.045101,0.03164
BA(k=4),12,4,3,0.891425,poly,0.1704,0.021132
BA(k=4),12,5,1,0.797834,exact,0.031616,0.020233
BA(k=4),12,5,1,0.797834,samp10,0.035023,0.020233
BA(k=4),12,5,1,0.797834,poly,0.058675,0.014383
BA(k=4),12,5,3,0.897432,exact,0.082947,0.052855
BA(k=4),12,5,3,0.897432,samp10,0.112614,0.053157
BA(k=4),12,5,3,0.897432,poly,0.1607,0.041633
WS(k=4;b=0.1),12,1,1,0.833172,exact,0.028676,0.038759
WS(k=4;b=0.1),12,1,1,0.833172,samp10,0.010089,0.016312
WS(k=4;b=0.1),12,1,1,0.833172,poly,0.038478,0.02336
WS(k=4;b=0.1),12,1,3,0.907038,exact,0.055503,0.020827
WS(k=4;b=0.1),12,1,3,0.907038,samp10,0.045379,0.020827
WS(k=4;b=0.1),12,1,3,0.907038,poly,0.125168,0.005137
WS(k=4;b=0.1),12,2,1,0.827806,exact,0.025795,0.041019
WS(k=4;b=0.1),12,2,1,0.827806,samp10,0.015885,0.001267
WS(k=4;b=0.1),12,2,1,0.827806,poly,0.048627,0.004273
WS(k=4;b=0.1),12,2,3,0.904593,exact,0.056546,0.019401
WS(k=4;b=0.1),12,2,3,0.904593,samp10,0.045617,0.009153
WS(k=4;b=0.1),12,2,3,0.904593,poly,0.246757,0.018232
WS(k=4;b=0.1),12,3,1,0.832641,exact,0.028427,0.03806
WS(k=4;b=0.1),12,3,1,0.832641,samp10,0.033712,0.010121
WS(k=4;b=0.1),12,3,1,0.832641,poly,0.187927,0.007855
WS(k=4;b=0.1),12,3,3,0.924028,exact,0.069955,0.025681
WS(k=4;b=0.1),12,3,3,0.924028,samp10,0.09793,0.006401
WS(k=4;b=0.1),12,3,3,0.924028,poly,0.298665,0.024463
WS(k=4;b=0.1),12,4,1,0.877542,exact,0.027782,0.020136
WS(k=4;b=0.1),12,4,1,0.877542,samp10,0.003718,0.004608
WS(k=4;b=0.1),12,4,1,0.877542,poly,0.172452,0.004608
WS(k=4;b=0.1),12,4,3,0.956469,exact,0.059451,0.01672
WS(k=4;b=0.1),12,4,3,0.956469,samp10,0.049773,0.01672
WS(k=4;b=0.1),12,4,3,0.956469,poly,0.278066,0.01672
WS(k=4;b=0.1),12,5,1,0.786067,exact,0.025693,0.022752
WS(k=4;b=0.1),12,5,1,0.786067,samp10,0.0206,0.016229
WS(k=4;b=0.1),12,5,1,0.786067,poly,0.079679,0.003545
WS(k=4;b=0.1),12,5,3,0.865869,exact,0.061368,0.020049
WS(k=4;b=0.1),12,5,3,0.865869,samp10,0.064887,0.017132
WS(k=4;b=0.1),12,5,3,0.865869,poly,0.201565,0.025028
WS(k=4;b=0.5),12,1,1,0.845243,exact,0.035189,0.079965
WS(k=4;b=0.5),12,1,1,0.845243,samp10,0.023408,0.055869
WS(k=4;b=0.5),12,1,1,0.845243,poly,0.021264,0.033304
WS(k=4;b=0.5),12,1,3,0.935996,exact,0.071062,0.040321
WS(k=4;b=0.5),12,1,3,0.935996,samp10,0.064418,0.013061
WS(k=4;b=0.5),12,1,3,0.935996,poly,0.043011,0.021302
WS(k=4;b=0.5),12,2,1,0.832221,exact,0.028295,0.035157
