family,n,inst,m,t_enum_s,t_poly_s,classes_missed
ER(0.5),10,1,25,0.589,0.415,0
ER(0.5),10,2,23,0.001,0.103,0
ER(0.25),10,1,10,0.001,0.072,0
ER(0.25),10,2,9,0.001,0.071,0
BA(k=2),10,1,16,0.001,0.083,0
BA(k=2),10,2,16,0.001,0.086,0
BA(k=4),10,1,24,0.001,0.109,0
BA(k=4),10,2,24,0.001,0.113,0
WS(k=4;b=0.1),10,1,20,0.001,0.086,0
WS(k=4;b=0.1),10,2,20,0.001,0.089,0
WS(k=4;b=0.5),10,1,20,0.001,0.098,0
WS(k=4;b=0.5),10,2,20,0.001,0.096,0
3-regular,10,1,15,0.001,0.072,0
3-regular,10,2,15,0.001,0.072,0
