family,n,inst,part,p,ceiling,kind,t_est_s,classes_missed,regret_raw,regret_norm
WS(k=4;b=0.1),10,2,A,1,0.886197,samp10,0.001,0,0.009332,0.0
WS(k=4;b=0.1),10,2,A,1,0.886197,poly_S3_K50,0.066,0,0.168766,0.0
WS(k=4;b=0.1),10,2,A,1,0.886197,poly_S10_K200,0.086,0,0.009332,0.024177
WS(k=4;b=0.1),10,2,A,3,0.944976,exact,0.002,0,0.024764,0.001946
WS(k=4;b=0.1),10,2,A,3,0.944976,samp10,0.001,0,0.054451,0.001946
WS(k=4;b=0.1),10,2,A,3,0.944976,poly_S3_K50,0.066,0,0.284402,0.00124
WS(k=4;b=0.1),10,2,A,3,0.944976,poly_S10_K200,0.086,0,0.033432,0.001946
WS(k=4;b=0.5),10,1,A,1,0.776434,exact,0.002,0,0.010133,0.017011
WS(k=4;b=0.5),10,1,A,1,0.776434,samp10,0.001,0,0.010133,0.017011
WS(k=4;b=0.5),10,1,A,1,0.776434,poly_S3_K50,0.071,0,0.151434,0.0
WS(k=4;b=0.5),10,1,A,1,0.776434,poly_S10_K200,0.1,0,0.048971,0.017011
WS(k=4;b=0.5),10,1,A,3,0.88418,exact,0.002,0,0.060252,0.029669
WS(k=4;b=0.5),10,1,A,3,0.88418,samp10,0.001,0,0.078147,0.029669
WS(k=4;b=0.5),10,1,A,3,0.88418,poly_S3_K50,0.071,0,0.335385,0.088423
WS(k=4;b=0.5),10,1,A,3,0.88418,poly_S10_K200,0.1,0,0.078147,0.0
WS(k=4;b=0.5),10,2,A,1,0.780224,exact,0.003,0,0.009582,0.022039
WS(k=4;b=0.5),10,2,A,1,0.780224,samp10,0.001,0,0.062102,0.022039
WS(k=4;b=0.5),10,2,A,1,0.780224,poly_S3_K50,0.069,0,0.19154,0.0
WS(k=4;b=0.5),10,2,A,1,0.780224,poly_S10_K200,0.098,0,0.009582,0.0
WS(k=4;b=0.5),10,2,A,3,0.880692,exact,0.003,0,0.062084,0.053498
WS(k=4;b=0.5),10,2,A,3,0.880692,samp10,0.001,0,0.062084,0.008452
WS(k=4;b=0.5),10,2,A,3,0.880692,poly_S3_K50,0.069,0,0.176892,0.030175
WS(k=4;b=0.5),10,2,A,3,0.880692,poly_S10_K200,0.098,0,0.075861,0.008452
3-regular,10,1,A,1,0.817079,exact,0.003,0,0.027529,0.009998
3-regular,10,1,A,1,0.817079,samp10,0.001,0,0.027529,0.009998
3-regular,10,1,A,1,0.817079,poly_S3_K50,0.057,0,0.229022,0.0
3-regular,10,1,A,1,0.817079,poly_S10_K200,0.072,0,0.027529,0.009998
3-regular,10,1,A,3,0.890044,exact,0.003,0,0.060921,0.021196
3-regular,10,1,A,3,0.890044,samp10,0.001,0,0.060921,0.055882
3-regular,10,1,A,3,0.890044,poly_S3_K50,0.057,0,0.35125,0.072986
3-regular,10,1,A,3,0.890044,poly_S10_K200,0.072,0,0.048301,0.021196
3-regular,10,2,A,1,0.772105,exact,0.002,0,0.03344,0.003989
3-regular,10,2,A,1,0.772105,samp10,0.001,0,0.03344,0.079008
3-regular,10,2,A,1,0.772105,poly_S3_K50,0.058,0,0.186993,0.003989
3-regular,10,2,A,1,0.772105,poly_S10_K200,0.077,0,0.03344,0.003989
3-regular,10,2,A,3,0.887694,exact,0.002,0,0.09335,0.035331
3-regular,10,2,A,3,0.887694,samp10,0.001,0,0.107359,0.0
3-regular,10,2,A,3,0.887694,poly_S3_K50,0.058,0,0.338853,0.121399
3-regular,10,2,A,3,0.887694,poly_S10_K200,0.077,0,0.096951,0.035331
ER(0.5),12,1,B,1,0.842806,exact,0.032,0,0.022172,0.014026
ER(0.5),12,1,B,1,0.842806,samp10,0.006,0,0.022172,0.014026
ER(0.5),12,1,B,1,0.842806,poly_S10_K200,0.177,0,0.016079,0.014026
ER(0.5),12,1,B,3,0.907526,exact,0.032,0,0.052944,0.019415
ER(0.5),12,1,B,3,0.907526,samp10,0.006,0,0.056126,0.019415
ER(0.5),12,1,B,3,0.907526,poly_S10_K200,0.177,0,0.031231,0.021801
ER(0.5),12,2,B,1,0.834427,exact,0.032,0,0.030107,0.011311
ER(0.5),12,2,B,1,0.834427,samp10,0.071,0,0.030107,0.011311
ER(0.5),12,2,B,1,0.834427,poly_S10_K200,0.178,0,0.059439,0.011311
ER(0.5),12,2,B,3,0.918077,exact,0.032,0,0.075159,0.007132
ER(0.5),12,2,B,3,0.918077,samp10,0.071,0,0.075159,0.007132
ER(0.5),12,2,B,3,0.918077,poly_S10_K200,0.178,0,0.158423,0.034971
ER(0.25),12,1,B,1,0.760727,exact,0.02,0,0.02994,0.074448
ER(0.25),12,1,B,1,0.760727,samp10,0.003,0,0.02994,0.016479
ER(0.25),12,1,B,1,0.760727,poly_S10_K200,0.111,0,0.060782,0.0
ER(0.25),12,1,B,3,0.852162,exact,0.02,0,0.067001,0.021456
ER(0.25),12,1,B,3,0.852162,samp10,0.003,0,0.073574,0.021456
ER(0.25),12,1,B,3,0.852162,poly_S10_K200,0.111,0,0.211411,0.00963
ER(0.25),12,2,B,1,0.798845,exact,0.019,0,0.028869,0.09858
ER(0.25),12,2,B,1,0.798845,samp10,0.004,0,0.028869,0.005673
ER(0.25),12,2,B,1,0.798845,poly_S10_K200,0.112,0,0.059575,0.005673
ER(0.25),12,2,B,3,0.889275,exact,0.019,0,0.061399,0.039706
ER(0.25),12,2,B,3,0.889275,samp10,0.004,0,0.061399,0.019125
ER(0.25),12,2,B,3,0.889275,poly_S10_K200,0.112,0,0.037036,0.119496
BA(k=2),12,1,B,1,0.755192,exact,0.023,0,0.019425,0.063289
BA(k=2),12,1,B,1,0.755192,samp10,0.004,0,0.019425,0.009252
BA(k=2),12,1,B,1,0.755192,poly_S10_K200,0.134,0,0.019425,0.009252
BA(k=2),12,1,B,3,0.858768,exact,0.023,0,0.065387,0.050908
BA(k=2),12,1,B,3,0.858768,samp10,0.004,0,0.082448,0.029576
BA(k=2),12,1,B,3,0.858768,poly_S10_K200,0.134,0,0.086111,0.069051
BA(k=2),12,2,B,1,0.852466,exact,0.024,0,0.020074,0.013843
BA(k=2),12,2,B,1,0.852466,samp10,0.004,0,0.020074,0.013843
BA(k=2),12,2,B,1,0.852466,poly_S10_K200,0.12,0,0.0,0.013843
BA(k=2),12,2,B,3,0.908862,exact,0.024,0,0.039229,0.021768
BA(k=2),12,2,B,3,0.908862,samp10,0.004,0,0.030841,0.002139
BA(k=2),12,2,B,3,0.908862,poly_S10_K200,0.12,0,0.147494,0.021768
BA(k=4),12,1,B,1,0.755427,exact,0.027,0,0.03092,0.004683
BA(k=4),12,1,B,1,0.755427,samp10,0.004,0,0.03092,0.004683
BA(k=4),12,1,B,1,0.755427,poly_S10_K200,0.161,0,0.03092,0.004683
BA(k=4),12,1,B,3,0.839777,exact,0.027,0,0.081126,0.067779
BA(k=4),12,1,B,3,0.839777,samp10,0.004,0,0.095356,0.003387
BA(k=4),12,1,B,3,0.839777,poly_S10_K200,0.161,0,0.261097,0.003319
BA(k=4),12,2,B,1,0.776403,exact,0.02,0,0.025588,0.027616
BA(k=4),12,2,B,1,0.776403,samp10,0.004,0,0.025588,0.006636
BA(k=4),12,2,B,1,0.776403,poly_S10_K200,0.171,0,0.019043,0.006636
BA(k=4),12,2,B,3,0.865658,exact,0.02,0,0.081008,0.111122
BA(k=4),12,2,B,3,0.865658,samp10,0.004,0,0.081008,0.030921
BA(k=4),12,2,B,3,0.865658,poly_S10_K200,0.171,0,0.170045,0.050873
WS(k=4;b=0.1),12,1,B,1,0.831641,exact,0.02,0,0.01029,0.022967
WS(k=4;b=0.1),12,1,B,1,0.831641,samp10,0.003,0,0.01029,0.022967
WS(k=4;b=0.1),12,1,B,1,0.831641,poly_S10_K200,0.12,0,0.01029,0.0
WS(k=4;b=0.1),12,1,B,3,0.891618,exact,0.02,0,0.038457,0.036276
WS(k=4;b=0.1),12,1,B,3,0.891618,samp10,0.003,0,0.030324,0.036276
WS(k=4;b=0.1),12,1,B,3,0.891618,poly_S10_K200,0.12,0,0.030133,0.019203
WS(k=4;b=0.1),12,2,B,1,0.825393,exact,0.02,0,0.007933,0.02355
WS(k=4;b=0.1),12,2,B,1,0.825393,samp10,0.004,0,0.007933,0.0
WS(k=4;b=0.1),12,2,B,1,0.825393,poly_S10_K200,0.132,0,0.057351,0.0
WS(k=4;b=0.1),12,2,B,3,0.889734,exact,0.02,0,0.040484,0.014358
WS(k=4;b=0.1),12,2,B,3,0.889734,samp10,0.004,0,0.040484,0.014358
WS(k=4;b=0.1),12,2,B,3,0.889734,poly_S10_K200,0.132,0,0.182011,0.029027
WS(k=4;b=0.5),12,1,B,1,0.845087,exact,0.033,0,0.014924,0.098355
WS(k=4;b=0.5),12,1,B,1,0.845087,samp10,0.004,0,0.014924,0.069266
WS(k=4;b=0.5),12,1,B,1,0.845087,poly_S10_K200,0.133,0,0.156582,0.0
WS(k=4;b=0.5),12,1,B,3,0.919628,exact,0.033,0,0.038112,0.021587
WS(k=4;b=0.5),12,1,B,3,0.919628,samp10,0.004,0,0.038112,0.009522
WS(k=4;b=0.5),12,1,B,3,0.919628,poly_S10_K200,0.133,0,0.270873,0.009522
WS(k=4;b=0.5),12,2,B,1,0.831096,exact,0.03,0,0.010472,0.021435
WS(k=4;b=0.5),12,2,B,1,0.831096,samp10,0.004,0,0.010472,0.0
WS(k=4;b=0.5),12,2,B,1,0.831096,poly_S10_K200,0.134,0,0.170609,0.021435
WS(k=4;b=0.5),12,2,B,3,0.898988,exact,0.03,0,0.035136,0.014997
WS(k=4;b=0.5),12,2,B,3,0.898988,samp10,0.004,0,0.045026,0.014997
WS(k=4;b=0.5),12,2,B,3,0.898988,poly_S10_K200,0.134,0,0.319934,0.014997
3-regular,12,1,B,1,0.771453,exact,0.026,0,0.041653,0.054768
3-regular,12,1,B,1,0.771453,samp10,0.003,0,0.041653,0.054768
3-regular,12,1,B,1,0.771453,poly_S10_K200,0.108,0,0.061832,0.0
3-regular,12,1,B,3,0.912009,exact,0.026,0,0.112645,0.049561
3-regular,12,1,B,3,0.912009,samp10,0.003,0,0.130492,0.006024
3-regular,12,1,B,3,0.912009,poly_S10_K200,0.108,0,0.252294,0.062412
3-regular,12,2,B,1,0.755707,exact,0.026,0,0.033909,0.003037
3-regular,12,2,B,1,0.755707,samp10,0.003,0,0.033909,0.003037
3-regular,12,2,B,1,0.755707,poly_S10_K200,0.1,0,0.033909,0.003037
3-regular,12,2,B,3,0.850927,exact,0.026,0,0.086925,0.071498
3-regular,12,2,B,3,0.850927,samp10,0.003,0,0.088519,0.071498
3-regular,12,2,B,3,0.850927,poly_S10_K200,0.1,0,0.195002,0.042728
