family,n,inst,part,p,ceiling,kind,t_est_s,classes_missed,regret_raw,regret_norm
ER(0.5),12,5,A,3,0.931342,exact,0.022,0,0.055988,0.024356
ER(0.5),12,5,A,3,0.931342,samp10,0.004,0,0.059894,0.010273
ER(0.5),12,5,A,3,0.931342,poly_S3_K50,0.157,0,0.238852,0.018506
ER(0.5),12,5,A,3,0.931342,poly_S10_K50,0.226,0,0.268523,0.016195
ER(0.5),12,5,A,3,0.931342,poly_S10_K200,0.229,0,0.177472,0.029747
ER(0.5),12,5,A,3,0.931342,poly_S10_K800,0.245,0,0.162122,0.02517
ER(0.5),12,5,A,3,0.931342,poly_S30_K200,0.451,0,0.126773,0.024356
ER(0.25),12,1,A,1,0.763325,exact,0.023,0,0.031585,0.062813
ER(0.25),12,1,A,1,0.763325,samp10,0.004,0,0.053109,0.018503
ER(0.25),12,1,A,1,0.763325,poly_S3_K50,0.112,0,0.199144,0.010679
ER(0.25),12,1,A,1,0.763325,poly_S10_K50,0.139,0,0.122329,0.006431
ER(0.25),12,1,A,1,0.763325,poly_S10_K200,0.144,0,0.042425,0.031571
ER(0.25),12,1,A,1,0.763325,poly_S10_K800,0.145,0,0.038981,0.058226
ER(0.25),12,1,A,1,0.763325,poly_S30_K200,0.239,0,0.028633,0.018503
ER(0.25),12,1,A,3,0.86719,exact,0.023,0,0.079051,0.03499
ER(0.25),12,1,A,3,0.86719,samp10,0.004,0,0.107852,0.023401
ER(0.25),12,1,A,3,0.86719,poly_S3_K50,0.112,0,0.354869,0.035107
ER(0.25),12,1,A,3,0.86719,poly_S10_K50,0.139,0,0.274305,0.056899
ER(0.25),12,1,A,3,0.86719,poly_S10_K200,0.144,0,0.26292,0.036632
ER(0.25),12,1,A,3,0.86719,poly_S10_K800,0.145,0,0.110213,0.045386
ER(0.25),12,1,A,3,0.86719,poly_S30_K200,0.239,0,0.074996,0.036632
ER(0.25),12,2,A,1,0.800817,exact,0.019,0,0.030093,0.119521
ER(0.25),12,2,A,1,0.800817,samp10,0.004,0,0.020778,0.012585
ER(0.25),12,2,A,1,0.800817,poly_S3_K50,0.092,0,0.154021,0.022159
ER(0.25),12,2,A,1,0.800817,poly_S10_K50,0.138,0,0.153461,0.0
ER(0.25),12,2,A,1,0.800817,poly_S10_K200,0.14,0,0.020778,0.033126
ER(0.25),12,2,A,1,0.800817,poly_S10_K800,0.149,0,0.051543,0.043252
ER(0.25),12,2,A,1,0.800817,poly_S30_K200,0.237,0,0.067272,0.025348
ER(0.25),12,2,A,3,0.902946,exact,0.019,0,0.068025,0.057341
ER(0.25),12,2,A,3,0.902946,samp10,0.004,0,0.068025,0.028579
ER(0.25),12,2,A,3,0.902946,poly_S3_K50,0.092,0,0.317591,0.024901
ER(0.25),12,2,A,3,0.902946,poly_S10_K50,0.138,0,0.219055,0.034849
ER(0.25),12,2,A,3,0.902946,poly_S10_K200,0.14,0,0.075948,0.08962
ER(0.25),12,2,A,3,0.902946,poly_S10_K800,0.149,0,0.089844,0.008582
ER(0.25),12,2,A,3,0.902946,poly_S30_K200,0.237,0,0.05813,0.029635
ER(0.25),12,3,A,1,0.74323,exact,0.03,0,0.037767,0.083595
ER(0.25),12,3,A,1,0.74323,samp10,0.003,0,0.020874,0.042575
ER(0.25),12,3,A,1,0.74323,poly_S3_K50,0.109,0,0.215649,0.008031
ER(0.25),12,3,A,1,0.74323,poly_S10_K50,0.137,0,0.047216,0.008837
ER(0.25),12,3,A,1,0.74323,poly_S10_K200,0.14,0,0.064459,0.031255
ER(0.25),12,3,A,1,0.74323,poly_S10_K800,0.15,0,0.043533,0.006739
ER(0.25),12,3,A,1,0.74323,poly_S30_K200,0.247,0,0.106791,0.042575
ER(0.25),12,3,A,3,0.888638,exact,0.03,0,0.101721,0.053773
ER(0.25),12,3,A,3,0.888638,samp10,0.003,0,0.104244,0.044553
ER(0.25),12,3,A,3,0.888638,poly_S3_K50,0.109,0,0.298934,0.056737
ER(0.25),12,3,A,3,0.888638,poly_S10_K50,0.137,0,0.354986,0.060672
ER(0.25),12,3,A,3,0.888638,poly_S10_K200,0.14,0,0.144897,0.068683
ER(0.25),12,3,A,3,0.888638,poly_S10_K800,0.15,0,0.136824,0.018588
ER(0.25),12,3,A,3,0.888638,poly_S30_K200,0.247,0,0.217567,0.045449
ER(0.25),12,4,A,1,0.769267,exact,0.02,0,0.030199,0.060661
ER(0.25),12,4,A,1,0.769267,samp10,0.003,0,0.073651,0.006494
ER(0.25),12,4,A,1,0.769267,poly_S3_K50,0.081,0,0.178424,0.012056
ER(0.25),12,4,A,1,0.769267,poly_S10_K50,0.108,0,0.19783,0.025459
ER(0.25),12,4,A,1,0.769267,poly_S10_K200,0.109,0,0.052786,0.016253
ER(0.25),12,4,A,1,0.769267,poly_S10_K800,0.112,0,0.030255,0.045124
ER(0.25),12,4,A,1,0.769267,poly_S30_K200,0.175,0,0.130534,0.060661
ER(0.25),12,4,A,3,0.856305,exact,0.02,0,0.052678,0.021567
ER(0.25),12,4,A,3,0.856305,samp10,0.003,0,0.08076,0.001185
ER(0.25),12,4,A,3,0.856305,poly_S3_K50,0.081,0,0.393324,0.02681
ER(0.25),12,4,A,3,0.856305,poly_S10_K50,0.108,0,0.321282,0.08675
ER(0.25),12,4,A,3,0.856305,poly_S10_K200,0.109,0,0.024657,0.058847
ER(0.25),12,4,A,3,0.856305,poly_S10_K800,0.112,0,0.033673,0.021567
ER(0.25),12,4,A,3,0.856305,poly_S30_K200,0.175,0,0.244696,0.012291
ER(0.25),12,5,A,1,0.793687,exact,0.027,0,0.030412,0.061494
ER(0.25),12,5,A,1,0.793687,samp10,0.003,0,0.037328,0.028952
ER(0.25),12,5,A,1,0.793687,poly_S3_K50,0.089,0,0.257563,0.042974
ER(0.25),12,5,A,1,0.793687,poly_S10_K50,0.111,0,0.196313,0.002809
ER(0.25),12,5,A,1,0.793687,poly_S10_K200,0.117,0,0.067133,0.052769
ER(0.25),12,5,A,1,0.793687,poly_S10_K800,0.124,0,0.057629,0.052769
ER(0.25),12,5,A,1,0.793687,poly_S30_K200,0.19,0,0.039985,0.033695
ER(0.25),12,5,A,3,0.879597,exact,0.027,0,0.046055,0.013204
ER(0.25),12,5,A,3,0.879597,samp10,0.003,0,0.085681,0.002425
ER(0.25),12,5,A,3,0.879597,poly_S3_K50,0.089,0,0.311881,0.036181
ER(0.25),12,5,A,3,0.879597,poly_S10_K50,0.111,0,0.287004,0.002425
ER(0.25),12,5,A,3,0.879597,poly_S10_K200,0.117,0,0.241873,0.003595
ER(0.25),12,5,A,3,0.879597,poly_S10_K800,0.124,0,0.070493,0.013204
ER(0.25),12,5,A,3,0.879597,poly_S30_K200,0.19,0,0.067322,0.024109
BA(k=2),12,1,A,1,0.755404,exact,0.02,0,0.027973,0.05317
BA(k=2),12,1,A,1,0.755404,samp10,0.016,0,0.038986,0.014674
BA(k=2),12,1,A,1,0.755404,poly_S3_K50,0.121,0,0.177319,0.010809
BA(k=2),12,1,A,1,0.755404,poly_S10_K50,0.155,0,0.161373,0.004086
BA(k=2),12,1,A,1,0.755404,poly_S10_K200,0.156,0,0.01857,0.012417
BA(k=2),12,1,A,1,0.755404,poly_S10_K800,0.166,0,0.019016,0.031859
BA(k=2),12,1,A,1,0.755404,poly_S30_K200,0.279,0,0.051125,0.025868
BA(k=2),12,1,A,3,0.868111,exact,0.02,0,0.094387,0.091319
BA(k=2),12,1,A,3,0.868111,samp10,0.016,0,0.107149,0.030949
BA(k=2),12,1,A,3,0.868111,poly_S3_K50,0.121,0,0.340687,0.055851
BA(k=2),12,1,A,3,0.868111,poly_S10_K50,0.155,0,0.244758,0.029099
BA(k=2),12,1,A,3,0.868111,poly_S10_K200,0.156,0,0.253967,0.04183
BA(k=2),12,1,A,3,0.868111,poly_S10_K800,0.166,0,0.058226,0.019151
BA(k=2),12,1,A,3,0.868111,poly_S30_K200,0.279,0,0.062421,0.039497
BA(k=2),12,2,A,1,0.852018,exact,0.019,0,0.028384,0.030279
BA(k=2),12,2,A,1,0.852018,samp10,0.004,0,0.01835,0.017713
BA(k=2),12,2,A,1,0.852018,poly_S3_K50,0.1,0,0.18445,0.007468
BA(k=2),12,2,A,1,0.852018,poly_S10_K50,0.132,0,0.18562,0.001186
BA(k=2),12,2,A,1,0.852018,poly_S10_K200,0.144,0,0.158247,0.018178
BA(k=2),12,2,A,1,0.852018,poly_S10_K800,0.146,0,0.013059,0.007042
BA(k=2),12,2,A,1,0.852018,poly_S30_K200,0.232,0,0.009149,0.017713
BA(k=2),12,2,A,3,0.927055,exact,0.019,0,0.060904,0.010004
BA(k=2),12,2,A,3,0.927055,samp10,0.004,0,0.046824,0.005052
BA(k=2),12,2,A,3,0.927055,poly_S3_K50,0.1,0,0.380473,0.031348
BA(k=2),12,2,A,3,0.927055,poly_S10_K50,0.132,0,0.126829,0.017644
BA(k=2),12,2,A,3,0.927055,poly_S10_K200,0.144,0,0.192694,0.005052
BA(k=2),12,2,A,3,0.927055,poly_S10_K800,0.146,0,0.008191,0.010004
BA(k=2),12,2,A,3,0.927055,poly_S30_K200,0.232,0,0.043831,0.021763
BA(k=2),12,3,A,1,0.845851,exact,0.03,0,0.026094,0.044838
BA(k=2),12,3,A,1,0.845851,samp10,0.004,0,0.037199,0.02423
BA(k=2),12,3,A,1,0.845851,poly_S3_K50,0.115,0,0.267215,0.024303
BA(k=2),12,3,A,1,0.845851,poly_S10_K50,0.144,0,0.175196,0.001756
BA(k=2),12,3,A,1,0.845851,poly_S10_K200,0.157,0,0.109108,0.02036
BA(k=2),12,3,A,1,0.845851,poly_S10_K800,0.163,0,0.023824,0.013863
BA(k=2),12,3,A,1,0.845851,poly_S30_K200,0.258,0,0.023937,0.014627
BA(k=2),12,3,A,3,0.936066,exact,0.03,0,0.070134,0.032607
BA(k=2),12,3,A,3,0.936066,samp10,0.004,0,0.050112,0.025848
BA(k=2),12,3,A,3,0.936066,poly_S3_K50,0.115,0,0.358328,0.011383
BA(k=2),12,3,A,3,0.936066,poly_S10_K50,0.144,0,0.281975,0.014021
BA(k=2),12,3,A,3,0.936066,poly_S10_K200,0.157,0,0.251895,0.002609
BA(k=2),12,3,A,3,0.936066,poly_S10_K800,0.163,0,0.214659,0.015003
BA(k=2),12,3,A,3,0.936066,poly_S30_K200,0.258,0,0.064864,0.026788
BA(k=2),12,4,A,1,0.845212,exact,0.026,0,0.027094,0.063002
BA(k=2),12,4,A,1,0.845212,samp10,0.004,0,0.038444,0.035889
BA(k=2),12,4,A,1,0.845212,poly_S3_K50,0.107,0,0.179884,0.045304
BA(k=2),12,4,A,1,0.845212,poly_S10_K50,0.135,0,0.228256,0.007729
BA(k=2),12,4,A,1,0.845212,poly_S10_K200,0.142,0,0.035636,0.0
BA(k=2),12,4,A,1,0.845212,poly_S10_K800,0.149,0,0.038839,0.035889
BA(k=2),12,4,A,1,0.845212,poly_S30_K200,0.24,0,0.035628,0.028745
BA(k=2),12,4,A,3,0.932323,exact,0.026,0,0.067426,0.013079
BA(k=2),12,4,A,3,0.932323,samp10,0.004,0,0.063719,0.006109
BA(k=2),12,4,A,3,0.932323,poly_S3_K50,0.107,0,0.254506,0.017682
BA(k=2),12,4,A,3,0.932323,poly_S10_K50,0.135,0,0.258599,0.027207
BA(k=2),12,4,A,3,0.932323,poly_S10_K200,0.142,0,0.028511,0.006109
BA(k=2),12,4,A,3,0.932323,poly_S10_K800,0.149,0,0.041681,0.006109
BA(k=2),12,4,A,3,0.932323,poly_S30_K200,0.24,0,0.239243,0.013079
BA(k=2),12,5,A,1,0.754022,exact,0.02,0,0.026818,0.029157
BA(k=2),12,5,A,1,0.754022,samp10,0.004,0,0.034648,0.015496
BA(k=2),12,5,A,1,0.754022,poly_S3_K50,0.105,0,0.166224,0.003144
BA(k=2),12,5,A,1,0.754022,poly_S10_K50,0.143,0,0.144774,0.000104
BA(k=2),12,5,A,1,0.754022,poly_S10_K200,0.148,0,0.058381,0.00137
BA(k=2),12,5,A,1,0.754022,poly_S10_K800,0.155,0,0.034648,0.029157
BA(k=2),12,5,A,1,0.754022,poly_S30_K200,0.253,0,0.023848,0.029157
BA(k=2),12,5,A,3,0.865165,exact,0.02,0,0.084229,0.026827
BA(k=2),12,5,A,3,0.865165,samp10,0.004,0,0.073429,0.01859
BA(k=2),12,5,A,3,0.865165,poly_S3_K50,0.105,0,0.270483,0.001835
BA(k=2),12,5,A,3,0.865165,poly_S10_K50,0.143,0,0.251287,0.030323
BA(k=2),12,5,A,3,0.865165,poly_S10_K200,0.148,0,0.123717,0.01859
BA(k=2),12,5,A,3,0.865165,poly_S10_K800,0.155,0,0.022096,0.02834
BA(k=2),12,5,A,3,0.865165,poly_S30_K200,0.253,0,0.05468,0.013701
BA(k=4),12,1,A,1,0.758882,exact,0.028,0,0.029192,0.019228
BA(k=4),12,1,A,1,0.758882,samp10,0.004,0,0.039051,0.019228
BA(k=4),12,1,A,1,0.758882,poly_S3_K50,0.138,0,0.118882,0.006173
BA(k=4),12,1,A,1,0.758882,poly_S10_K50,0.19,0,0.229547,0.002561
BA(k=4),12,1,A,1,0.758882,poly_S10_K200,0.202,0,0.02473,0.019228
BA(k=4),12,1,A,1,0.758882,poly_S10_K800,0.208,0,0.011032,0.014211
BA(k=4),12,1,A,1,0.758882,poly_S30_K200,0.365,0,0.02473,0.010038
BA(k=4),12,1,A,3,0.854515,exact,0.028,0,0.079804,0.13334
BA(k=4),12,1,A,3,0.854515,samp10,0.004,0,0.11654,0.047043
BA(k=4),12,1,A,3,0.854515,poly_S3_K50,0.138,0,0.268261,0.044686
BA(k=4),12,1,A,3,0.854515,poly_S10_K50,0.19,0,0.240331,0.028644
BA(k=4),12,1,A,3,0.854515,poly_S10_K200,0.202,0,0.190503,0.018062
BA(k=4),12,1,A,3,0.854515,poly_S10_K800,0.208,0,0.068626,0.025918
BA(k=4),12,1,A,3,0.854515,poly_S30_K200,0.365,0,0.207441,0.047043
BA(k=4),12,2,A,1,0.780236,exact,0.019,0,0.023842,0.025845
BA(k=4),12,2,A,1,0.780236,samp10,0.004,0,0.033707,0.011562
BA(k=4),12,2,A,1,0.780236,poly_S3_K50,0.137,0,0.114299,0.0
BA(k=4),12,2,A,1,0.780236,poly_S10_K50,0.198,0,0.131184,0.006526
BA(k=4),12,2,A,1,0.780236,poly_S10_K200,0.201,0,0.036826,0.007396
BA(k=4),12,2,A,1,0.780236,poly_S10_K800,0.231,0,0.027262,0.036626
BA(k=4),12,2,A,1,0.780236,poly_S30_K200,0.384,0,0.012531,0.020966
BA(k=4),12,2,A,3,0.877347,exact,0.019,0,0.078389,0.061872
BA(k=4),12,2,A,3,0.877347,samp10,0.004,0,0.102238,0.019237
BA(k=4),12,2,A,3,0.877347,poly_S3_K50,0.137,0,0.214783,0.041265
BA(k=4),12,2,A,3,0.877347,poly_S10_K50,0.198,0,0.29657,0.033884
BA(k=4),12,2,A,3,0.877347,poly_S10_K200,0.201,0,0.077708,0.030983
BA(k=4),12,2,A,3,0.877347,poly_S10_K800,0.231,0,0.049924,0.054997
BA(k=4),12,2,A,3,0.877347,poly_S30_K200,0.384,0,0.062469,0.047045
BA(k=4),12,3,A,1,0.784795,exact,0.02,0,0.026782,0.025119
BA(k=4),12,3,A,1,0.784795,samp10,0.005,0,0.026782,0.010343
BA(k=4),12,3,A,1,0.784795,poly_S3_K50,0.162,0,0.201627,0.009903
BA(k=4),12,3,A,1,0.784795,poly_S10_K50,0.221,0,0.122649,0.002445
BA(k=4),12,3,A,1,0.784795,poly_S10_K200,0.192,0,0.024434,0.002445
BA(k=4),12,3,A,1,0.784795,poly_S10_K800,0.213,0,0.024434,0.006157
BA(k=4),12,3,A,1,0.784795,poly_S30_K200,0.359,0,0.059057,0.025119
BA(k=4),12,3,A,3,0.870328,exact,0.02,0,0.070034,0.039282
BA(k=4),12,3,A,3,0.870328,samp10,0.005,0,0.07428,0.021732
BA(k=4),12,3,A,3,0.870328,poly_S3_K50,0.162,0,0.286173,0.034815
BA(k=4),12,3,A,3,0.870328,poly_S10_K50,0.221,0,0.324236,0.018011
BA(k=4),12,3,A,3,0.870328,poly_S10_K200,0.192,0,0.067496,0.020866
BA(k=4),12,3,A,3,0.870328,poly_S10_K800,0.213,0,0.067496,0.065641
BA(k=4),12,3,A,3,0.870328,poly_S30_K200,0.359,0,0.140542,0.015701
BA(k=4),12,4,A,1,0.790761,exact,0.027,0,0.030306,0.033209
BA(k=4),12,4,A,1,0.790761,samp10,0.004,0,0.019511,0.033209
BA(k=4),12,4,A,1,0.790761,poly_S3_K50,0.141,0,0.124933,0.002402
BA(k=4),12,4,A,1,0.790761,poly_S10_K50,0.189,0,0.259591,0.012413
BA(k=4),12,4,A,1,0.790761,poly_S10_K200,0.209,0,0.046884,0.003155
BA(k=4),12,4,A,1,0.790761,poly_S10_K800,0.233,0,0.019511,0.048114
BA(k=4),12,4,A,1,0.790761,poly_S30_K200,0.391,0,0.054707,0.039137
BA(k=4),12,4,A,3,0.891425,exact,0.027,0,0.080721,0.054869
BA(k=4),12,4,A,3,0.891425,samp10,0.004,0,0.045101,0.03164
BA(k=4),12,4,A,3,0.891425,poly_S3_K50,0.141,0,0.270737,0.040576
BA(k=4),12,4,A,3,0.891425,poly_S10_K50,0.189,0,0.23657,0.052504
BA(k=4),12,4,A,3,0.891425,poly_S10_K200,0.209,0,0.1704,0.021132
BA(k=4),12,4,A,3,0.891425,poly_S10_K800,0.233,0,0.063962,0.017314
BA(k=4),12,4,A,3,0.891425,poly_S30_K200,0.391,0,0.165516,0.050178
BA(k=4),12,5,A,1,0.797834,exact,0.023,0,0.031616,0.020233
BA(k=4),12,5,A,1,0.797834,samp10,0.005,0,0.035023,0.020233
BA(k=4),12,5,A,1,0.797834,poly_S3_K50,0.216,0,0.131168,0.001543
BA(k=4),12,5,A,1,0.797834,poly_S10_K50,0.231,0,0.177865,0.003947
BA(k=4),12,5,A,1,0.797834,poly_S10_K200,0.212,0,0.058675,0.014383
BA(k=4),12,5,A,1,0.797834,poly_S10_K800,0.229,0,0.023356,0.014383
BA(k=4),12,5,A,1,0.797834,poly_S30_K200,0.389,0,0.020095,0.014383
BA(k=4),12,5,A,3,0.897432,exact,0.023,0,0.082947,0.052855
BA(k=4),12,5,A,3,0.897432,samp10,0.005,0,0.112614,0.053157
BA(k=4),12,5,A,3,0.897432,poly_S3_K50,0.216,0,0.410485,0.158326
BA(k=4),12,5,A,3,0.897432,poly_S10_K50,0.231,0,0.248905,0.028063
BA(k=4),12,5,A,3,0.897432,poly_S10_K200,0.212,0,0.1607,0.041633
BA(k=4),12,5,A,3,0.897432,poly_S10_K800,0.229,0,0.082947,0.030966
BA(k=4),12,5,A,3,0.897432,poly_S30_K200,0.389,0,0.082947,0.053157
WS(k=4;b=0.1),12,1,A,1,0.833172,exact,0.026,0,0.028676,0.038759
WS(k=4;b=0.1),12,1,A,1,0.833172,samp10,0.003,0,0.010089,0.016312
WS(k=4;b=0.1),12,1,A,1,0.833172,poly_S3_K50,0.118,0,0.171743,0.017606
WS(k=4;b=0.1),12,1,A,1,0.833172,poly_S10_K50,0.151,0,0.401289,0.0
WS(k=4;b=0.1),12,1,A,1,0.833172,poly_S10_K200,0.15,0,0.038478,0.02336
WS(k=4;b=0.1),12,1,A,1,0.833172,poly_S10_K800,0.151,0,0.015164,0.024293
WS(k=4;b=0.1),12,1,A,1,0.833172,poly_S30_K200,0.255,0,0.027675,0.016312
WS(k=4;b=0.1),12,1,A,3,0.907038,exact,0.026,0,0.055503,0.020827
WS(k=4;b=0.1),12,1,A,3,0.907038,samp10,0.003,0,0.045379,0.020827
WS(k=4;b=0.1),12,1,A,3,0.907038,poly_S3_K50,0.118,0,0.31636,0.048886
WS(k=4;b=0.1),12,1,A,3,0.907038,poly_S10_K50,0.151,0,0.213811,0.004905
WS(k=4;b=0.1),12,1,A,3,0.907038,poly_S10_K200,0.15,0,0.125168,0.005137
WS(k=4;b=0.1),12,1,A,3,0.907038,poly_S10_K800,0.151,0,0.045379,0.010934
WS(k=4;b=0.1),12,1,A,3,0.907038,poly_S30_K200,0.255,0,0.059036,0.005137
WS(k=4;b=0.1),12,2,A,1,0.827806,exact,0.019,0,0.025795,0.041019
WS(k=4;b=0.1),12,2,A,1,0.827806,samp10,0.003,0,0.015885,0.001267
WS(k=4;b=0.1),12,2,A,1,0.827806,poly_S3_K50,0.113,0,0.182924,0.006943
WS(k=4;b=0.1),12,2,A,1,0.827806,poly_S10_K50,0.143,0,0.084614,0.011169
WS(k=4;b=0.1),12,2,A,1,0.827806,poly_S10_K200,0.158,0,0.048627,0.004273
WS(k=4;b=0.1),12,2,A,1,0.827806,poly_S10_K800,0.174,0,0.037181,0.004273
WS(k=4;b=0.1),12,2,A,1,0.827806,poly_S30_K200,0.288,0,0.046408,0.004273
WS(k=4;b=0.1),12,2,A,3,0.904593,exact,0.019,0,0.056546,0.019401
WS(k=4;b=0.1),12,2,A,3,0.904593,samp10,0.003,0,0.045617,0.009153
WS(k=4;b=0.1),12,2,A,3,0.904593,poly_S3_K50,0.113,0,0.420976,0.036231
WS(k=4;b=0.1),12,2,A,3,0.904593,poly_S10_K50,0.143,0,0.204649,0.03749
WS(k=4;b=0.1),12,2,A,3,0.904593,poly_S10_K200,0.158,0,0.246757,0.018232
WS(k=4;b=0.1),12,2,A,3,0.904593,poly_S10_K800,0.174,0,0.050749,0.019401
WS(k=4;b=0.1),12,2,A,3,0.904593,poly_S30_K200,0.288,0,0.053338,0.059046
WS(k=4;b=0.1),12,3,A,1,0.832641,exact,0.025,0,0.028427,0.03806
WS(k=4;b=0.1),12,3,A,1,0.832641,samp10,0.004,0,0.033712,0.010121
WS(k=4;b=0.1),12,3,A,1,0.832641,poly_S3_K50,0.112,0,0.261262,0.019927
WS(k=4;b=0.1),12,3,A,1,0.832641,poly_S10_K50,0.149,0,0.25806,0.003548
WS(k=4;b=0.1),12,3,A,1,0.832641,poly_S10_K200,0.158,0,0.187927,0.007855
WS(k=4;b=0.1),12,3,A,1,0.832641,poly_S10_K800,0.166,0,0.015096,0.030454
WS(k=4;b=0.1),12,3,A,1,0.832641,poly_S30_K200,0.278,0,0.015096,0.030454
