family,n,instance,seed,m,c_opt,ceil_p1,variant,mse_rel,ew_avg,ew_star_raw,ew_star_nrm,ar_raw,regret_raw,dgamma_raw,dbeta_raw,ar_nrm,regret_nrm,dgamma_nrm,dbeta_nrm,pred_raw,normw_raw,fit_obj,fit_params
3-regular,12,1,20311904,18,16.0,0.7683345720563707,exactN,0.0,0.0,0.0,0.0,0.7262791518912393,0.04205542016513142,0.0,0.0,0.7300433196144547,0.038291252441916,0.0,0.0,11.225998626972908,0.9614123877466876,NaN,
3-regular,12,1,20311904,18,16.0,0.7683345720563707,pert:lowd:0.01,0.009999545001247128,0.9130327340157781,0.954808679477589,0.7066847328690963,0.5625,0.20583457205637068,-0.7249829200591831,-0.32221463113741466,0.632864819558347,0.13546975249802373,0.48332194670612205,0.12083048667653051,5271.973722832125,585.8756591272538,NaN,
3-regular,12,1,20311904,18,16.0,0.7683345720563707,pert:lowd:0.05,0.04993875813251662,0.9961620314196113,0.9999888705448567,0.9378378159582914,0.5625,0.20583457205637068,-0.7249829200591831,-0.32221463113741466,0.5937461291504686,0.17458844290590203,0.6444292622748296,0.20138414446088415,123230.38876373053,13694.703520497624,NaN,
3-regular,12,1,20311904,18,16.0,0.7683345720563707,pert:lowd:0.2,0.19613347658422578,0.9997883609823013,0.9979602276907822,0.9697431241850966,0.5625,0.20583457205637068,-0.7249829200591831,-0.32221463113741466,0.5625000000000002,0.20583457205637046,1.4499658401183662,0.5235987755982988,1.946492357298471e6,216315.69245491084,NaN,
3-regular,12,1,20311904,18,16.0,0.7683345720563707,pert:lowd:0.5,0.44729591120820233,0.9999746589144628,0.9971380376590542,0.9749629517965729,0.5625,0.20583457205637068,-0.7249829200591831,-0.32221463113741466,0.5625000000000002,0.20583457205637046,1.4499658401183662,0.5235987755982988,1.2134206404463917e7,1.3484871230018784e6,NaN,
3-regular,12,1,20311904,18,16.0,0.7683345720563707,pert:highd:0.01,0.007799764376534178,0.026746325200225383,0.005621400648976832,0.015457655086578788,0.5625,0.20583457205637068,-0.7249829200591831,0.48332194670612205,0.7300433196144547,0.038291252441916,0.0,0.0,13.126490550741709,1.4585434479825912,NaN,
3-regular,12,1,20311904,18,16.0,0.7683345720563707,pert:highd:0.05,0.038034779560393396,0.13336710387938672,0.02823018939820017,0.078524566085838,0.5625,0.20583457205637068,-0.7249829200591831,0.48332194670612205,0.7300433196144547,0.038291252441916,0.0,0.0,37.56568945361899,4.174346318898314,NaN,
3-regular,12,1,20311904,18,16.0,0.7683345720563707,pert:highd:0.2,0.1383151067364642,0.4822302596675926,0.11426868158869112,0.32128378375576716,0.5625,0.20583457205637068,-0.7249829200591831,0.48332194670612205,0.7454618484133447,0.02287272364302595,-0.08055365778435353,-0.08055365778435364,242.26130831312906,26.921821460373238,NaN,
3-regular,12,1,20311904,18,16.0,0.7683345720563707,pert:highd:0.5,0.28698622906828647,0.8216338783810232,0.28595808695499225,0.7078541425050451,0.5625,0.20583457205637068,-0.7249829200591831,0.48332194670612205,0.7217796282423925,0.04655494381397818,0.08055365778435375,-0.12083048667653051,1187.1460232760876,131.92673457483295,NaN,
3-regular,12,1,20311904,18,16.0,0.7683345720563707,pert:nulled:0.01,0.007847120807946542,0.046721852761818734,0.00034557582591820404,0.00022399424347019998,0.5625,0.20583457205637068,-0.7249829200591831,1.248581695657482,0.7300433196144547,0.038291252441916,0.0,0.0,15.759050599852422,1.7510814594276052,NaN,
