family,n,instance,seed,m,ramp,layer,leakage,cum_leakage,distance,overlap,compressed_norm
ER(0.5),16,1,20272212,53,small,1,0.02280422813687988,0.02280422813687988,0.02280422813687988,0.9994799671790728,0.999739949776482
ER(0.5),16,1,20272212,53,small,2,0.05097079775734811,0.07377502589422799,0.06554859896260638,0.9962927945669026,0.9984397552957625
ER(0.5),16,1,20272212,53,small,3,0.03918812284304204,0.11296314873727004,0.08924500808222827,0.993692132298051,0.9976704044839169
ER(0.5),16,1,20272212,53,small,4,0.013255973724643225,0.12621912246191327,0.09596596530276216,0.9929814592549046,0.9975823350198784
ER(0.5),16,1,20272212,53,small,5,0.03956557500475334,0.1657846974666666,0.11777472629643382,0.9898671009836443,0.9967974119239348
ER(0.5),16,1,20272212,53,small,6,0.057778571802941235,0.22356326926960784,0.14972393166511413,0.9839262832517321,0.9951214584454824
ER(0.5),16,1,20272212,53,small,7,0.049094654610483256,0.27265792388009114,0.16111592285056475,0.9809609892016218,0.9939096699133898
ER(0.5),16,1,20272212,53,small,8,0.015129764380353522,0.28778768826044465,0.15972143905862976,0.9810709143089127,0.9937945070169873
ER(0.5),16,1,20272212,53,small,9,0.03587360025131238,0.323661288511757,0.16435894599205,0.9796764882487163,0.9931468204561421
ER(0.5),16,1,20272212,53,small,10,0.06787405693047471,0.39153534544223173,0.15900850749033854,0.9782553565354591,0.9908247672408795
ER(0.5),16,1,20272212,53,small,11,0.07462272648298192,0.46615807192521364,0.14209300361045432,0.9780206880336728,0.9880107125280526
ER(0.5),16,1,20272212,53,small,12,0.057945385262426104,0.5241034571876397,0.14988701822163264,0.9751858701535139,0.9863100427335103
ER(0.5),16,1,20272212,53,small,13,0.03910180159604429,0.563205258783684,0.16917801473311886,0.9713555276361472,0.9855346516023286
ER(0.5),16,1,20272212,53,small,14,0.055056958102802936,0.618262216886487,0.15334242057714162,0.9724420869855654,0.9839955695395123
ER(0.5),16,1,20272212,53,small,15,0.08267105610390164,0.7009332729903887,0.12406502260208921,0.9731065397162905,0.9805165869867033
ER(0.5),16,1,20272212,53,small,16,0.09865985249586802,0.7995931254862567,0.1456899489261889,0.9653514657755501,0.9755403686478308
ER(0.5),16,1,20272212,53,small,17,0.10037324688096799,0.8999663723672247,0.17549316367704265,0.9557237557908843,0.9703629332224716
ER(0.5),16,1,20272212,53,small,18,0.09443853411917066,0.9944049064863953,0.16534142994842876,0.9532818941418257,0.9657564835120401
ER(0.5),16,1,20272212,53,small,19,0.09166062250293495,1.0860655289893304,0.1558498304527556,0.9507017027445417,0.9613968565207167
ER(0.5),16,1,20272212,53,small,20,0.099066836668595,1.1851323656579253,0.19087868489623025,0.9398977564821185,0.9562790793489067
ER(0.5),16,1,20272212,53,small,21,0.11416458755100194,1.2992969532089274,0.22518702091357448,0.9270372834437042,0.9494399004411507
ER(0.5),16,1,20272212,53,small,22,0.130825751179195,1.4301227043881224,0.22742027486829394,0.9193639066096594,0.9403832981173699
ER(0.5),16,1,20272212,53,small,23,0.14533794799385935,1.5754606523819819,0.2352206735255778,0.9083949629039102,0.929084295557211
ER(0.5),16,1,20272212,53,small,24,0.1567658016309175,1.7322264540128993,0.28517380618893123,0.8849770179151416,0.9157631307767605
ER(0.5),16,1,20272212,53,small,25,0.16564619117149468,1.897872645184394,0.35263905115496025,0.853582983974814,0.9006572328252465
ER(0.5),16,1,20272212,53,small,26,0.1728732163027252,2.070745861487119,0.4079262202509136,0.8242717653889716,0.8839107998692988
ER(0.5),16,1,20272212,53,small,27,0.17901845813959727,2.249764319626716,0.4549030780299214,0.7966284797376753,0.8655926835243617
ER(0.5),16,1,20272212,53,small,28,0.1840562185460796,2.4338205381727955,0.5101014581833192,0.7635093446138269,0.8457978494802547
ER(0.5),16,1,20272212,53,small,29,0.187394757173947,2.6212152953467425,0.5759860548044364,0.7243335029375747,0.8247770651328394
ER(0.5),16,1,20272212,53,small,30,0.18808046343635051,2.809295758783093,0.6438737207134428,0.685092667119346,0.8030460425422125
ER(0.25),16,1,20282212,26,small,1,0.009929666700796178,0.009929666700796178,0.009929666700796178,0.9999014017192082,0.9999506996443427
ER(0.25),16,1,20282212,26,small,2,0.023804650752818755,0.03373431745361494,0.030658432260863296,0.9991974061906207,0.9996673148211579
