family,n,instance,seed,m,ramp,E_cc,k_match,k90,k99,rank_max
ER(0.25),14,8,20282019,24,small,0.9804104275105688,2,2,3,21
ER(0.25),12,9,20281820,18,small,0.9865769710404495,2,1,2,21
ER(0.25),14,9,20282020,18,small,0.9937670169394058,2,1,2,21
ER(0.25),12,10,20281821,11,small,0.9944361875528167,2,1,2,21
ER(0.25),14,10,20282021,22,small,0.9854755174227217,2,1,2,21
ER(0.25),12,1,20281812,15,moderate,0.9744225123485348,2,2,3,21
ER(0.25),14,1,20282012,22,moderate,0.9647011188049764,2,2,3,21
ER(0.25),12,2,20281813,17,moderate,0.9754637521337214,2,2,3,21
ER(0.25),14,2,20282013,24,moderate,0.9586688730909203,3,2,3,21
ER(0.25),12,3,20281814,15,moderate,0.964579789863597,2,2,3,21
ER(0.25),14,3,20282014,23,moderate,0.9472135841545456,3,2,4,21
ER(0.25),12,4,20281815,9,moderate,0.9896600350416348,2,2,2,21
ER(0.25),14,4,20282015,23,moderate,0.9454119757463479,3,2,4,21
ER(0.25),12,5,20281816,11,moderate,0.9876447022563054,2,2,3,21
ER(0.25),14,5,20282016,26,moderate,0.9671482817155829,2,2,3,21
ER(0.25),12,6,20281817,19,moderate,0.9619143486211849,2,2,3,21
ER(0.25),14,6,20282017,24,moderate,0.9521350401876251,2,2,3,21
ER(0.25),12,7,20281818,14,moderate,0.9783657179487318,2,2,3,21
ER(0.25),14,7,20282018,18,moderate,0.982441495542694,2,2,3,21
ER(0.25),12,8,20281819,20,moderate,0.9737027516685218,2,2,3,21
ER(0.25),14,8,20282019,24,moderate,0.9404103951946806,3,2,4,21
ER(0.25),12,9,20281820,18,moderate,0.9578404675285841,2,2,3,21
ER(0.25),14,9,20282020,18,moderate,0.9833994112100441,3,2,3,21
ER(0.25),12,10,20281821,11,moderate,0.9841538265151657,2,2,3,21
ER(0.25),14,10,20282021,22,moderate,0.9567989155928386,2,2,3,21
ER(0.25),12,1,20281812,15,large,0.9207127294718392,2,2,5,21
ER(0.25),14,1,20282012,22,large,0.8943286953544918,2,3,6,21
ER(0.25),12,2,20281813,17,large,0.919884927488789,2,2,5,21
ER(0.25),14,2,20282013,24,large,0.8734816375983598,3,3,8,21
ER(0.25),12,3,20281814,15,large,0.8936461539877024,2,2,5,21
ER(0.25),14,3,20282014,23,large,0.8855579969176284,2,3,8,21
ER(0.25),12,4,20281815,9,large,0.9532905567677743,3,2,4,21
ER(0.25),14,4,20282015,23,large,0.86387089434816,3,3,7,21
ER(0.25),12,5,20281816,11,large,0.9507170151891655,3,2,4,21
ER(0.25),14,5,20282016,26,large,0.8818302685903282,2,2,8,21
ER(0.25),12,6,20281817,19,large,0.9109633726322961,2,2,6,21
ER(0.25),14,6,20282017,24,large,0.8625623093292916,2,3,8,21
ER(0.25),12,7,20281818,14,large,0.9368687919074649,2,2,5,21
ER(0.25),14,7,20282018,18,large,0.9133098853546953,3,2,6,21
ER(0.25),12,8,20281819,20,large,0.9368165398698299,2,2,5,21
ER(0.25),14,8,20282019,24,large,0.8718616084573608,3,3,8,21
ER(0.25),12,9,20281820,18,large,0.9056873249568181,3,2,6,21
ER(0.25),14,9,20282020,18,large,0.937322722617943,3,2,5,21
ER(0.25),12,10,20281821,11,large,0.9627198628927602,3,2,4,21
ER(0.25),14,10,20282021,22,large,0.8635153927406201,3,3,7,21
BA(k=2),12,1,20291812,20,small,0.986540449667819,2,1,2,21
BA(k=2),14,1,20292012,24,small,0.9845849005668477,2,1,3,21
BA(k=2),12,2,20291813,20,small,0.9922371713294661,2,1,2,21
BA(k=2),14,2,20292013,24,small,0.9854835439359929,2,2,3,21
BA(k=2),12,3,20291814,20,small,0.9888734228246224,2,1,2,21
BA(k=2),14,3,20292014,24,small,0.987458817860549,2,1,2,21
BA(k=2),12,4,20291815,20,small,0.9920369346272094,2,1,2,21
BA(k=2),14,4,20292015,24,small,0.98945348852916,2,1,2,21
BA(k=2),12,5,20291816,20,small,0.9878311323808691,2,1,2,21
BA(k=2),14,5,20292016,24,small,0.9848523635230021,2,1,2,21
BA(k=2),12,6,20291817,20,small,0.9856601153660401,2,1,2,21
BA(k=2),14,6,20292017,24,small,0.9841225452403376,2,1,3,21
BA(k=2),12,7,20291818,20,small,0.9925068641330773,2,1,2,21
BA(k=2),14,7,20292018,24,small,0.987536256588254,2,1,2,21
BA(k=2),12,8,20291819,20,small,0.9893914831389439,2,1,2,21
BA(k=2),14,8,20292019,24,small,0.9881401349468144,2,1,2,21
BA(k=2),12,9,20291820,20,small,0.9918619674138517,2,1,2,21
BA(k=2),14,9,20292020,24,small,0.9866237384112289,2,1,2,21
BA(k=2),12,10,20291821,20,small,0.9877562569264342,2,1,2,21
BA(k=2),14,10,20292021,24,small,0.9873156519212396,2,1,2,21
BA(k=2),12,1,20291812,20,moderate,0.9581631185399128,2,2,3,21
BA(k=2),14,1,20292012,24,moderate,0.9529060869405132,2,2,3,21
BA(k=2),12,2,20291813,20,moderate,0.9797008927500834,2,2,3,21
BA(k=2),14,2,20292013,24,moderate,0.9564217452179962,2,2,3,21
BA(k=2),12,3,20291814,20,moderate,0.9671037720471899,2,2,3,21
BA(k=2),14,3,20292014,24,moderate,0.961988155045524,2,2,3,21
BA(k=2),12,4,20291815,20,moderate,0.9787776560421132,2,2,3,21
BA(k=2),14,4,20292015,24,moderate,0.9738072530360709,2,2,3,21
