family,n,instance,seed,m,law,init,stage,ar,regret_vs_gridceil
3-regular,16,1,20262321,24,logn2.5,universal,init,0.9595876230244599,0.005240693484861669
3-regular,16,1,20262321,24,logn2.5,universal,polished,0.8905361577322375,0.07429215877708406
3-regular,16,1,20262321,24,logn2.5,transfer_1,init,0.809516792669947,0.15531152383937452
3-regular,16,1,20262321,24,logn2.5,transfer_1,polished,0.890536157732237,0.0742921587770845
3-regular,16,2,20262322,24,logn2.5,universal,init,0.6314879010534818,0.2733036932611702
3-regular,16,2,20262322,24,logn2.5,universal,polished,0.9309561010187505,-0.026164506704098422
3-regular,16,2,20262322,24,logn2.5,transfer_1,init,0.7758455554301328,0.12894603888451928
3-regular,16,2,20262322,24,logn2.5,transfer_1,polished,0.9374907206416044,-0.03269912632695238
3-regular,16,3,20262323,24,logn2.5,universal,init,0.3749054283586421,0.5687089492827577
3-regular,16,3,20262323,24,logn2.5,universal,polished,0.9601695145294287,-0.016555136888028787
3-regular,16,3,20262323,24,logn2.5,transfer_1,init,0.5509733249447191,0.3926410526966808
3-regular,16,3,20262323,24,logn2.5,transfer_1,polished,0.8831583293391438,0.06045604830225604
3-regular,16,4,20262324,24,logn2.5,universal,init,0.9492401012748467,0.015056923368539366
3-regular,16,4,20262324,24,logn2.5,universal,polished,0.8796791848659495,0.08461783977743653
3-regular,16,4,20262324,24,logn2.5,transfer_1,init,0.9249348441417221,0.03936218050166396
3-regular,16,4,20262324,24,logn2.5,transfer_1,polished,0.9029060385004198,0.06139098614296623
3-regular,16,5,20262325,24,logn2.5,universal,init,0.9574906238977356,0.006746209125746971
3-regular,16,5,20262325,24,logn2.5,universal,polished,0.8330591975004451,0.13117763552303752
3-regular,16,5,20262325,24,logn2.5,transfer_1,init,0.958505200228173,0.005731632795309638
3-regular,16,5,20262325,24,logn2.5,transfer_1,polished,0.8694927195235236,0.09474411349995904
