family,n,instance,seed,m,law,init,stage,ar,regret_vs_gridceil
ER(0.5),16,1,20262321,58,unit,universal,init,0.8797704692577871,0.005805483346711937
ER(0.5),16,1,20262321,58,unit,universal,polished,0.8271605453969744,0.058415407207524694
ER(0.5),16,1,20262321,58,unit,transfer_1,init,0.8797704692577871,0.005805483346711937
ER(0.5),16,1,20262321,58,unit,transfer_1,polished,0.8271605453969744,0.058415407207524694
ER(0.5),16,2,20262322,65,unit,universal,init,0.8854267323645577,0.009404342464562121
ER(0.5),16,2,20262322,65,unit,universal,polished,0.8282411890704239,0.06658988575869595
ER(0.5),16,2,20262322,65,unit,transfer_1,init,0.8854267323645577,0.009404342464562121
ER(0.5),16,2,20262322,65,unit,transfer_1,polished,0.8282411890704239,0.06658988575869595
ER(0.5),16,3,20262323,70,unit,universal,init,0.927373584674695,0.016991036891461975
ER(0.5),16,3,20262323,70,unit,universal,polished,0.8928822948762071,0.0514823266899499
ER(0.5),16,3,20262323,70,unit,transfer_1,init,0.927373584674695,0.016991036891461975
ER(0.5),16,3,20262323,70,unit,transfer_1,polished,0.8928822948762071,0.0514823266899499
ER(0.5),16,4,20262324,63,unit,universal,init,0.8891278031645246,0.01775884232152458
ER(0.5),16,4,20262324,63,unit,universal,polished,0.8289011107475989,0.07798553473845027
ER(0.5),16,4,20262324,63,unit,transfer_1,init,0.8891278031645246,0.01775884232152458
ER(0.5),16,4,20262324,63,unit,transfer_1,polished,0.8289011107475989,0.07798553473845027
ER(0.5),16,5,20262325,60,unit,universal,init,0.9066955311528901,0.007177829947629943
ER(0.5),16,5,20262325,60,unit,universal,polished,0.8304141333567845,0.0834592277437356
ER(0.5),16,5,20262325,60,unit,transfer_1,init,0.9066955311528901,0.007177829947629943
ER(0.5),16,5,20262325,60,unit,transfer_1,polished,0.8304141333567845,0.0834592277437356
ER(0.5),16,6,20262326,59,unit,universal,init,0.8808857045173734,0.012809556841115732
ER(0.5),16,6,20262326,59,unit,universal,polished,0.8296618075243184,0.0640334538341707
ER(0.5),16,6,20262326,59,unit,transfer_1,init,0.8808857045173734,0.012809556841115732
ER(0.5),16,6,20262326,59,unit,transfer_1,polished,0.8296618075243184,0.0640334538341707
ER(0.5),16,7,20262327,68,unit,universal,init,0.8947446573074274,0.009499143527441634
ER(0.5),16,7,20262327,68,unit,universal,polished,0.8326676995995715,0.07157610123529745
ER(0.5),16,7,20262327,68,unit,transfer_1,init,0.8947446573074274,0.009499143527441634
ER(0.5),16,7,20262327,68,unit,transfer_1,polished,0.8326676995995715,0.07157610123529745
ER(0.5),16,8,20262328,57,unit,universal,init,0.9121672311147884,0.00873654749832442
ER(0.5),16,8,20262328,57,unit,universal,polished,0.8383751456291748,0.08252863298393798
ER(0.5),16,8,20262328,57,unit,transfer_1,init,0.9121672311147884,0.00873654749832442
ER(0.5),16,8,20262328,57,unit,transfer_1,polished,0.8383751456291748,0.08252863298393798
ER(0.5),16,9,20262329,66,unit,universal,init,0.8773629696540273,0.013083140252686865
ER(0.5),16,9,20262329,66,unit,universal,polished,0.7992537100582827,0.09119239984843142
ER(0.5),16,9,20262329,66,unit,transfer_1,init,0.8773629696540273,0.013083140252686865
ER(0.5),16,9,20262329,66,unit,transfer_1,polished,0.7992537100582827,0.09119239984843142
ER(0.5),16,10,20262330,68,unit,universal,init,0.9116645670999617,0.010853455915151411
ER(0.5),16,10,20262330,68,unit,universal,polished,0.8598835458943468,0.06263447712076631
ER(0.5),16,10,20262330,68,unit,transfer_1,init,0.9116645670999617,0.010853455915151411
ER(0.5),16,10,20262330,68,unit,transfer_1,polished,0.8598835458943468,0.06263447712076631
