family,n,instance,seed,ramp,g1,gf,b1,bf,layer,leakage,cum_leakage,distance,overlap,compressed_norm
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,4,0.018816000838424086,0.17636158236371124,0.1246448421526228,0.9875326796827638,0.9952878963312876
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,5,0.06655948869016157,0.24292107105387278,0.1563469499299454,0.9808617453311235,0.9930598325624007
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,6,0.08796560620950811,0.3308866772633809,0.18980042598185282,0.9712099460250812,0.9891561470127245
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,7,0.068515192789581,0.3994018700529619,0.19183857276846975,0.9684939276364134,0.986780396810793
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,8,0.03583474516058041,0.43523661521354234,0.1938855368130283,0.9674504753851743,0.9861295161231826
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,9,0.06730515456448627,0.5025417697780287,0.1983517604912587,0.964365543401719,0.98382998467133
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,10,0.10478561891872853,0.6073273886967572,0.15568629967061282,0.9665695680747737,0.9782338231763443
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,11,0.11870547653088519,0.7260328652276423,0.11100219211591507,0.9654589111256083,0.971004852020722
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,12,0.11538005545952504,0.8414129206871673,0.17150102247420437,0.9502446352541477,0.9641254407233235
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,13,0.11088248277961232,0.9522954034667797,0.2134719138382835,0.9363769765170221,0.9577280096470882
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,14,0.1177360235821715,1.070031427048951,0.19882066505408125,0.9329723447091315,0.9504636601225894
ER(0.5),16,1,20272213,small,0.1,0.4,0.4,0.1,15,0.13479711820168783,1.2048285452506389,0.21278620227771997,0.9212967640847853,0.9408564747814336
