family,n,instance,seed,m,law,method,p,ar,ceil,regret
3-regular,16,1,20262309,24,pareto15,ceiling,1,0.7794814398398681,0.7794814398398681,0.0
3-regular,16,1,20262309,24,pareto15,binned_exact,1,0.7681250769244224,0.7794814398398681,0.011356362915445617
3-regular,16,1,20262309,24,pareto15,binned_sampled,1,0.7696016751148685,0.7794814398398681,0.009879764724999518
3-regular,16,1,20262309,24,pareto15,transfer_1,1,0.7696016751148685,0.7794814398398681,0.009879764724999518
3-regular,16,1,20262309,24,pareto15,transfer_2,1,0.7010986898176931,0.7794814398398681,0.07838275002217499
3-regular,16,1,20262309,24,pareto15,transfer_3,1,0.7779651940572099,0.7794814398398681,0.0015162457826581877
3-regular,16,1,20262309,24,pareto15,universal,1,0.7681250769244224,0.7794814398398681,0.011356362915445617
3-regular,16,1,20262309,24,pareto15,ceiling,3,0.8508813038329389,0.8508813038329389,0.0
3-regular,16,1,20262309,24,pareto15,binned_exact,3,0.7926818192291838,0.8508813038329389,0.058199484603755125
3-regular,16,1,20262309,24,pareto15,binned_sampled,3,0.7764714613081524,0.8508813038329389,0.07440984252478655
3-regular,16,1,20262309,24,pareto15,transfer_1,3,0.8507408139128753,0.8508813038329389,0.0001404899200636578
3-regular,16,1,20262309,24,pareto15,transfer_2,3,0.8138605420569808,0.8508813038329389,0.037020761775958144
3-regular,16,1,20262309,24,pareto15,transfer_3,3,0.8507408139128753,0.8508813038329389,0.0001404899200636578
3-regular,16,1,20262309,24,pareto15,universal,3,0.8247721255701426,0.8508813038329389,0.02610917826279635
3-regular,16,2,20262310,24,pareto15,ceiling,1,0.7750755515686888,0.7750755515686888,0.0
3-regular,16,2,20262310,24,pareto15,binned_exact,1,0.7682526705696485,0.7750755515686888,0.006822880999040271
3-regular,16,2,20262310,24,pareto15,binned_sampled,1,0.7682526705696485,0.7750755515686888,0.006822880999040271
3-regular,16,2,20262310,24,pareto15,transfer_1,1,0.6984663622213751,0.7750755515686888,0.07660918934731364
3-regular,16,2,20262310,24,pareto15,transfer_2,1,0.5112930884720719,0.7750755515686888,0.2637824630966169
3-regular,16,2,20262310,24,pareto15,transfer_3,1,0.5786501463355617,0.7750755515686888,0.19642540523312713
3-regular,16,2,20262310,24,pareto15,universal,1,0.699107522822056,0.7750755515686888,0.07596802874663278
3-regular,16,2,20262310,24,pareto15,ceiling,3,0.8315818933758852,0.8315818933758852,0.0
3-regular,16,2,20262310,24,pareto15,binned_exact,3,0.8198295664716606,0.8315818933758852,0.011752326904224564
3-regular,16,2,20262310,24,pareto15,binned_sampled,3,0.8230311836763711,0.8315818933758852,0.008550709699514103
3-regular,16,2,20262310,24,pareto15,transfer_1,3,0.7684880945759517,0.8315818933758852,0.06309379879993349
3-regular,16,2,20262310,24,pareto15,transfer_2,3,0.5461156029322602,0.8315818933758852,0.2854662904436249
3-regular,16,2,20262310,24,pareto15,transfer_3,3,0.7684880945759517,0.8315818933758852,0.06309379879993349
3-regular,16,2,20262310,24,pareto15,universal,3,0.791576139713403,0.8315818933758852,0.04000575366248216
3-regular,16,3,20262311,24,pareto15,ceiling,1,0.7806675132465444,0.7806675132465444,0.0
3-regular,16,3,20262311,24,pareto15,binned_exact,1,0.7745659698211431,0.7806675132465444,0.006101543425401257
3-regular,16,3,20262311,24,pareto15,binned_sampled,1,0.7745659698211431,0.7806675132465444,0.006101543425401257
