family,n,instance,seed,m,law,method,p,ar,ceil,regret
ER(0.5),16,1,20262309,52,exp,ceiling,1,0.8082687038391011,0.8082687038391011,0.0
ER(0.5),16,1,20262309,52,exp,binned_exact,1,0.7825300085934161,0.8082687038391011,0.02573869524568495
ER(0.5),16,1,20262309,52,exp,binned_sampled,1,0.7825300085934161,0.8082687038391011,0.02573869524568495
ER(0.5),16,1,20262309,52,exp,transfer_1,1,0.8010322872349169,0.8082687038391011,0.00723641660418417
ER(0.5),16,1,20262309,52,exp,transfer_2,1,0.8082687038391011,0.8082687038391011,0.0
ER(0.5),16,1,20262309,52,exp,transfer_3,1,0.8010322872349169,0.8082687038391011,0.00723641660418417
ER(0.5),16,1,20262309,52,exp,universal,1,0.8010322872349169,0.8082687038391011,0.00723641660418417
ER(0.5),16,1,20262309,52,exp,ceiling,3,0.8920229854068686,0.8920229854068686,0.0
ER(0.5),16,1,20262309,52,exp,binned_exact,3,0.7716468621862443,0.8920229854068686,0.1203761232206243
ER(0.5),16,1,20262309,52,exp,binned_sampled,3,0.7980386957545064,0.8920229854068686,0.09398428965236227
ER(0.5),16,1,20262309,52,exp,transfer_1,3,0.8920229854068686,0.8920229854068686,0.0
ER(0.5),16,1,20262309,52,exp,transfer_2,3,0.8898657014999554,0.8920229854068686,0.0021572839069132765
ER(0.5),16,1,20262309,52,exp,transfer_3,3,0.8920229854068686,0.8920229854068686,0.0
ER(0.5),16,1,20262309,52,exp,universal,3,0.8920229854068686,0.8920229854068686,0.0
ER(0.5),16,2,20262310,55,exp,ceiling,1,0.7610483336099917,0.7610483336099917,0.0
ER(0.5),16,2,20262310,55,exp,binned_exact,1,0.7435342368695552,0.7610483336099917,0.01751409674043647
ER(0.5),16,2,20262310,55,exp,binned_sampled,1,0.7520639085689934,0.7610483336099917,0.008984425040998278
ER(0.5),16,2,20262310,55,exp,transfer_1,1,0.7447316242598927,0.7610483336099917,0.01631670935009899
ER(0.5),16,2,20262310,55,exp,transfer_2,1,0.7595741151288493,0.7610483336099917,0.0014742184811423753
ER(0.5),16,2,20262310,55,exp,transfer_3,1,0.7447316242598927,0.7610483336099917,0.01631670935009899
ER(0.5),16,2,20262310,55,exp,universal,1,0.7447316242598927,0.7610483336099917,0.01631670935009899
ER(0.5),16,2,20262310,55,exp,ceiling,3,0.8455331589190739,0.8455331589190739,0.0
ER(0.5),16,2,20262310,55,exp,binned_exact,3,0.7459432542212395,0.8455331589190739,0.09958990469783435
ER(0.5),16,2,20262310,55,exp,binned_sampled,3,0.7460447426758975,0.8455331589190739,0.09948841624317639
ER(0.5),16,2,20262310,55,exp,transfer_1,3,0.8387809352070462,0.8455331589190739,0.006752223712027661
ER(0.5),16,2,20262310,55,exp,transfer_2,3,0.8301031592728852,0.8455331589190739,0.01542999964618863
