family,n,instance,seed,m,law,method,p,ar,ceil,regret
3-regular,16,1,20262311,24,a2.0,ceiling,1,0.785295239081427,0.785295239081427,0.0
3-regular,16,1,20262311,24,a2.0,binned_exact,1,0.741646424728869,0.785295239081427,0.04364881435255796
3-regular,16,1,20262311,24,a2.0,binned_sampled,1,0.7363799005662433,0.785295239081427,0.048915338515183704
3-regular,16,1,20262311,24,a2.0,transfer_1,1,0.7850509444153342,0.785295239081427,0.0002442946660927703
3-regular,16,1,20262311,24,a2.0,transfer_2,1,0.7654412809770424,0.785295239081427,0.019853958104384506
3-regular,16,1,20262311,24,a2.0,transfer_3,1,0.7655174873877895,0.785295239081427,0.01977775169363749
3-regular,16,1,20262311,24,a2.0,universal,1,0.7723168411736577,0.785295239081427,0.012978397907769224
3-regular,16,1,20262311,24,a2.0,ceiling,3,0.8780450356161921,0.8780450356161921,0.0
3-regular,16,1,20262311,24,a2.0,binned_exact,3,0.7743450754833278,0.8780450356161921,0.10369996013286431
3-regular,16,1,20262311,24,a2.0,binned_sampled,3,0.7618924078334942,0.8780450356161921,0.11615262778269786
3-regular,16,1,20262311,24,a2.0,transfer_1,3,0.8780450356161921,0.8780450356161921,0.0
3-regular,16,1,20262311,24,a2.0,transfer_2,3,0.8628303571027657,0.8780450356161921,0.015214678513426394
3-regular,16,1,20262311,24,a2.0,transfer_3,3,0.8598253574797703,0.8780450356161921,0.01821967813642178
3-regular,16,1,20262311,24,a2.0,universal,3,0.8543955894149006,0.8780450356161921,0.023649446201291502
3-regular,16,2,20262312,24,a2.0,ceiling,1,0.765541582225149,0.765541582225149,0.0
3-regular,16,2,20262312,24,a2.0,binned_exact,1,0.7157159518261382,0.765541582225149,0.04982563039901078
3-regular,16,2,20262312,24,a2.0,binned_sampled,1,0.7157159518261382,0.765541582225149,0.04982563039901078
3-regular,16,2,20262312,24,a2.0,transfer_1,1,0.7629678646162247,0.765541582225149,0.0025737176089243308
3-regular,16,2,20262312,24,a2.0,transfer_2,1,0.7573308056716451,0.765541582225149,0.008210776553503885
3-regular,16,2,20262312,24,a2.0,transfer_3,1,0.7563625529513458,0.765541582225149,0.009179029273803208
3-regular,16,2,20262312,24,a2.0,universal,1,0.746795384433691,0.765541582225149,0.01874619779145803
3-regular,16,2,20262312,24,a2.0,ceiling,3,0.8627610143532811,0.8627610143532811,0.0
3-regular,16,2,20262312,24,a2.0,binned_exact,3,0.7487905558921384,0.8627610143532811,0.11397045846114273
3-regular,16,2,20262312,24,a2.0,binned_sampled,3,0.7468927213852085,0.8627610143532811,0.11586829296807266
