family,n,instance,seed,m,law,method,p,ar,ceil,regret
ER(0.5),16,1,20262311,57,a1.2,ceiling,1,0.7929288371354181,0.7929288371354181,0.0
ER(0.5),16,1,20262311,57,a1.2,binned_exact,1,0.7621274593774736,0.7929288371354181,0.030801377757944448
ER(0.5),16,1,20262311,57,a1.2,binned_sampled,1,0.7700495971912334,0.7929288371354181,0.022879239944184615
ER(0.5),16,1,20262311,57,a1.2,transfer_1,1,0.6519100323714849,0.7929288371354181,0.14101880476393314
ER(0.5),16,1,20262311,57,a1.2,transfer_2,1,0.7733647543746518,0.7929288371354181,0.019564082760766266
ER(0.5),16,1,20262311,57,a1.2,transfer_3,1,0.7325876940109625,0.7929288371354181,0.0603411431244556
ER(0.5),16,1,20262311,57,a1.2,universal,1,0.7719870700980451,0.7929288371354181,0.020941767037372938
ER(0.5),16,1,20262311,57,a1.2,ceiling,3,0.8729211280312729,0.8729211280312729,0.0
ER(0.5),16,1,20262311,57,a1.2,binned_exact,3,0.7517600351708296,0.8729211280312729,0.1211610928604433
ER(0.5),16,1,20262311,57,a1.2,binned_sampled,3,0.8382668851753194,0.8729211280312729,0.03465424285595342
ER(0.5),16,1,20262311,57,a1.2,transfer_1,3,0.8618970841157495,0.8729211280312729,0.011024043915523363
ER(0.5),16,1,20262311,57,a1.2,transfer_2,3,0.7517600351708296,0.8729211280312729,0.1211610928604433
ER(0.5),16,1,20262311,57,a1.2,transfer_3,3,0.8094313952524219,0.8729211280312729,0.06348973277885095
ER(0.5),16,1,20262311,57,a1.2,universal,3,0.8618970841157495,0.8729211280312729,0.011024043915523363
ER(0.5),16,2,20262312,62,a1.2,ceiling,1,0.7828992256314579,0.7828992256314579,0.0
ER(0.5),16,2,20262312,62,a1.2,binned_exact,1,0.749034197634266,0.7828992256314579,0.03386502799719182
ER(0.5),16,2,20262312,62,a1.2,binned_sampled,1,0.749034197634266,0.7828992256314579,0.03386502799719182
ER(0.5),16,2,20262312,62,a1.2,transfer_1,1,0.667965642904752,0.7828992256314579,0.11493358272670584
ER(0.5),16,2,20262312,62,a1.2,transfer_2,1,0.7828992256314579,0.7828992256314579,0.0
ER(0.5),16,2,20262312,62,a1.2,transfer_3,1,0.6854293853759149,0.7828992256314579,0.09746984025554295
ER(0.5),16,2,20262312,62,a1.2,universal,1,0.7806817221134547,0.7828992256314579,0.0022175035180032054
ER(0.5),16,2,20262312,62,a1.2,ceiling,3,0.8562289056152919,0.8562289056152919,0.0
ER(0.5),16,2,20262312,62,a1.2,binned_exact,3,0.7870273176095949,0.8562289056152919,0.06920158800569698
ER(0.5),16,2,20262312,62,a1.2,binned_sampled,3,0.7870273176095949,0.8562289056152919,0.06920158800569698
ER(0.5),16,2,20262312,62,a1.2,transfer_1,3,0.8018580121217127,0.8562289056152919,0.05437089349357915
ER(0.5),16,2,20262312,62,a1.2,transfer_2,3,0.7870273176095949,0.8562289056152919,0.06920158800569698
ER(0.5),16,2,20262312,62,a1.2,transfer_3,3,0.7836155300380706,0.8562289056152919,0.07261337557722125
ER(0.5),16,2,20262312,62,a1.2,universal,3,0.8018580121217127,0.8562289056152919,0.05437089349357915
ER(0.5),16,3,20262313,65,a1.2,ceiling,1,0.7934271173922351,0.7934271173922351,0.0
